timestamp(s),s1,s2,s3,s4,s5,s6,x,y,z,distance_zero
20,90,90,91.1,91.00222222222222,90,72.23,-8.4,-0.0,471,471.0748985034121
40,90,90,92.19999999999999,92.00444444444443,90,71.46000000000001,-16.78,-0.0,470,470.2994454600175
60,90,90,93.29999999999998,93.00666666666665,90,70.69000000000001,-25.15,-0.0,470,470.67241527414797
80,90,90,94.39999999999998,94.00888888888886,90,69.92000000000002,-33.49,-0.0,469,470.19419403050904
100,90,90,95.49999999999997,95.01111111111108,90,69.15000000000002,-41.79,-0.0,468,469.8621117945136
120,90,90,96.59999999999997,96.01333333333329,90,68.38000000000002,-50.04,-0.0,466,468.67899632904397
140,90,90,97.69999999999996,97.01555555555551,90,67.61000000000003,-58.23,-0.0,464,467.6395330807694
160,90,90,98.79999999999995,98.01777777777772,90,66.84000000000003,-66.36,-0.0,462,466.7415233295619
180,90,90,99.89999999999995,99.01999999999994,90,66.07000000000004,-74.41,-0.0,460,465.9794502979718
200,90,90,100.99999999999994,100.02222222222215,90,65.30000000000004,-82.37,-0.0,457,464.3638841469048
220,90,90,102.09999999999994,101.02444444444437,90,64.53000000000004,-90.24,-0.0,454,462.8814725175334
240,90,90,103.19999999999993,102.02666666666659,90,63.76000000000004,-98.0,-0.0,451,461.52464722915937
260,90,90,104.29999999999993,103.0288888888888,90,62.99000000000004,-105.65,-0.0,448,460.2889554399497
280,90,90,105.39999999999992,104.03111111111102,90,62.220000000000034,-113.17,-0.0,444,458.1958630323936
300,90,90,106.49999999999991,105.03333333333323,90,61.45000000000003,-120.57,-0.0,440,456.2204783873692
320,90,90,107.59999999999991,106.03555555555545,90,60.68000000000003,-127.82,-0.0,436,454.3500329041476
340,90,90,108.6999999999999,107.03777777777766,90,59.910000000000025,-134.93,-0.0,432,452.5816002667364
360,90,90,109.7999999999999,108.03999999999988,90,59.14000000000002,-141.88,-0.0,427,449.95436924203767
380,90,90,110.89999999999989,109.0422222222221,90,58.37000000000002,-148.67,-0.0,422,447.42236075100226
400,90,90,111.99999999999989,110.04444444444431,90,57.600000000000016,-155.29,-0.0,417,444.97638600267317
420,90,90,113.09999999999988,111.04666666666652,90,56.83000000000001,-161.72,-0.0,412,442.6029353721008
440,90,90,114.19999999999987,112.04888888888874,90,56.06000000000001,-167.98,-0.0,406,439.37828849409476
460,90,90,115.29999999999987,113.05111111111096,90,55.290000000000006,-174.03,-0.0,401,437.1354948983209
480,90,90,116.39999999999986,114.05333333333317,90,54.52,-179.89,-0.0,395,434.03388358514127
500,90,90,117.49999999999986,115.05555555555539,90,53.75,-185.54,-0.0,389,430.98270452536724
520,90,90,118.59999999999985,116.0577777777776,90,52.98,-190.98,-0.0,383,427.97471934683244
540,90,90,119.69999999999985,117.05999999999982,90,52.209999999999994,-196.21,-0.0,376,424.11597953861633
560,90,90,120.79999999999984,118.06222222222203,90,51.43999999999999,-201.2,-0.0,370,421.1667603218469
580,90,90,121.89999999999984,119.06444444444425,90,50.66999999999999,-205.97,-0.0,363,417.3639190203197
600,90,90,122.99999999999983,120.06666666666646,90,49.899999999999984,-210.5,-0.0,356,413.5773809095464
620,90,90,124.09999999999982,121.06888888888868,90,49.12999999999998,-214.79,-0.0,349,409.79963897007036
640,90,90,125.19999999999982,122.0711111111109,90,48.35999999999998,-218.84,-0.0,342,406.02333134932036
660,90,90,126.29999999999981,123.07333333333311,90,47.589999999999975,-222.64,-0.0,335,402.23571397875645
680,90,90,127.3999999999998,124.07555555555533,90,46.81999999999997,-226.19,-0.0,327,397.6064839763054
700,90,90,128.4999999999998,125.07777777777754,90,46.04999999999997,-229.49,-0.0,320,393.7837732817339
720,90,90,129.5999999999998,126.07999999999976,90,45.279999999999966,-232.52,-0.0,312,389.1138013486543
740,90,90,130.6999999999998,127.08222222222197,90,44.50999999999996,-235.29,-0.0,305,385.20953272212773
760,90,90,131.79999999999978,128.0844444444442,90,43.73999999999996,-237.8,-0.0,297,380.470550765759
780,90,90,132.89999999999978,129.08666666666642,90,42.969999999999956,-240.04,-0.0,289,375.686307442792
800,90,90,133.99999999999977,130.08888888888865,90,42.19999999999995,-242.01,-0.0,281,370.8501585546378
820,90,90,135.09999999999977,131.09111111111088,90,41.42999999999995,-243.72,-0.0,273,365.9623456040252
840,90,90,136.19999999999976,132.0933333333331,90,40.65999999999995,-245.15,-0.0,265,361.0034937504068
860,90,90,137.29999999999976,133.09555555555534,90,39.889999999999944,-246.31,-0.0,257,355.97417897931865
880,90,90,138.39999999999975,134.09777777777757,90,39.11999999999994,-247.2,-0.0,249,350.86869338828166
900,90,90,139.49999999999974,135.0999999999998,90,38.34999999999994,-247.81,-0.0,241,345.6744076439562
920,90,90,140.59999999999974,136.10222222222203,90,37.579999999999934,-248.16,-0.0,233,340.40033137469186
940,90,90,141.69999999999973,137.10444444444425,90,36.80999999999993,-248.23,-0.0,225,335.02706293671264
960,90,90,142.79999999999973,138.10666666666648,90,36.03999999999993,-248.03,-0.0,218,330.2164152491514
