timestamp(s),s1,s2,s3,s4,s5,s6,x,y,z,distance_zero
0,90,90,90,90,90,73,0,0,471,471
21,90,90,90,90,90,72,0,0,471,471
42,90,90,91,91,90,72,-7.92,0,471,471.0665838
62,90,90,91,91,90,71,-7.92,0,471,471.0665838
83,90,90,92,92,90,71,-15.84,0,471,471.2662789
104,90,90,93,92,90,70,-20.5,0,470,470.446862
125,90,90,94,93,90,70,-28.39,0,469,469.8584809
145,90,90,94,94,90,69,-31.6,0,469,470.0633574
166,90,90,95,94,90,69,-36.24,0,468,469.4010413
186,90,90,95,95,90,68,-39.44,0,468,469.6589333
201,90,90,96,95,90,68,-44.06,0,467,469.0738573
214,90,90,96,96,90,68,-47.24,0,467,469.3832311
234,90,90,96.4,96.3,90,67.7,-50.03,0,466,468.6779288
254,90,90,96.8,96.6,90,67.4,-52.81,0,465,467.9892051
274,90,90,97.2,96.9,90,67.1,-55.59,0,465,468.3110591
300,90,90,100,99,90,65,-74.79,0,460,466.0402816
320,90,90,100.4,99.4,90,64.7,-77.81,0,459,465.5484895
340,90,90,100.8,99.8,90,64.4,-80.81,0,458,465.074463
360,90,90,101.2,100.2,90,64.1,-83.79,0,457,464.6178689
380,90,90,101.6,100.6,90,63.8,-86.77,0,456,464.1821118
400,90,90,104,103,90,62,-104.28,0,448,459.9764324
420,90,90,104.5,103.4,90,61.7,-107.56,0,447,459.7587994
440,90,90,105,103.8,90,61.4,-110.83,0,445,458.5938169
460,90,90,105.5,104.2,90,61.1,-114.07,0,444,458.418984
480,90,90,106,104.6,90,60.8,-117.28,0,442,457.2948703
500,90,90,109,107,90,59,-136.03,0,431,451.9570344
520,90,90,109.4,107.4,90,58.7,-138.66,0,429,450.8520773
540,90,90,109.8,107.8,90,58.4,-141.27,0,428,450.7118957
560,90,90,110.2,108.2,90,58.1,-143.85,0,426,449.6318744
580,90,90,110.6,108.6,90,57.8,-146.41,0,424,448.5664812
600,90,90,113,111,90,56,-161.25,0,412,442.4314212
620,90,90,113.5,111.4,90,55.7,-163.99,0,410,441.5798004
640,90,90,114,111.8,90,55.4,-166.7,0,408,440.741296
660,90,90,114.5,112.2,90,55.1,-169.38,0,405,438.9926929
680,90,90,115,112.6,90,54.8,-172.01,0,403,438.1739838
700,90,90,118,115,90,53,-187.05,0,387,429.8333427
720,90,90,118.4,115.4,90,52.7,-189.11,0,385,428.9377485
740,90,90,118.8,115.8,90,52.4,-191.13,0,383,428.0416766
760,90,90,119.2,116.2,90,52.1,-193.12,0,380,426.257357
780,90,90,119.6,116.6,90,51.8,-195.08,0,378,425.3706694
800,90,90,122,119,90,50,-206.15,0,363,417.4527788
820,90,90,122.5,119.5,90,49.6,-208.3,0,360,415.9193311
