timestamp(s),s1,s2,s3,s4,s5,s6
0,90,90,90,90,90,73
10,90,90,90,90,90,73
20,90,90,90,90,90,73
30,90,90,90,90,90,73
40,90,90,90,90,90,73
50,90,90,90,90,90,73
60,90,90,90,90,90,73
70,90,90,90,90,90,73
80,90,90,90,90,90,73
90,90,90,90,90,90,73
100,90,90,90,90,90,73
110,90,90,90,90,90,73
120,90,90,90,90,90,73
130,90,90,90,90,90,73
140,90,90,90,90,90,73
150,90,90,90,90,90,73
160,90,90,90,90,90,73
170,90,90,90,90,90,73
180,90,90,90,90,90,73
190,90,90,90,90,90,73
200,90,90,90,90,90,73
210,90,90,91.1,90,90,72.2
220,90,90,92.2,90,90,71.4
230,90,90,93.3,90,90,70.6
240,90,90,94.4,90,90,69.8
250,90,90,95.5,90,90,69
260,90,90,96.6,90,90,68.2
270,90,90,97.7,90,90,67.4
280,90,90,98.8,90,90,66.6
290,90,90,99.9,90,90,65.8
300,90,90,101,90,90,65
310,90,90,102.4,90,90,64
320,90,90,103.8,90,90,63
330,90,90,105.2,90,90,62
340,90,90,106.6,90,90,61
350,90,90,108,90,90,60
360,90,90,109.4,90,90,59
370,90,90,110.8,90,90,58
380,90,90,112.2,90,90,57
390,90,90,113.6,90,90,56
400,90,90,115,90,90,55
410,90,90,116.4,90,90,54
420,90,90,117.8,90,90,53
430,90,90,119.2,90,90,52
440,90,90,119.2,90,90,51
450,90,90,119.2,90,90,50
460,90,90,119.2,90,90,49
470,90,90,119.2,90,90,48
480,90,90,119.2,90,90,47
490,90,90,119.2,90,90,46
500,90,90,119.2,90,90,45
510,90,90,119.2,90,90,44
520,90,90,119.2,127.6,90,43
530,90,90,119.2,128.9,90,42
540,90,90,119.2,130.2,90,41
550,90,90,119.2,131.5,90,40
560,90,90,137.4,132.8,90,39
570,90,90,138.8,134.1,90,38
580,90,90,140.2,135.4,90,37
590,90,90,141.6,136.7,90,36
600,90,90,143,138,90,35
610,90,90,144.4,139.3,90,34
620,90,90,145.8,140.6,90,33
630,90,90,147.2,141.9,90,32
640,90,90,148.6,143.2,90,31
650,90,90,150,144.5,90,30
660,90,90,151.4,145.8,90,29
670,90,90,152.8,147.1,90,28
680,90,90,152.8,148.4,90,27
690,90,90,152.8,149.7,90,26
700,90,90,152.8,151,90,25
710,90,90,152.8,152.2,90,24.1
720,90,90,152.8,153.4,90,23.2
730,90,90,152.8,154.6,90,22.3
740,90,90,152.8,155.8,90,21.4
750,90,90,152.8,157,90,20.5
760,90,90,152.8,158.2,90,19.6
770,90,90,152.8,159.4,90,18.7
780,90,90,168.2,160.6,90,17.8
790,90,90,169.6,161.8,90,16.9
800,90,90,171,163,90,16
810,90,90,171.9,163.9,90,15.4
820,90,90,172.8,164.8,90,14.8
830,90,90,173.7,165.7,90,14.2
840,90,90,174.6,166.6,90,13.6
850,90,90,175.5,167.5,90,13
860,90,90,176.4,168.4,90,12.4
870,90,90,177.3,169.3,90,11.8
880,90,90,178.2,170.2,90,11.2
890,90,90,179.1,171.1,90,10.6
900,90,90,180,172,90,10
910,90,90,180,172,90,10
920,90,90,180,172,90,10
930,90,90,180,172,90,10
940,90,90,180,172,90,10
950,90,90,180,172,90,10
960,90,90,180,172,90,10
970,90,90,180,172,90,10
980,90,90,180,172,90,10
990,90,90,180,172,90,10
1000,90,90,180,172,90,10
1010,90,90,180,172,90,10
1020,90,90,180,172,90,10
1030,90,90,180,172,90,10
1040,90,90,180,172,90,10
1050,90,90,180,172,90,10
1060,90,90,180,172,90,10
1070,90,90,180,172,90,10
1080,90,90,180,172,90,10
1090,90,90,180,172,90,10
1100,90,90,180,172,90,10
1110,90,90,180,172,90,10
1120,90,90,180,172,90,10
1130,90,90,180,172,90,10
1140,90,90,180,172,90,10
1150,90,90,180,172,90,10
1160,90,90,180,172,90,10
1170,90,90,180,172,90,10
1180,90,90,180,172,90,10
1190,90,90,180,172,90,10
1200,90,90,180,172,90,10
1210,90,90,180,172,90,10
1220,90,90,180,172,90,10
1230,90,90,180,172,90,10
1240,90,90,180,172,90,10
1250,90,90,180,172,90,10
1260,90,90,180,172,90,10
1270,90,90,180,172,90,10
1280,90,90,180,172,90,10
1290,90,90,180,172,90,10
1300,90,90,180,172,90,10
1310,90,90,180,172,90,10
1320,90,90,180,172,90,10
1330,90,90,180,172,90,10
1340,90,90,180,172,90,10
1350,90,90,180,172,90,10
1360,90,90,180,172,90,10
1370,90,90,180,172,90,10
1380,90,90,180,172,90,10
1390,90,90,180,172,90,10
1400,90,90,180,172,90,10
1410,90,90,180,172,90,10
1420,90,90,180,172,90,10
1430,90,90,180,172,90,10
1440,90,90,180,172,90,10
1450,90,90,180,172,90,10
1460,90,90,180,172,90,10
1470,90,90,180,172,90,10
1480,90,90,180,172,90,10
1490,90,90,180,172,90,10
1500,90,90,180,172,90,10
1510,90,90,180,172,90,10
1520,90,90,180,172,90,10
1530,90,90,180,172,90,10
1540,90,90,180,172,90,10
1550,90,90,180,172,90,10
1560,90,90,180,172,90,10
1570,90,90,180,172,90,10
1580,90,90,180,172,90,10
1590,90,90,180,172,90,10
1600,90,90,180,172,90,10
1610,90,90,180,172,90,10
1620,90,90,180,172,90,10
1630,90,90,180,172,90,10
1640,90,90,180,172,90,10
1650,90,90,180,172,90,10
1660,90,90,180,172,90,10
1670,90,90,180,172,90,10
1680,90,90,180,172,90,10
1690,90,90,180,172,90,10
1700,90,90,180,172,90,10
1710,90,90,180,172,90,10
1720,90,90,180,172,90,10
1730,90,90,180,172,90,10
1740,90,90,180,172,90,10
1750,90,90,180,172,90,10
1760,90,90,180,172,90,10
1770,90,90,180,172,90,10
1780,90,90,180,172,90,10
1790,90,90,180,172,90,10
1800,90,90,180,172,90,10
1810,90,90,180,172,90,10
1820,90,90,180,172,90,10
1830,90,90,180,172,90,10
1840,90,90,180,172,90,10
1850,90,90,180,172,90,10
1860,90,90,180,172,90,10
1870,90,90,180,172,90,10
1880,90,90,180,172,90,10
1890,90,90,180,172,90,10
1900,90,90,180,172,90,10
1910,90,90,180,172,90,10
1920,90,90,180,172,90,10
1930,90,90,180,172,90,10
1940,90,90,180,172,90,10
