timestamp(s),s1,s2,s3,s4,s5,s6,x,y,z,distance_zero
0,90,90,90,90,90,73,0.0,0.0,471,471.0
10.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
20.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
30.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
40.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
50.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
60.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
70.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
80.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
90.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
100,90,90,90,90,90,73,0.0,0.0,471,471.0
110.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
120.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
130.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
140.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
150.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
160.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
170.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
180.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
190.0,90.0,90.0,90.0,90.0,90.0,73.0,0.0,0.0,471,471.0
200,90,90,90,90,90,73,0.0,0.0,471,471.0
210.0,90.0,90.0,91.1,91.0,90.0,72.2,-8.39,-0.0,471,471.07472029392534
220.0,90.0,90.0,92.19999999999999,92.0,90.0,71.4,-16.77,-0.0,470,470.2990887722408
230.0,90.0,90.0,93.29999999999998,93.0,90.0,70.60000000000001,-25.13,-0.0,470,470.67134701402847
240.0,90.0,90.0,94.39999999999998,94.0,90.0,69.80000000000001,-33.46,-0.0,469,470.19205820600587
250.0,90.0,90.0,95.49999999999997,95.0,90.0,69.00000000000001,-41.75,-0.0,468,469.85855584420295
260.0,90.0,90.0,96.59999999999997,96.0,90.0,68.20000000000002,-50.0,-0.0,466,468.67472728962036
270.0,90.0,90.0,97.69999999999996,97.0,90.0,67.40000000000002,-58.18,-0.0,464,467.63330976310914
280.0,90.0,90.0,98.79999999999995,98.0,90.0,66.60000000000002,-66.3,-0.0,462,466.7329964765722
290.0,90.0,90.0,99.89999999999995,99.0,90.0,65.80000000000003,-74.35,-0.0,460,465.96987295317706
300,90,90,101,100,90,65,-82.3,-0.0,457,464.35147248609
310.0,90.0,90.0,102.4,101.2,90.0,64.0,-92.07,-0.0,454,463.24171325561775
320.0,90.0,90.0,103.80000000000001,102.4,90.0,63.0,-101.68,-0.0,450,461.34458098042074
330.0,90.0,90.0,105.20000000000002,103.60000000000001,90.0,62.0,-111.11,-0.0,445,458.66156597212284
340.0,90.0,90.0,106.60000000000002,104.80000000000001,90.0,61.0,-120.33,-0.0,440,456.15710988649516
350.0,90.0,90.0,108.00000000000003,106.00000000000001,90.0,60.0,-129.35,-0.0,435,453.82421982525346
360.0,90.0,90.0,109.40000000000003,107.20000000000002,90.0,59.0,-138.14,-0.0,430,451.6443950720522
370.0,90.0,90.0,110.80000000000004,108.40000000000002,90.0,58.0,-146.68,-0.0,424,448.6546805729324
380.0,90.0,90.0,112.20000000000005,109.60000000000002,90.0,57.0,-154.96,-0.0,418,445.79883535065454
390.0,90.0,90.0,113.60000000000005,110.80000000000003,90.0,56.0,-162.97,-0.0,411,442.1314520592264
400,90,90,115,112,90,55,-170.69,-0.0,404,438.57847199788546
410.0,90.0,90.0,116.4,113.3,90.0,54.0,-178.32,-0.0,397,435.20917085925475
420.0,90.0,90.0,117.80000000000001,114.6,90.0,53.0,-185.62,-0.0,389,431.0171509348555
430.0,90.0,90.0,119.20000000000002,115.89999999999999,90.0,52.0,-192.56,-0.0,381,426.89618597499793
440.0,90.0,90.0,120.60000000000002,117.19999999999999,90.0,51.0,-199.15,-0.0,373,422.83533733594214
450.0,90.0,90.0,122.00000000000003,118.49999999999999,90.0,50.0,-205.35,-0.0,364,417.92896824699767
460.0,90.0,90.0,123.40000000000003,119.79999999999998,90.0,49.0,-211.18,-0.0,355,413.06415046575995
470.0,90.0,90.0,124.80000000000004,121.09999999999998,90.0,48.0,-216.61,-0.0,346,408.2105977311221
480.0,90.0,90.0,126.20000000000005,122.39999999999998,90.0,47.0,-221.63,-0.0,337,403.347067548532
490.0,90.0,90.0,127.60000000000005,123.69999999999997,90.0,46.0,-226.24,-0.0,328,398.45769863311716
500,90,90,129,125,90,45,-230.43,-0.0,318,392.71107050858654
510.0,90.0,90.0,130.4,126.3,90.0,44.0,-234.19,-0.0,308,386.9224161249901
520.0,90.0,90.0,131.8,127.6,90.0,43.0,-237.52,-0.0,298,381.0770924629294
530.0,90.0,90.0,133.20000000000002,128.9,90.0,42.0,-240.41,-0.0,288,375.15459226830745
540.0,90.0,90.0,134.60000000000002,130.20000000000002,90.0,41.0,-242.85,-0.0,278,369.1342878953403
550.0,90.0,90.0,136.00000000000003,131.50000000000003,90.0,40.0,-244.86,-0.0,268,363.01572913580486
560.0,90.0,90.0,137.40000000000003,132.80000000000004,90.0,39.0,-246.41,-0.0,258,356.7658729475116
570.0,90.0,90.0,138.80000000000004,134.10000000000005,90.0,38.0,-247.52,-0.0,248,350.3857166038593
580.0,90.0,90.0,140.20000000000005,135.40000000000006,90.0,37.0,-248.17,-0.0,237,343.15790665523065
590.0,90.0,90.0,141.60000000000005,136.70000000000007,90.0,36.0,-248.38,-0.0,227,336.4842112194865
600,90,90,143,138,90,35,-248.14,-0.0,217,329.639893823548
610.0,90.0,90.0,144.4,139.3,90.0,34.0,-247.46,-0.0,207,322.6227698101918
620.0,90.0,90.0,145.8,140.60000000000002,90.0,33.0,-246.34,-0.0,197,315.4241518970924
630.0,90.0,90.0,147.20000000000002,141.90000000000003,90.0,32.0,-244.78,-0.0,187,308.0361154150597
640.0,90.0,90.0,148.60000000000002,143.20000000000005,90.0,31.0,-242.78,-0.0,177,300.45154085143247
650.0,90.0,90.0,150.00000000000003,144.50000000000006,90.0,30.0,-240.37,-0.0,167,292.6888055597617
660.0,90.0,90.0,151.40000000000003,145.80000000000007,90.0,29.0,-237.53,-0.0,157,284.7270638699455
670.0,90.0,90.0,152.80000000000004,147.10000000000008,90.0,28.0,-234.29,-0.0,148,277.1205587826352
680.0,90.0,90.0,154.20000000000005,148.4000000000001,90.0,27.0,-230.64,-0.0,139,269.2875964466243
690.0,90.0,90.0,155.60000000000005,149.7000000000001,90.0,26.0,-226.61,-0.0,130,261.2510135865505
700,90,90,157,151,90,25,-222.19,-0.0,121,253.00078280511306
710.0,90.0,90.0,158.4,152.2,90.0,24.1,-217.61,-0.0,112,244.74090810487732
720.0,90.0,90.0,159.8,153.39999999999998,90.0,23.200000000000003,-212.69,-0.0,104,236.75522401839416
730.0,90.0,90.0,161.20000000000002,154.59999999999997,90.0,22.300000000000004,-207.45,-0.0,96,228.58587554789992
740.0,90.0,90.0,162.60000000000002,155.79999999999995,90.0,21.400000000000006,-201.9,-0.0,89,220.6458927784517
750.0,90.0,90.0,164.00000000000003,156.99999999999994,90.0,20.500000000000007,-196.05,-0.0,81,212.1240262205109
760.0,90.0,90.0,165.40000000000003,158.19999999999993,90.0,19.60000000000001,-189.91,-0.0,74,203.8180759893489
770.0,90.0,90.0,166.80000000000004,159.39999999999992,90.0,18.70000000000001,-183.49,-0.0,67,195.33965316852593
780.0,90.0,90.0,168.20000000000005,160.5999999999999,90.0,17.80000000000001,-176.81,-0.0,61,187.03683086493956
790.0,90.0,90.0,169.60000000000005,161.7999999999999,90.0,16.900000000000013,-169.89,-0.0,55,178.57102816526537
800,90,90,171,163,90,16,-162.73,-0.0,49,169.94720621416522
810.0,90.0,90.0,171.9,163.9,90.0,15.4,-157.64,-0.0,45,163.9370903731062
820.0,90.0,90.0,172.8,164.8,90.0,14.8,-152.45,-0.0,41,157.86704057528917
830.0,90.0,90.0,173.70000000000002,165.70000000000002,90.0,14.200000000000001,-147.17,-0.0,38,151.99673976766738
840.0,90.0,90.0,174.60000000000002,166.60000000000002,90.0,13.600000000000001,-141.8,-0.0,35,146.0556058492792
850.0,90.0,90.0,175.50000000000003,167.50000000000003,90.0,13.000000000000002,-136.36,-0.0,32,140.06444802304404
