time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed,average_temperature,2P_Model,4P_Model
0,3,FALSE,FALSE,21.062,1608572941,23,1608572942,22.625,1608572943,2.644883394,22.8125,22.8125,22.8125
2.96E-09,3,FALSE,FALSE,21.062,1608572944,23,1608572945,22.687,1608572946,2.604413033,22.8435,22.807046,22.8125
6.00E-09,3,FALSE,FALSE,21.062,1608572947,23.062,1608572948,22.687,1608572949,2.643281221,22.8745,22.8014633,22.8125
8.96E-09,3,FALSE,FALSE,21.062,1608572950,23.062,1608572951,22.75,1608572952,2.602874756,22.906,22.79604359,22.8125
1.20E-08,3,TRUE,TRUE,21.062,1608572953,23.062,1608572954,22.75,1608572955,2.642447948,22.906,22.84297602,22.8125
1.50E-08,3,TRUE,TRUE,21.062,1608572956,23.25,1608572957,22.875,1608572958,2.602087975,23.0625,23.44039199,22.8125
1.80E-08,3,FALSE,TRUE,21.062,1608572959,23.5,1608572960,22.937,1608572961,2.641616583,23.2185,23.9975943,22.8125
2.10E-08,3,TRUE,TRUE,21.062,1608572962,23.812,1608572963,23.062,1608572964,2.601227045,23.437,24.03299638,22.8125
2.40E-08,3,FALSE,TRUE,21.062,1608572965,24.125,1608572966,23.187,1608572967,2.640803337,23.656,24.5881152,22.8125
2.70E-08,3,TRUE,TRUE,21.062,1608572968,24.375,1608572969,23.312,1608572970,2.600402355,23.8435,24.62167725,22.8125
3.00E-08,3,FALSE,TRUE,21.062,1608572971,24.75,1608572972,23.437,1608572973,2.639988899,24.0935,25.17491278,22.8125
3.30E-08,3,TRUE,TRUE,21.062,1608572974,25.062,1608572975,23.625,1608572976,2.599587917,24.3435,25.20664741,22.8125
3.60E-08,3,FALSE,TRUE,21.062,1608572977,25.437,1608572978,23.812,1608572979,2.639307261,24.6245,25.75801521,22.8125
3.90E-08,3,TRUE,TRUE,21.062,1608572980,25.75,1608572981,24,1608572982,2.598743916,24.875,25.78792563,22.8125
4.20E-08,3,FALSE,TRUE,21,1608572983,26.062,1608572984,24.125,1608572985,2.638329268,25.0935,26.33741299,22.8125
4.50E-08,3,TRUE,TRUE,21.062,1608572986,26.437,1608572987,24.375,1608572988,2.677939653,25.406,26.37726263,22.8125
4.80E-08,3,FALSE,TRUE,21.062,1608572989,26.812,1608572990,24.562,1608572991,2.63756752,25.687,26.91300088,22.8125
5.10E-08,3,TRUE,TRUE,21.062,1608572992,27.125,1608572993,24.75,1608572994,2.597169161,25.9375,26.93932131,22.8125
5.40E-08,3,TRUE,TRUE,21.062,1608572995,27.437,1608572996,25,1608572997,2.636739016,26.2185,27.53762156,22.8125
5.70E-08,3,FALSE,TRUE,21.062,1608572998,27.875,1608572999,25.25,1608573000,2.596342564,26.5625,28.07209832,22.8125
6.00E-08,3,TRUE,TRUE,21,1608573001,28.25,1608573002,25.5,1608573003,2.635905743,26.875,28.10232704,22.8125
6.30E-08,3,TRUE,TRUE,21,1608573004,28.562,1608573005,25.75,1608573006,2.595507145,27.156,28.68315522,22.8125
6.60E-08,3,FALSE,TRUE,21.062,1608573007,29,1608573008,26.062,1608573009,2.635100126,27.531,29.22340759,22.8125
6.90E-08,3,TRUE,TRUE,21.062,1608573010,29.375,1608573011,26.312,1608573012,2.674683332,27.8435,29.25420115,22.8125
7.20E-08,3,FALSE,TRUE,21.062,1608573013,29.812,1608573014,26.625,1608573015,2.634324789,28.2185,29.78097629,22.8125
7.50E-08,3,TRUE,TRUE,21,1608573016,30.187,1608573017,26.875,1608573018,2.673936367,28.531,29.80996762,22.8125
7.80E-08,3,TRUE,TRUE,21.062,1608573019,30.562,1608573020,27.125,1608573021,2.633565426,28.8435,30.38731402,22.8125
8.10E-08,3,FALSE,TRUE,21.062,1608573022,31,1608573023,27.437,1608573024,2.673189878,29.2185,30.91599148,22.8125
8.40E-08,3,TRUE,TRUE,21,1608573025,31.375,1608573026,27.75,1608573027,2.632825136,29.5625,30.93405361,22.8125
8.70E-08,3,FALSE,TRUE,21,1608573028,31.812,1608573029,28.062,1608573030,2.672424793,29.937,31.46265742,22.8125
9.00E-08,3,TRUE,TRUE,21.062,1608573031,32.187,1608573032,28.312,1608573033,2.632066488,30.2495,31.47885677,22.8125
9.30E-08,3,FALSE,TRUE,21.062,1608573034,32.562,1608573035,28.625,1608573036,2.671668291,30.5935,32.00591714,22.8125
9.60E-08,3,FALSE,TRUE,21.062,1608573037,32.937,1608573038,28.937,1608573039,2.631304026,30.937,31.96811761,22.8125
9.90E-08,3,FALSE,TRUE,21.062,1608573040,33.312,1608573041,29.25,1608573042,2.670876503,31.281,31.93322018,22.8125
1.02E-07,3,FALSE,TRUE,21.062,1608573043,33.625,1608573044,29.562,1608573045,2.630518675,31.5935,31.89934822,22.8125
1.05E-07,3,FALSE,TRUE,21.062,1608573046,33.875,1608573047,29.812,1608573048,2.6701262,31.8435,31.86467061,22.8125
1.08E-07,3,FALSE,TRUE,21.062,1608573049,34.062,1608573050,30.125,1608573051,2.629736423,32.0935,31.83101249,22.8125
