timestamp(s),temperature(degrees)
0,22.5935
3,22.656
6,22.8745
9,23.125
12,23.437
15,23.781
18,24.156
21,24.531
24,24.906
27,25.3125
30,25.7185
33,26.125
36,26.4685
39,26.781
42,27.0935
45,27.3435
48,27.625
51,27.8435
54,28.0625
57,28.2495
60,28.4375
63,28.656
66,28.8745
69,29.1245
72,29.406
75,29.7185
78,30.062
81,30.406
84,30.7185
87,31.031
90,31.312
93,31.5935
96,31.8125
99,32.031
102,32.25
105,32.4685
108,32.6245
111,32.781
114,32.9685
117,33.156
120,33.406
123,33.6875
126,33.9685
129,34.25
132,34.5935
135,34.875
138,35.156
141,35.406
144,35.656
147,35.875
150,36.062
153,36.281
156,36.406
159,36.531
162,36.687
165,36.8125
168,36.906
171,36.9995
174,37.0625
177,37.125
180,37.125
183,37.187
186,37.187
189,37.2185
192,37.25
195,37.281
198,37.25
201,37.2495
204,37.281
207,37.281
210,37.2495
213,37.2185
216,37.187
219,37.156
222,37.0935
225,37.0935
228,37.031
231,36.9995
234,36.937
237,36.875
240,36.8435
243,36.781
246,36.7185
249,36.687
252,36.5935
255,36.5625
258,36.4995
261,36.4375
264,36.375
267,36.312
270,36.281
273,36.2185
276,36.1245
279,36.031
282,35.9685
285,35.906
288,35.8435
291,35.812
294,35.7185
297,35.656
300,35.5935
303,35.4995
306,35.4375
309,35.3745
312,35.3435
315,35.281
318,35.2495
321,35.125
324,35.031
327,34.9685
330,34.9685
333,34.8745
336,34.75
339,34.687
342,34.5935
345,34.562
348,34.4685
351,34.406
354,34.3435
357,34.281
360,34.25
363,34.156
366,34.0935
369,34.031
372,33.9685
375,33.906
378,33.8125
381,33.781
384,33.7185
387,33.656
390,33.5935
393,33.5625
396,33.531
399,33.406
402,33.3125
405,33.3125
408,33.2185
411,33.156
414,33.1245
417,33.031
420,32.9995
423,32.906
426,32.8745
429,32.812
432,32.7185
435,32.7185
438,32.625
441,32.5935
444,32.531
447,32.4685
450,32.406
453,32.3435
456,32.312
459,32.25
462,32.187
465,32.125
468,32.125
471,32.062
474,32
477,31.937
480,31.875
483,31.812
486,31.781
489,31.75
492,31.687
495,31.625
498,31.5935
501,31.531
504,31.4685
507,31.437
510,31.406
513,31.312
516,31.281
519,31.25
522,31.25
525,31.125
528,31.0935
531,31.062
534,31.031
537,30.937
540,30.937
543,30.875
546,30.812
549,30.812
552,30.75
555,30.687
558,30.656
561,30.625
564,30.562
567,30.531
570,30.437
573,30.437
576,30.375
579,30.3435
582,30.312
585,30.281
588,30.2185
591,30.187
594,30.125
597,30.062
600,30.062
603,30
606,30
609,29.937
612,29.906
615,29.906
618,29.9685
621,30.0935
624,30.2185
627,30.3745
630,30.5935
633,30.8435
636,30.906
639,31.2495
642,31.5
645,31.656
648,31.812
651,32
654,32.156
657,32.2495
660,32.3745
663,32.437
666,32.656
669,32.8435
672,33.031
675,33.2495
678,33.531
681,33.812
684,34.0935
687,34.406
690,34.656
693,34.906
696,35.125
699,35.312
702,35.531
705,35.687
708,35.8435
711,35.9685
714,36.0935
717,36.2185
720,36.312
723,36.406
726,36.4685
729,36.5
732,36.531
735,36.5935
738,36.5935
741,36.687
744,36.6875
747,36.7185
750,36.687
753,36.6875
756,36.687
759,36.656
762,36.6875
765,36.656
768,36.656
771,36.5935
774,36.5625
777,36.531
780,36.5
783,36.5
786,36.5
789,36.3435
792,36.312
795,36.281
798,36.2185
801,36.1875
804,36.0935
807,36.062
810,36
813,35.937
816,35.906
819,35.8435
822,35.8125
825,35.7185
828,35.6875
831,35.5935
834,35.562
837,35.5
840,35.406
843,35.3435
846,35.3125
849,35.2495
852,35.1875
855,35.1245
858,35.0935
861,34.9685
864,34.906
867,34.8435
870,34.812
873,34.7185
876,34.687
879,34.656
882,34.531
885,34.5
888,34.406
891,34.3435
894,34.281
897,34.2185
900,34.2185
903,34.0935
906,34.031
909,33.9685
912,33.9375
915,33.8745
918,33.8125
921,33.7495
924,33.6875
927,33.656
930,33.5625
933,33.4995
936,33.4685
939,33.406
942,33.3435
945,33.281
948,33.2185
951,33.156
954,33.0935
957,33.031
960,33
963,32.9685
966,32.906
969,32.8435
972,32.781
975,32.7185
978,32.656
981,32.625
984,32.531
987,32.531
990,32.4685
993,32.406
996,32.3435
999,32.281
1002,32.2185
1005,32.2185
1008,32.156
1011,32.0935
1014,32.062
1017,31.9685
1020,31.937
1023,31.906
1026,31.8435
1029,31.8435
1032,31.75
1035,31.7185
1038,31.656
1041,31.625
1044,31.562
1047,31.531
1050,31.4685
1053,31.437
1056,31.375
1059,31.3435
1062,31.281
1065,31.25
1068,31.187
1071,31.125
1074,31.125
1077,31.062
1080,31
1083,31
1086,30.906
1089,30.875
1092,30.812
1095,30.812
1098,30.75
1101,30.687
1104,30.687
1107,30.625
1110,30.5935
1113,30.531
1116,30.5
1119,30.437
1122,30.437
1125,30.375
1128,30.3435
1131,30.312
1134,30.25
1137,30.2185
1140,30.187
1143,30.156
1146,30.125
1149,30.062
1152,30
1155,30
1158,29.937
1161,29.937
1164,29.9685
1167,29.9995
1170,30.0935
1173,30.281
1176,30.4375
