timestamp(s),accel(m/s2),speed(m/s),position(m)
0,0,0,16.32
0.1,0,0,16.42
0.2,0,0,16.52
0.3,0,0,16.62
0.4,0,0,16.72
0.5,0,0,16.82
0.6,0,0,16.92
0.7,0,0,17.02
0.8,0,0,17.12
0.9,0,0,17.22
1,0,0,17.32
1.1,0,0,17.42
1.2,0,0,17.52
1.3,0,0,17.62
1.4,0,0,17.72
1.5,0,0,17.82
1.6,0,0,17.92
1.7,0,0,18.02
1.8,0,0,18.12
1.9,0,0,18.22
2,0,0,18.32
2.1,0,0,18.42
2.2,0,0,18.52
2.3,0,0,18.62
2.4,0,0,18.72
2.5,0,0,18.82
2.6,0,0,18.92
2.7,0,0,19.02
2.8,0,0,19.12
2.9,0,0,19.22
3,0,0,19.32
3.1,0,0,19.42
3.2,0,0,19.52
3.3,0,0,19.62
3.4,0,0,19.72
3.5,0,0,19.82
3.6,0,0,19.92
3.7,0,0,20.02
3.8,0,0,20.12
3.9,0,0,20.22
4,0,0,20.32
4.1,0,0,20.42
4.2,0,0,20.52
4.3,0,0,20.62
4.4,0,0,20.72
4.5,0,0,20.82
4.6,0,0,20.92
4.7,0,0,21.02
4.8,0,0,21.12
4.9,0,0,21.22
5,0,0,21.32
5.1,0,0,21.42
5.2,0,0,21.52
5.3,0,0,21.62
5.4,0,0,21.72
5.5,0,0,21.82
5.6,0,0,21.92
5.7,0,0,22.02
5.8,0,0,22.12
5.9,0,0,22.22
6,0,0,22.32
6.1,0,0,22.42
6.2,0,0,22.52
6.3,0,0,22.62
6.4,0,0,22.72
6.5,0,0,22.82
6.6,0,0,22.92
6.7,0,0,23.02
6.8,0,0,23.12
6.9,0,0,23.22
7,0,0,23.32
7.1,0,0,23.42
7.2,0,0,23.52
7.3,0,0,23.62
7.4,0,0,23.72
7.5,0,0,23.82
7.6,0,0,23.92
7.7,0,0,24.02
7.8,0,0,24.12
7.9,0,0,24.22
8,0,0,24.32
8.1,0,0,24.42
8.2,0,0,24.52
8.3,0,0,24.62
8.4,0,0,24.72
8.5,0,0,24.82
8.6,0,0,24.92
8.7,0,0,25.02
8.8,0,0,25.12
8.9,0,0,25.22
9,0,0,25.32
9.1,0,0,25.42
9.2,0,0,25.52
9.3,0,0,25.62
9.4,0,0,25.72
9.5,0,0,25.82
9.6,0,0,25.92
9.7,0,0,26.02
9.8,0,0,26.12
9.9,0,0,26.22
10,0,0,26.32
10.1,0,0,26.42
10.2,0,0,26.52
10.3,0,0,26.62
10.4,0,0,26.72
10.5,0,0,26.82
10.6,0,0,26.92
10.7,0,0,27.02
10.8,0,0,27.12
10.9,0,0,27.22
11,0,0,27.32
11.1,0,0,27.42
11.2,0,0,27.52
11.3,0,0,27.62
11.4,0,0,27.72
11.5,0,0,27.82
11.6,0,0,27.92
11.7,0,0,28.02
11.8,0,0,28.12
11.9,0,0,28.22
12,0,0,28.32
12.1,0,0,28.42
12.2,0,0,28.52
12.3,0,0,28.62
12.4,0,0,28.72
12.5,0,0,28.82
12.6,0,0,28.92
12.7,0,0,29.02
12.8,0,0,29.12
12.9,0,0,29.22
13,0,0,29.32
13.1,0,0,29.42
13.2,0,0,29.52
13.3,0,0,29.62
13.4,0,0,29.72
13.5,0,0,29.82
13.6,0,0,29.92
13.7,0,0,30.02
13.8,0,0,30.12
13.9,0,0,30.22
14,0,0,30.32
14.1,0,0,30.42
14.2,0,0,30.52
14.3,0,0,30.62
14.4,0,0,30.72
14.5,0,0,30.82
14.6,0,0,30.92
14.7,0,0,31.02
14.8,0,0,31.12
14.9,0,0,31.22
15,0,0,31.32
15.1,0,0,31.42
15.2,0,0,31.52
15.3,0,0,31.62
15.4,0,0,31.72
15.5,0,0,31.82
15.6,0,0,31.92
15.7,0,0,32.02
15.8,0,0,32.12
15.9,0,0,32.22
16,0,0,32.32
16.1,0,0,32.42
16.2,0,0,32.52
16.3,0,0,32.62
16.4,0,0,32.72
16.5,0,0,32.82
16.6,0,0,32.92
16.7,0,0,33.02
16.8,0,0,33.12
16.9,0,0,33.22
17,0,0,33.32
17.1,0,0,33.42
17.2,0,0,33.52
17.3,0,0,33.62
17.4,0,0,33.72
17.5,0,0,33.82
17.6,0,0,33.92
17.7,0,0,34.02
17.8,0,0,34.12
17.9,0,0,34.22
18,0,0,34.32
18.1,0,0,34.42
18.2,0,0,34.52
18.3,0,0,34.62
18.4,0,0,34.72
18.5,0,0,34.82
18.6,0,0,34.92
18.7,0,0,35.02
18.8,0,0,35.12
18.9,0,0,35.22
19,0,0,35.32
19.1,0,0,35.42
19.2,0,0,35.52
19.3,0,0,35.62
19.4,0,0,35.72
19.5,0,0,35.82
19.6,0,0,35.92
