timestamp(s),accel(m/s2),events,average_time_between_events
20.4,0.0,Down,0.0
24.5,0.0,Brake,0.0
26.9,0.0,Arrival,6.5
44.8,0.0,Down,6.5
48.9,0.0,Brake,6.5
51.3,0.0,Arrival,6.5
69.3,0.0,Down,6.5
73.3,0.0,Brake,6.5
75.8,0.0,Arrival,6.5
93.4,0.0,Down,6.5
97.4,0.0,Brake,6.5
99.9,0.0,Arrival,6.5
117.8,0.0,Up,6.5
121.8,0.0,Brake,6.5
124.3,0.0,Arrival,6.5
142.1,0.0,Up,6.5
146.1,0.0,Brake,6.5
148.6,0.0,Arrival,6.5
166.7,0.0,Up,6.5
170.7,0.0,Brake,6.5
173.2,0.0,Arrival,6.5
191.3,0.0,Up,6.5
195.3,0.0,Brake,6.5
197.8,0.0,Arrival,6.5
