timestamp(s),accel(m/s2),events,average_time_between_events
13.232,-0.00981,Down,0.0
16.888,-0.00981,Brake,0.0
19.455,-0.048069,Arrival,6.222999999999999
37.834,-0.023544,Down,6.222999999999999
41.49,0.014715,Brake,6.222999999999999
43.86,-0.071613,Arrival,6.124499999999998
62.353,-0.01962,Down,6.124499999999998
65.995,-0.028449,Brake,6.124499999999998
68.449,0.004905,Arrival,6.1149999999999975
86.423,-0.014715,Down,6.1149999999999975
90.177,0.01962,Brake,6.1149999999999975
92.643,-0.004905,Arrival,6.141249999999998
110.817,-0.004905,Up,6.141249999999998
114.372,0.00981,Brake,6.141249999999998
116.742,0.004905,Arrival,6.098000000000001
135.103,-0.01962,Up,6.098000000000001
138.856,-0.01962,Brake,6.098000000000001
141.227,0.052974,Arrival,6.102333333333333
159.794,-0.00981,Up,6.102333333333333
163.549,-0.043164,Brake,6.102333333333333
165.822,0.038259,Arrival,6.091714285714284
184.384,-0.014715,Up,6.091714285714284
188.139,-0.01962,Brake,6.091714285714284
190.411,0.004905,Arrival,6.0836250000000005
