timestamp(s),accel(m/s2)
0,0
0.098,-0.004905
0.197,-0.004905
0.296,-0.004905
0.395,-0.00981
0.505,-0.004905
0.593,-0.014715
0.73,0
0.79,-0.004905
0.9,0
0.993,-0.004905
1.086,-0.014715
1.185,0.004905
1.302,-0.00981
1.384,-0.00981
1.518,0
1.581,-0.004905
1.68,-0.00981
1.779,0.004905
1.877,-0.014715
1.976,-0.004905
2.109,-0.00981
2.173,-0.004905
2.273,-0.004905
2.371,-0.004905
2.471,-0.004905
2.568,-0.004905
2.668,-0.00981
2.767,0.004905
2.865,-0.00981
2.964,-0.004905
3.063,-0.004905
3.162,-0.014715
3.261,-0.004905
3.365,-0.00981
3.458,-0.004905
3.557,0
3.656,0
3.755,-0.023544
3.854,0.004905
3.957,0.00981
4.052,0
4.177,0
4.249,-0.01962
4.347,-0.014715
4.447,-0.00981
4.556,0.004905
4.644,-0.014715
4.742,-0.014715
4.841,-0.014715
4.959,-0.124587
5.039,-0.244269
5.138,-0.320787
5.237,-0.430659
5.335,-0.546417
5.435,-0.704358
5.567,-0.704358
5.632,-0.704358
5.73,-0.714168
5.829,-0.722997
5.928,-0.714168
6.027,-0.674928
6.126,-0.727902
6.225,-0.689643
6.323,-0.636669
6.422,-0.488538
6.521,-0.488538
6.62,-0.302148
6.718,-0.234459
6.818,-0.096138
6.916,-0.004905
7.032,-0.00981
7.114,-0.01962
7.212,0.033354
7.311,-0.033354
7.411,0.061803
7.509,-0.028449
7.608,0.004905
7.707,-0.014715
7.805,0.004905
7.904,0.023544
8.008,0.004905
8.102,-0.014715
8.208,-0.014715
8.299,0.033354
8.413,-0.028449
8.497,0
8.615,-0.066708
8.695,0
8.793,-0.033354
8.892,0.038259
8.991,-0.104967
9.09,0.01962
9.193,-0.01962
9.287,0.061803
9.386,-0.028449
9.485,-0.048069
9.584,-0.014715
9.682,0.066708
9.782,-0.061803
9.88,-0.023544
9.978,0.01962
10.08,-0.00981
10.177,0.028449
10.276,-0.048069
10.375,0.048069
10.473,-0.043164
10.572,0.048069
10.692,-0.033354
10.77,-0.004905
10.868,-0.00981
