timestamp(s),accel(m/s2),events,average_time_between_events,normalized_average_time_between_events
0,-0.014715,-,0,0
0.098,0,-,0,0
0.197,-0.004905,-,0,0
0.324,-0.023544,-,0,0
0.393,-0.004905,-,0,0
0.493,-0.028449,-,0,0
0.592,-0.00981,-,0,0
0.704,-0.014715,-,0,0
0.789,-0.00981,-,0,0
0.926,-0.014715,-,0,0
0.987,-0.00981,-,0,0
1.086,-0.004905,-,0,0
1.184,-0.004905,-,0,0
1.298,-0.01962,-,0,0
1.381,0,-,0,0
1.481,-0.01962,-,0,0
1.579,-0.00981,-,0,0
1.678,-0.01962,-,0,0
1.778,-0.014715,-,0,0
1.915,-0.014715,-,0,0
1.974,-0.014715,-,0,0
2.073,-0.00981,-,0,0
2.172,-0.004905,-,0,0
2.271,-0.00981,-,0,0
2.371,-0.00981,-,0,0
2.468,-0.004905,-,0,0
2.566,-0.004905,-,0,0
2.667,-0.01962,-,0,0
2.764,-0.014715,-,0,0
2.863,-0.00981,-,0,0
2.962,-0.014715,-,0,0
3.06,-0.00981,-,0,0
3.168,-0.00981,-,0,0
3.259,-0.004905,-,0,0
3.358,-0.01962,-,0,0
3.456,-0.014715,-,0,0
3.554,-0.00981,-,0,0
3.653,-0.014715,-,0,0
3.753,-0.004905,-,0,0
3.851,-0.01962,-,0,0
3.979,-0.014715,-,0,0
4.049,-0.004905,-,0,0
4.148,-0.004905,-,0,0
4.246,-0.004905,-,0,0
4.37,-0.00981,-,0,0
4.443,-0.00981,-,0,0
4.542,-0.00981,-,0,0
4.64,-0.014715,-,0,0
4.769,-0.004905,-,0,0
4.839,-0.00981,-,0,0
4.937,-0.014715,-,0,0
5.036,-0.00981,-,0,0
5.139,-0.00981,-,0,0
5.233,-0.014715,-,0,0
5.356,-0.00981,-,0,0
5.431,-0.00981,-,0,0
5.529,-0.014715,-,0,0
5.628,-0.014715,-,0,0
5.727,-0.004905,-,0,0
5.826,-0.00981,-,0,0
5.924,0.004905,-,0,0
6.023,-0.014715,-,0,0
6.121,-0.023544,-,0,0
6.221,-0.033354,-,0,0
6.319,-0.00981,-,0,0
6.418,-0.023544,-,0,0
6.517,0.004905,-,0,0
6.622,-0.00981,-,0,0
6.714,-0.01962,-,0,0
6.813,0,-,0,0
6.912,-0.014715,-,0,0
7.011,0,-,0,0
7.109,-0.014715,-,0,0
7.228,0,-,0,0
7.307,-0.023544,-,0,0
7.406,-0.014715,-,0,0
7.505,0.004905,-,0,0
7.607,-0.01962,-,0,0
7.703,-0.028449,-,0,0
7.828,-0.01962,-,0,0
7.9,-0.01962,-,0,0
7.999,-0.00981,-,0,0
8.097,0,-,0,0
8.218,-0.004905,-,0,0
8.298,-0.00981,-,0,0
8.394,0,-,0,0
8.492,-0.00981,-,0,0
8.592,0,-,0,0
8.69,-0.023544,-,0,0
8.807,-0.014715,-,0,0
8.888,-0.038259,-,0,0
9.023,0,-,0,0
9.085,0.004905,-,0,0
9.184,-0.023544,-,0,0
9.283,-0.048069,-,0,0
9.41,-0.01962,-,0,0
9.48,-0.00981,-,0,0
9.579,-0.01962,-,0,0
9.678,0,-,0,0
9.776,-0.01962,-,0,0
9.875,-0.023544,-,0,0
