timestamp(s),ventilation,cooling,illumination,total
0.0,197.17000000000002,5746.81,237.83999999999997,47399.16
3600.0,217.44,5737.13,238.33,54457.64
7200.0,212.59,4196.02,238.08999999999997,37890.2
10800.0,233.12,4141.49,238.0,43400.25
14400.0,257.70000000000005,4140.75,239.33,48576.47
18000.0,236.44,4097.42,246.0,43753.96
21600.0,1054.43,10557.33,1901.25,53550.83
25200.0,1953.1399999999999,30938.18,11690.08,98787.0
28800.0,5494.78,57636.97,17292.08,156056.37
32400.0,5446.22,66997.5,18083.5,158525.61
36000.0,5413.46,73901.65,18184.41,155373.7
39600.0,5432.04,80589.3,17971.09,151355.13
43200.0,5443.58,84730.78,17711.91,141561.25
46800.0,5423.98,79405.3,17829.25,121829.31
50400.0,5459.01,81436.52,17422.67,117896.86
54000.0,5440.96,76244.35,16224.300000000001,79705.26
57600.0,5086.23,61906.45,8325.34,57459.23
61200.0,4720.2266666666665,53087.92,4513.25,64679.76
64800.0,4354.223333333333,51080.23,4511.91,74206.76
68400.0,3988.2200000000003,45435.36,4724.85,86838.47
72000.0,476.18,13290.82,5664.92,87722.54
75600.0,108.02,4904.66,2125.83,51445.24
79200.0,102.28999999999999,41.71,952.08,46190.6
82800.0,114.35,8617.05,204.5,52216.58
86400.0,137.79,8808.85,182.0,56364.73
90000.0,148.26,4617.51,167.92,52617.94
93600.0,164.38,4504.41,168.75,45898.0
97200.0,185.55,3574.46,172.58,48107.11
100800.0,192.72,5359.82,176.17,48626.83
104400.0,190.68,4371.67,172.17,51582.26
108000.0,918.05,4368.17,230.25,52458.28
111600.0,1818.9599999999998,17013.2,13326.92,88043.0
115200.0,5209.299999999999,27386.4,17718.75,137078.77
118800.0,5444.37,29082.37,17623.25,137215.4
122400.0,5386.07,29550.1,17587.83,159890.2
126000.0,5513.58,31222.24,17651.79,137540.29
129600.0,5482.549999999999,32096.21,17646.09,135679.18
133200.0,5383.03,35936.37,17422.33,112637.15
136800.0,5421.53,37017.71,17205.67,93546.91
140400.0,5563.21,30525.8,15832.17,80005.89
144000.0,4876.5,21680.48,7282.17,60472.75
147600.0,4718.67,12538.57,4506.5,55707.87
151200.0,4655.61,8731.61,4503.58,65853.6
154800.0,3337.64,6434.09,4501.92,86771.2
158400.0,506.15,8122.38,4502.09,66547.03
162000.0,100.98,5332.36,1674.5,48681.63
165600.0,124.18,6717.59,255.75,44178.6
169200.0,137.17000000000002,6003.53,205.58999999999997,53615.65
172800.0,168.05,1733.4,171.58,45810.47
