timestamp(s),Cons_FC_PB,Cons_FC_P1,Cons_FC_P2,Cons_FC_P3,Ilum_PB,Ilum_P1,Ilum_P2,Ilum_P3,Temp_PB,Temp_P1,TempP2,Cons_Ref,Cons_Vent,TOTAL
0.0,0.0,711.99,0.0,0.0,21.69,0.0,4306.74,0.0,27.33333333333334,27.7,29.28583333333334,4801.19,0.0,51143.35
3600.0,0.0,692.45,0.0,0.0,0.0,0.0,4666.74,0.0,27.30916666666667,27.681000000000004,29.269166666666663,6303.84,0.0,53734.47
7200.0,0.0,662.58,0.0,0.0,0.0,0.0,4315.59,0.0,27.3,27.668333333333337,29.26583333333333,5433.54,0.0,54850.89
10800.0,0.0,657.59,0.0,0.0,0.0,0.0,4285.43,0.0,27.199166666666667,27.665000000000006,29.257499999999997,4254.1,0.0,47847.63
14400.0,0.0,661.6,0.0,0.0,0.0,0.0,4297.95,0.0,27.125833333333333,27.64916666666667,29.25,5339.58,0.0,50596.49
18000.0,0.0,662.44,0.0,0.0,0.0,0.0,4287.03,0.0,27.054999999999996,27.614166666666673,29.239166666666666,5860.17,0.0,54011.99
21600.0,0.0,655.73,0.0,0.0,2088.5,677.79,4333.75,81.67,27.0,27.590833333333336,29.220000000000002,4507.63,0.0,56177.69
25200.0,654.65,684.37,375.0,190.92,6210.72,3894.99,5327.51,887.84,26.843333333333334,27.323333333333334,28.430000000000003,42767.54,8030.08,129273.45
28800.0,1072.35,1125.46,1114.44,583.0,6501.38,4218.81,4383.18,941.92,26.41583333333334,26.53833333333333,27.27083333333334,45544.12,10018.56,143415.86
32400.0,964.87,1156.83,1106.27,711.26,6494.88,4200.06,4498.01,1201.97,26.45916666666666,26.438181818181818,27.419999999999998,57118.03,10075.01,144763.44
36000.0,1013.3,1179.98,1096.87,730.58,6454.72,4200.41,4485.17,1244.83,26.451666666666664,26.462499999999995,27.4475,73706.8,10036.81,156591.72
39600.0,932.48,1205.42,1102.75,737.59,6484.43,4240.36,4476.38,1254.41,26.53583333333333,26.677500000000006,27.521666666666672,77069.59,10040.48,150855.6
43200.0,930.7,1198.42,1101.22,737.64,6523.37,4193.06,4525.81,1279.84,26.571999999999996,26.816363636363636,27.610833333333332,77587.97,10026.65,137449.43
46800.0,932.02,1171.65,1100.99,606.6,6379.99,4168.24,4485.1,973.57,26.48375,26.81,27.615,76984.26,10049.95,128247.93
50400.0,1159.35,1203.41,1102.08,578.8,6201.24,4167.58,4466.0,920.03,26.405833333333334,26.73,27.571818181818177,66535.03,10129.01,118469.54
54000.0,396.22,1161.29,1112.99,334.25,5805.25,3917.71,4449.2,819.65,26.365833333333338,26.465000000000003,27.320000000000004,63115.55,10117.78,107313.1
57600.0,7.94,1156.5,1124.37,0.0,5605.87,1742.0,4297.11,541.99,26.415833333333335,26.340000000000003,26.949166666666667,31793.05,3153.1,58328.65
61200.0,0.0,1160.68,1128.42,0.0,1026.06,0.0,4286.54,0.0,26.488333333333333,26.477499999999996,26.817777777777778,27212.01,1746.17,57127.66
64800.0,0.0,1151.6,1123.29,0.0,129.48,0.0,4335.19,0.0,26.513333333333332,26.440833333333334,26.711000000000002,30562.5,1746.94,56822.72
68400.0,0.0,1158.56,1129.71,0.0,129.71,0.0,4336.68,0.0,26.534999999999997,26.375454545454545,26.509999999999994,26835.18,1750.83,61921.37
72000.0,0.0,1164.05,188.76,0.0,129.62,0.0,3994.15,0.0,26.675,26.53125,27.099999999999994,9244.05,293.41,63051.47
75600.0,0.0,1167.74,0.0,0.0,129.63,0.0,3814.07,0.0,26.833333333333332,26.819166666666664,28.015454545454546,5520.62,0.0,58324.14
79200.0,0.0,1170.84,0.0,0.0,130.09,0.0,186.09,0.0,26.879999999999995,26.949090909090913,28.255,6286.35,0.0,56275.31
82800.0,0.0,1170.81,0.0,0.0,129.86,0.0,187.84,0.0,27.010000000000005,26.973333333333333,28.22666666666667,5454.32,0.0,55842.65
86400.0,0.0,1158.67,0.0,0.0,23.17,0.0,208.33,0.0,27.042727272727276,27.009999999999998,28.219090909090905,5414.83,0.0,53112.05
90000.0,0.0,1164.97,0.0,0.0,0.0,0.0,198.69,0.0,27.053333333333338,27.034,28.233333333333334,3877.58,0.0,52227.24
93600.0,0.0,1168.14,0.0,0.0,0.0,0.0,194.72,0.0,27.025000000000002,27.03833333333333,28.24083333333333,4603.19,0.0,50034.95
97200.0,0.0,1164.53,0.0,0.0,0.0,0.0,183.87,0.0,27.021666666666665,27.04,28.235,4336.37,0.0,54790.77
100800.0,0.0,1163.43,0.0,0.0,0.0,0.0,193.04,0.0,26.96181818181818,27.034999999999997,28.211666666666673,5214.61,0.0,55075.78
104400.0,0.0,1169.14,0.0,0.0,0.0,0.0,195.94,0.0,26.897499999999997,27.023333333333337,28.175,4420.01,0.0,60367.77
108000.0,0.0,1160.5,0.0,0.0,0.0,0.0,206.41,0.0,26.86666666666667,27.015833333333333,28.1425,4361.81,0.0,52952.62
111600.0,316.94,1137.58,369.03,372.04,6154.96,3922.62,2146.68,605.14,26.897499999999997,26.7,27.325000000000003,26159.76,7792.28,105712.06
115200.0,1369.87,1210.53,1105.12,580.89,6631.36,4237.23,4461.42,943.25,26.663999999999998,25.969166666666666,26.398333333333337,36663.61,9958.67,133957.85
118800.0,1363.9,1284.33,1098.09,703.27,6514.76,4504.67,4670.34,1173.57,26.35888888888889,25.910833333333333,26.73,53190.95,10105.03,141392.85
122400.0,1365.26,1274.98,1098.93,731.88,6542.95,4463.86,4688.6,1266.59,26.25375,25.960833333333337,26.82166666666667,66844.1,10066.3,151400.18
126000.0,1364.16,1279.97,1098.48,730.58,6557.45,4562.96,4690.47,1274.53,26.250833333333333,26.110833333333336,26.85444444444444,68588.74,10073.33,139036.94
129600.0,1390.59,1301.78,1120.86,746.82,6350.91,4476.76,4678.88,1255.7,26.185000000000002,26.410000000000004,26.947499999999994,67879.47,10050.87,128625.9
133200.0,1082.05,1299.67,1118.18,613.25,6293.0,4447.25,4720.76,978.26,26.046666666666663,26.352500000000003,26.799166666666665,62036.72,9498.88,111043.4
136800.0,1004.44,1265.15,1127.5,601.7,6318.35,4320.7,4717.85,949.57,25.977500000000003,26.190833333333334,26.6375,52587.41,9487.04,91602.5
140400.0,212.3,1179.53,1141.71,416.97,5681.22,3902.86,4467.84,871.98,26.103,26.050833333333333,26.56,56460.86,10104.34,90999.03
144000.0,7.94,1171.5,1143.61,0.0,5541.4,1742.26,4387.86,451.21,26.190833333333334,25.89166666666667,26.296666666666667,32065.92,3173.35,63481.23
147600.0,0.0,1180.16,1149.68,0.0,725.5,0.0,4320.9,0.0,26.227777777777774,25.994444444444447,26.141000000000002,27489.09,1766.05,50905.8
151200.0,,,,,,,,,,,,,,
154800.0,,,,,,,,,,,,,,
158400.0,,,,,,,,,,,,,,
162000.0,,,,,,,,,,,,,,
165600.0,,,,,,,,,,,,,,
169200.0,,,,,,,,,,,,,,
172800.0,,,,,,,,,,,,,,
176400.0,,,,,,,,,,,,,,
180000.0,,,,,,,,,,,,,,
183600.0,,,,,,,,,,,,,,
187200.0,,,,,,,,,,,,,,
190800.0,,,,,,,,,,,,,,
194400.0,,,,,,,,,,,,,,
198000.0,,,,,,,,,,,,,,
201600.0,1387.38,1219.17,1120.17,506.92,6427.21,4273.97,6070.17,946.45,26.119999999999997,25.17,25.795,24215.12,9324.79,113054.33
205200.0,1380.5,1259.27,1115.43,626.54,6535.08,4480.08,4700.66,1204.19,26.017272727272726,25.133636363636366,25.88083333333333,37975.44,9357.87,124143.63
208800.0,1386.69,1258.19,1119.86,651.75,6559.06,4468.63,4685.39,1248.2,25.879999999999995,25.185000000000002,26.12444444444445,61038.16,9368.49,140760.05
212400.0,1265.92,1262.62,1093.2,669.32,6665.74,4439.56,4694.86,1410.53,25.930000000000003,25.426363636363636,26.36333333333334,59231.26,9363.22,134252.86
216000.0,744.71,1257.5,1077.47,705.66,6497.8,4404.57,4682.87,1546.24,25.901,25.480000000000004,26.338333333333335,68562.46,10149.03,130114.8
