mad_timestamp(s),mad_x,mad_y,mad_z,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.2,0.2,0.2,0.2,50,-1.0,-0.1,0.09999999999999432,0.09999999999999432,19.5,9.673847907287634,117,6,0.0010734463276834425,0.010055227495546822,0.09999999999999432,0.0010734463276834425,0.010055227495546822,0.09999999999999432,6.006006006006004,17.71771771771772,76.27627627627628
0.4,0.4,0.4,0.4,50,-1.0,-0.1,0.38000000000000966,0.38000000000000966,11.7,10.257192598367254,117,10,0.009623655913978261,0.04707998546936394,0.38000000000000966,0.009623655913978261,0.04707998546936394,0.38000000000000966,6.006006006006004,18.61861861861862,75.37537537537537
0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,50,-1.0,-0.1,0.5799999999999841,0.7199999999999949,11.7,10.257192598367254,117,10,0.017625898116978296,0.07890061185788416,0.5799999999999841,0.018571428571428163,0.08592830423898468,0.7199999999999949,6.006006006006004,18.91891891891892,75.07507507507508
0.8,0.8,0.8,0.8,50,-1.0,-0.1,0.7800000000000011,0.7800000000000011,11.9,10.338762014864256,119,10,0.02412132679223383,0.1021229606591094,0.7800000000000011,0.02505208333333292,0.10750483223554562,0.7800000000000011,6.106106106106111,19.21921921921922,74.67467467467468
1.0,1.0,1.0,1.0,50,-1.0,-0.1,0.8400000000000034,0.8400000000000034,9.75,10.166325130875299,117,12,0.033545101251840764,0.13134358164148696,0.8400000000000034,0.03446153846153833,0.13544264490614297,0.8400000000000034,6.006006006006004,19.51951951951952,74.47447447447448
1.2,1.2,1.2,1.2,50,-1.0,-0.1,1.5620499351813222,2.349999999999987,5.473684210526316,7.140458639645463,104,19,0.19462185535529436,0.41453112094536615,1.5620499351813222,0.24845132743362805,0.5523439913669035,2.349999999999987,5.905905905905897,22.62262262262262,71.47147147147147
1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,50,-1.0,-0.1,2.006913052426531,3.4499999999999886,6.159090909090909,12.600402558176432,271,44,0.42784416365616135,0.580383681947319,2.006913052426531,0.5674760383386578,0.8411818592625233,3.4499999999999886,14.214214214214216,31.33133133133133,54.454454454454456
1.6,1.6,1.6,1.6,50,-1.0,-0.1,2.006913052426531,3.4499999999999886,5.826923076923077,11.784476676227262,303,52,0.5305096353537226,0.6424376214093066,2.006913052426531,0.7089913544668587,0.9252885630965623,3.4499999999999886,15.815815815815817,34.73473473473474,49.44944944944945
1.8,1.8,1.8,1.8,50,-1.0,-0.1,2.4275913988972704,4.100000000000001,5.583333333333333,9.308225156041056,335,60,0.6573009546759272,0.7233075754922649,2.4275913988972704,0.8934974093264249,1.0576814736650264,4.100000000000001,17.41741741741742,38.63863863863864,43.94394394394394
2.0,2.0,2.0,2.0,50,-1.0,-0.1,2.4275913988972704,4.100000000000001,4.926470588235294,7.677921318856212,335,68,0.7032741709744621,0.7465347018925769,2.4275913988972704,0.9472660098522165,1.071644224092988,4.100000000000001,17.41741741741742,40.64064064064064,41.94194194194194
2.2,2.2,2.2,2.2,50,-1.0,-0.1,3.180094338223312,5.47999999999999,3.988095238095238,6.569217623233826,335,84,1.0178460936381122,0.9468606144768172,3.180094338223312,1.3789648033126294,1.3663933593317081,5.47999999999999,17.41741741741742,48.348348348348345,34.234234234234236
2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,50,-1.0,-0.1,3.3532819744244664,5.670000000000016,3.7222222222222223,6.191441723644336,335,90,1.122156985875738,1.003336654712764,3.3532819744244664,1.530900195694716,1.4635897922774228,5.670000000000016,17.41741741741741,51.151151151151154,31.431431431431434
2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,50,-1.0,-0.1,3.3532819744244664,5.670000000000016,3.8333333333333335,6.525590650150631,345,90,1.1948995337351773,1.047563441720754,3.3532819744244664,1.6335714285714285,1.5207847043807385,5.670000000000016,17.917917917917922,53.25325325325325,28.82882882882883
2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,50,-1.0,-0.1,3.688604072003394,6.0000000000000036,3.648936170212766,6.246203011410657,343,94,1.2571964243557299,1.0958900707945727,3.688604072003394,1.7020848708487084,1.5758039850942773,6.0000000000000036,17.817817817817826,54.25425425425425,27.927927927927925
3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,50,-1.0,-0.1,4.137934267240112,6.069999999999972,3.29126213592233,5.919575994985702,339,103,1.448769295739468,1.2196434969262142,4.137934267240112,1.9121416526138282,1.6794105707846947,6.069999999999972,17.617617617617626,59.35935935935935,23.023023023023022
3.2,3.2,3.2,3.2,50,-1.0,-0.1,4.659195209475561,7.810000000000006,3.38,6.052734919026273,338,100,1.4993481900770838,1.2514613474177403,4.659195209475561,1.982312811980033,1.7293650961915776,7.810000000000006,17.51751751751752,60.16016016016016,22.32232232232232
3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,50,-1.0,-0.1,4.659195209475561,7.810000000000006,3.3465346534653464,5.85033745927643,338,101,1.5259548339210318,1.2822145848208293,4.659195209475561,2.0100661157024797,1.7587651553467203,7.810000000000006,17.51751751751752,60.56056056056056,21.92192192192192
3.6000000000000005,3.6000000000000005,3.6000000000000005,3.6000000000000005,50,-1.0,-0.1,4.659195209475561,7.810000000000006,3.38,5.789265929286716,338,100,1.5760503863753281,1.3197555181389193,4.659195209475561,2.061314935064935,1.7910965927922509,7.810000000000006,17.51751751751752,61.66166166166166,20.82082082082082
3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,50,-1.0,-0.1,4.786742107112094,7.810000000000006,3.36,5.761111003964426,336,100,1.6175939175608793,1.3588379733691753,4.882396952317593,2.122768,1.848777720056146,7.840000000000016,17.41741741741742,62.56256256256256,20.02002002002002
4.0,4.0,4.0,4.0,50,-1.0,-0.1,4.786742107112094,7.810000000000006,3.3267326732673266,5.743888548815139,336,101,1.6491216473847368,1.3914039438582155,4.882396952317593,2.1572222222222224,1.8769895852130447,7.840000000000016,17.41741741741742,63.06306306306306,19.51951951951952
4.2,4.2,4.2,4.2,50,-1.0,-0.1,6.13196542716933,10.279999999999987,3.34,5.727512549091447,334,100,1.8377107552978533,1.5433293979186296,6.13196542716933,2.356496913580247,2.040200058270819,10.279999999999987,17.31731731731731,64.86486486486487,17.81781781781782
4.4,4.4,4.4,4.4,50,-1.0,-0.1,6.13196542716933,10.279999999999987,3.2149532710280373,5.650288285397195,344,107,1.9030567419363145,1.5941712667879193,6.13196542716933,2.4540121580547107,2.128878583707462,10.279999999999987,17.817817817817815,65.86586586586587,16.316316316316314
4.6000000000000005,4.6000000000000005,4.6000000000000005,4.6000000000000005,50,-1.0,-0.1,6.13196542716933,10.279999999999987,3.257142857142857,5.616351249747848,342,105,1.957799231365488,1.620220635574071,6.13196542716933,2.518593040847201,2.1396788084241396,10.279999999999987,17.71771771771772,66.16616616616616,16.116116116116117
4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,50,-1.0,-0.1,6.13196542716933,10.279999999999987,3.269230769230769,5.578514361835694,340,104,2.019546431302011,1.662478959375174,6.13196542716933,2.5936706948640484,2.197172235200319,10.279999999999987,17.61761761761761,66.26626626626627,16.116116116116117
5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,50,-1.0,-0.1,6.9727756309808315,11.420000000000002,3.238095238095238,5.441505060574973,340,105,2.1024223663796358,1.7498034962412463,6.9727756309808315,2.7201173020527856,2.3591641962176566,11.420000000000002,17.61761761761761,68.26826826826827,14.114114114114114
5.2,5.2,5.2,5.2,50,-1.0,-0.1,7.458056046987041,12.159999999999997,3.36,5.532666626501185,336,100,2.1632690408327435,1.8013244209348964,7.458056046987041,2.82233671988389,2.4582846326444323,12.159999999999997,17.41741741741742,68.96896896896897,13.613613613613614
5.4,5.4,5.4,5.4,50,-1.0,-0.1,7.458056046987041,12.159999999999997,3.4285714285714284,5.525451315946776,336,98,2.1950598962514944,1.8159033568746623,7.458056046987041,2.8676690647482013,2.470999629918507,12.159999999999997,17.41741741741742,69.56956956956957,13.013013013013014
5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,50,-1.0,-0.1,7.500833287042184,11.74999999999999,3.607843137254902,5.7208885617689145,368,102,2.335876019010313,1.9295637167447461,7.984165579445356,3.100378151260504,2.741322494101249,12.93,19.019019019019016,71.47147147147147,9.50950950950951
5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,50,-1.0,-0.1,7.314239536684594,11.75000000000001,3.588235294117647,5.734917031344167,366,102,2.361880922755606,1.9543036531106344,7.984165579445356,3.1371169916434543,2.768475927014321,12.93,18.918918918918916,71.87187187187187,9.20920920920921
6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,50,-1.0,-0.1,8.441445373868154,14.22000000000001,3.5533980582524274,5.651236062643675,366,103,2.4791198951091937,2.0654339511853683,8.441445373868154,3.2897275204359673,2.9040571885962785,14.22000000000001,18.918918918918916,73.47347347347348,7.6076076076076085
6.2,6.2,6.2,6.2,50,-1.0,-0.1,8.441445373868154,14.22000000000001,3.623762376237624,5.734818935307607,366,101,2.554682084168151,2.108367538279925,8.441445373868154,3.413780487804878,2.997033934021918,14.22000000000001,18.918918918918916,73.87387387387388,7.207207207207207
6.4,6.4,6.4,6.4,50,-1.0,-0.1,8.441445373868154,14.22000000000001,3.757575757575758,5.893140866682538,372,99,2.623389740273982,2.1772756743286004,8.672081641682126,3.537029569892473,3.13313001271013,14.22000000000001,19.21921921921922,74.47447447447448,6.306306306306306
6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,50,-1.0,-0.1,8.441445373868154,14.22000000000001,3.72,5.866992415198779,372,100,2.6629366404892996,2.213683405672917,8.672081641682126,3.5997583892617446,3.190440872631631,14.22000000000001,19.219219219219223,74.57457457457457,6.206206206206207
6.800000000000001,6.800000000000001,6.800000000000001,6.800000000000001,50,-1.0,-0.1,8.441445373868154,14.22000000000001,3.7373737373737375,5.873387779794173,370,99,2.6570801721114634,2.2126385748679263,8.672081641682126,3.5810187667560323,3.169138596636005,14.22000000000001,19.119119119119116,74.67467467467468,6.206206206206207
7.000000000000001,7.000000000000001,7.000000000000001,7.000000000000001,50,-1.0,-0.1,9.898186702623867,16.68999999999999,3.6633663366336635,5.814419133146189,370,101,2.7883860439834782,2.3476642528459424,9.898186702623867,3.751902245706738,3.3378294192765194,16.68999999999999,19.119119119119112,75.77577577577578,5.105105105105105
7.5,7.5,7.5,7.5,50,-1.0,-0.1,9.898186702623867,16.68999999999999,3.592233009708738,5.774797761690441,370,103,2.8250817631524665,2.348204987701085,9.898186702623867,3.805825627476883,3.3452775146333176,16.68999999999999,19.119119119119112,75.77577577577578,5.105105105105105
7.7,7.7,7.7,7.7,50,-1.0,-0.1,9.898186702623867,16.68999999999999,3.5728155339805827,5.739662622857263,368,103,2.8443618283515666,2.3683631579619995,9.898186702623867,3.82796833773087,3.3722065682338016,16.68999999999999,19.01901901901902,75.87587587587588,5.105105105105105
7.9,7.9,7.9,7.9,50,-1.0,-0.1,11.36111350176557,19.169999999999995,3.5728155339805827,5.7430446607771595,368,103,2.911458193977442,2.4153238646852713,11.36111350176557,3.917477003942181,3.453201404780937,19.169999999999995,19.019019019019012,76.17617617617618,4.804804804804805
8.100000000000001,8.100000000000001,8.100000000000001,8.100000000000001,50,-1.0,-0.1,11.36111350176557,19.169999999999995,3.603960396039604,5.759330282711889,364,101,3.0801810326539107,2.555550337263257,11.36111350176557,4.148976683937824,3.649035625950556,19.169999999999995,18.81881881881882,77.27727727727728,3.903903903903904
8.3,8.3,8.3,8.3,50,-1.0,-0.1,11.36111350176557,19.169999999999995,3.603960396039604,5.707523622327079,364,101,3.117097019385104,2.5979401128146877,11.36111350176557,4.197240932642487,3.73533273642336,19.169999999999995,18.81881881881882,77.27727727727728,3.903903903903904
8.5,8.5,8.5,8.5,50,-1.0,-0.1,11.36111350176557,19.169999999999995,3.5145631067961167,5.677179796359483,362,103,3.152406460380036,2.6089129501607946,11.36111350176557,4.260245795601553,3.759255185736426,19.169999999999995,18.718718718718726,77.37737737737737,3.903903903903904
