mad_timestamp(s),mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-1.0,-0.1,0.22360679774997957,0.3000000000000014,37.6,37.70198933743417,188,5,0.0006670973192913278,0.011204429174887724,0.22360679774997957,0.0007874015748031753,0.013724298769435279,0.3000000000000014,6.703229737964655,77.39183424741012,15.904936014625228
0.4,0.4,0.4,0.4,0.4,0.4,0.4,50,-1.0,-0.1,0.44721359549995915,0.6000000000000028,27.714285714285715,36.593185492517534,194,7,0.0033310074636482404,0.03153347985657116,0.44721359549995915,0.004130943102104552,0.04034251253529955,0.6000000000000028,6.8860450944546105,78.1840341255332,14.929920780012187
0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,50,-1.0,-0.1,1.0392304845412836,1.799999999999926,22.88888888888889,35.454021694597465,206,9,0.018597215983847334,0.1053261372837767,1.0392304845412836,0.025133282559024715,0.14766680365406917,1.799999999999926,7.251675807434484,80.01218769043267,12.736136502132847
0.8,0.8,0.8,0.8,0.8,0.8,0.8,50,-1.0,-0.1,1.326649916142093,2.7999999999998693,16.133333333333333,29.734080708095814,242,15,0.06049267608812938,0.20747470954669167,1.326649916142093,0.08594087959625067,0.30482286173825873,2.7999999999998693,8.348567946374168,84.52163315051797,7.129798903107861
1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,-1.0,-0.1,1.6340134638368324,3.5000000000000355,12.2,25.927977167530827,244,20,0.09650499925955044,0.29564315937381735,1.6340134638368324,0.14530154277699783,0.49290443581361704,3.5000000000000355,8.40950639853747,86.89823278488727,4.692260816575259
1.2,1.2,1.2,1.2,1.2,1.2,1.2,50,-1.0,-0.1,1.732050807568861,3.5000000000000355,10.166666666666666,23.938578812359676,244,24,0.14673376338476485,0.39142317060706167,1.8027756377319788,0.23863328822733393,0.6986377810775731,3.5000000000000355,8.409506398537484,90.06703229737964,1.5234613040828764
1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,50,-1.0,-0.1,2.0322401432901414,3.5000000000000355,8.962962962962964,22.66255106669327,242,27,0.15597396549240305,0.409132367096207,2.0322401432901414,0.25279461279461246,0.7229759403613271,3.5000000000000355,8.348567946374153,90.49360146252286,1.157830591102986
1.6,1.6,1.6,1.6,1.6,1.6,1.6,50,-1.0,-0.1,2.0322401432901414,3.5999999999999996,8.962962962962964,23.065898319704015,242,27,0.16006581326478664,0.41956451982825427,2.1999999999999824,0.25975773889636583,0.7400090541741748,3.7999999999999776,8.348567946374155,90.55453991468617,1.0968921389396709
1.8,1.8,1.8,1.8,1.8,1.8,1.8,50,-1.0,-0.1,2.209072203437435,3.5000000000000355,8.962962962962964,23.065898319704015,242,27,0.16758359622780894,0.4357886148439777,2.447447650104049,0.2713806970509379,0.7618007960910644,4.09999999999995,8.348567946374166,90.92017062766605,0.7312614259597806
2.0,2.0,2.0,2.0,2.0,2.0,2.0,50,-1.0,-0.1,2.273763400180429,3.700000000000017,9.23076923076923,23.319367474446732,240,26,0.17102862971387378,0.44662803575894844,2.712931993250056,0.2769591426657734,0.7792638232121681,4.499999999999961,8.287629494210853,90.98110907982937,0.7312614259597806
