dt-timestamp(s),dt-s1,dt-s2,dt-s3,dt-s4,dt-s5,dt-s6,pt-timestamp(s),pt-s1,pt-s2,pt-s3,pt-s4,pt-s5,pt-s6,operation
40,90.0,90.0,92.2,92.00444444444445,90,71.46000000000001,21,90.0,90.0,90.0,90.0,90,72.0,Mismatch
60,90.0,90.0,93.29999999999998,93.00666666666665,90,70.69000000000001,42,90.0,90.0,91.0,91.0,90,72.0,Mismatch
80,90.0,90.0,94.39999999999998,94.00888888888886,90,69.92000000000002,62,90.0,90.0,91.0,91.0,90,71.0,Mismatch
100,90.0,90.0,95.49999999999996,95.01111111111108,90,69.15000000000002,83,90.0,90.0,92.0,92.0,90,71.0,Mismatch
120,90.0,90.0,96.59999999999997,96.01333333333328,90,68.38000000000002,104,90.0,90.0,93.0,92.0,90,70.0,Mismatch
140,90.0,90.0,97.69999999999996,97.01555555555552,90,67.61000000000003,125,90.0,90.0,94.0,93.0,90,70.0,Mismatch
160,90.0,90.0,98.79999999999995,98.01777777777772,90,66.84000000000003,145,90.0,90.0,94.0,94.0,90,69.0,Mismatch
180,90.0,90.0,99.89999999999996,99.01999999999994,90,66.07000000000004,166,90.0,90.0,95.0,94.0,90,69.0,Mismatch
200,90.0,90.0,100.99999999999994,100.02222222222215,90,65.30000000000004,186,90.0,90.0,95.0,95.0,90,68.0,Mismatch
220,90.0,90.0,102.09999999999994,101.02444444444436,90,64.53000000000004,201,90.0,90.0,96.0,95.0,90,68.0,Mismatch
240,90.0,90.0,103.19999999999992,102.0266666666666,90,63.76000000000004,214,90.0,90.0,96.0,96.0,90,68.0,Mismatch
260,90.0,90.0,104.29999999999993,103.0288888888888,90,62.99000000000004,234,90.0,90.0,96.4,96.3,90,67.7,Mismatch
280,90.0,90.0,105.39999999999992,104.03111111111102,90,62.220000000000034,254,90.0,90.0,96.8,96.6,90,67.4,Mismatch
300,90.0,90.0,106.49999999999991,105.03333333333325,90,61.45000000000003,274,90.0,90.0,97.2,96.9,90,67.1,Mismatch
320,90.0,90.0,107.59999999999992,106.03555555555543,90,60.68000000000003,300,90.0,90.0,100.0,99.0,90,65.0,Mismatch
340,90.0,90.0,108.6999999999999,107.03777777777766,90,59.910000000000025,320,90.0,90.0,100.4,99.4,90,64.7,Mismatch
360,90.0,90.0,109.7999999999999,108.03999999999988,90,59.14000000000002,340,90.0,90.0,100.8,99.8,90,64.4,Mismatch
380,90.0,90.0,110.89999999999988,109.0422222222221,90,58.37000000000002,360,90.0,90.0,101.2,100.2,90,64.1,Mismatch
400,90.0,90.0,111.99999999999989,110.04444444444432,90,57.600000000000016,380,90.0,90.0,101.6,100.6,90,63.8,Mismatch
420,90.0,90.0,113.09999999999988,111.04666666666652,90,56.83000000000001,400,90.0,90.0,104.0,103.0,90,62.0,Mismatch
440,90.0,90.0,114.19999999999987,112.04888888888874,90,56.06000000000001,420,90.0,90.0,104.5,103.4,90,61.7,Mismatch
460,90.0,90.0,115.29999999999988,113.05111111111096,90,55.290000000000006,440,90.0,90.0,105.0,103.8,90,61.4,Mismatch
