dt-timestamp(s),dt-s1,dt-s2,dt-s3,dt-s4,dt-s5,dt-s6,pt-timestamp(s),pt-s1,pt-s2,pt-s3,pt-s4,pt-s5,pt-s6,operation
-,-,-,-,-,-,-,10.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,20.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,30.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,40.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,50.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,60.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,70.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,80.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,90.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,100.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,110.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,120.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,130.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,140.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,150.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,160.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,170.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,180.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
-,-,-,-,-,-,-,190.0,90.0,90.0,90.0,90.0,90.0,73.0,Insertion
10.0,90.0,90.0,92.0,91.8,90.0,71.6,200.0,90.0,90.0,90.0,90.0,90.0,73.0,Mismatch
20.0,90.0,90.0,94.0,93.6,90.0,70.19999999999999,210.0,90.0,90.0,91.1,91.0,90.0,72.2,Mismatch
30.0,90.0,90.0,96.0,95.4,90.0,68.79999999999998,220.0,90.0,90.0,92.2,92.0,90.0,71.4,Mismatch
40.0,90.0,90.0,98.0,97.2,90.0,67.39999999999998,230.0,90.0,90.0,93.29999999999998,93.0,90.0,70.60000000000001,Mismatch
50.0,90.0,90.0,100.0,99.0,90.0,65.99999999999997,240.0,90.0,90.0,94.39999999999998,94.0,90.0,69.80000000000001,Mismatch
