dt-timestamp(s),dt-x,dt-y,dt-z,pt-timestamp(s),pt-x,pt-y,pt-z,operation
-,-,-,-,10.0,0.0,0.0,471,Insertion
-,-,-,-,20.0,0.0,0.0,471,Insertion
-,-,-,-,30.0,0.0,0.0,471,Insertion
-,-,-,-,40.0,0.0,0.0,471,Insertion
-,-,-,-,50.0,0.0,0.0,471,Insertion
-,-,-,-,60.0,0.0,0.0,471,Insertion
-,-,-,-,70.0,0.0,0.0,471,Insertion
-,-,-,-,80.0,0.0,0.0,471,Insertion
-,-,-,-,90.0,0.0,0.0,471,Insertion
-,-,-,-,100.0,0.0,0.0,471,Insertion
-,-,-,-,110.0,0.0,0.0,471,Insertion
-,-,-,-,120.0,0.0,0.0,471,Insertion
-,-,-,-,130.0,0.0,0.0,471,Insertion
-,-,-,-,140.0,0.0,0.0,471,Insertion
-,-,-,-,150.0,0.0,0.0,471,Insertion
-,-,-,-,160.0,0.0,0.0,471,Insertion
-,-,-,-,170.0,0.0,0.0,471,Insertion
-,-,-,-,180.0,0.0,0.0,471,Insertion
-,-,-,-,190.0,0.0,0.0,471,Insertion
-,-,-,-,200.0,0.0,0.0,471,Insertion
-,-,-,-,210.0,-8.39,-0.0,471,Insertion
-,-,-,-,220.0,-16.77,-0.0,470,Insertion
-,-,-,-,230.0,-25.13,-0.0,470,Insertion
-,-,-,-,240.0,-33.46,-0.0,469,Insertion
-,-,-,-,250.0,-41.75,-0.0,468,Insertion
10.0,-15.19,-0.0,471,260.0,-50.0,-0.0,466,Mismatch
20.0,-30.32,-0.0,469,270.0,-58.18,-0.0,464,Mismatch
30.0,-45.33,-0.0,467,280.0,-66.3,-0.0,462,Mismatch
40.0,-60.18,-0.0,464,290.0,-74.35,-0.0,460,Mismatch
50.0,-74.79,-0.0,460,300.0,-82.3,-0.0,457,Mismatch
60.0,-89.13,-0.0,455,310.0,-92.07,-0.0,454,Match
70.0,-103.12,-0.0,449,320.0,-101.68,-0.0,450,Match
-,-,-,-,330.0,-111.11,-0.0,445,Insertion
-,-,-,-,340.0,-120.33,-0.0,440,Insertion
-,-,-,-,350.0,-129.35,-0.0,435,Insertion
80.0,-116.72,-0.0,442,360.0,-138.14,-0.0,430,Mismatch
90.0,-129.89,-0.0,435,370.0,-146.68,-0.0,424,Mismatch
100.0,-142.56,-0.0,427,380.0,-154.96,-0.0,418,Mismatch
110.0,-154.7,-0.0,418,390.0,-162.97,-0.0,411,Mismatch
120.0,-166.25,-0.0,408,400.0,-170.69,-0.0,404,Mismatch
130.0,-177.18,-0.0,398,410.0,-178.32,-0.0,397,Match
140.0,-187.44,-0.0,387,420.0,-185.62,-0.0,389,Match
-,-,-,-,430.0,-192.56,-0.0,381,Insertion
150.0,-197.0,-0.0,375,440.0,-199.15,-0.0,373,Match
160.0,-205.83,-0.0,363,450.0,-205.35,-0.0,364,Match
-,-,-,-,460.0,-211.18,-0.0,355,Insertion
-,-,-,-,470.0,-216.61,-0.0,346,Insertion
-,-,-,-,480.0,-221.63,-0.0,337,Insertion
-,-,-,-,490.0,-226.24,-0.0,328,Insertion
-,-,-,-,500.0,-230.43,-0.0,318,Insertion
-,-,-,-,510.0,-234.19,-0.0,308,Insertion
-,-,-,-,520.0,-237.52,-0.0,298,Insertion
-,-,-,-,530.0,-240.41,-0.0,288,Insertion
170.0,-213.89,-0.0,351,540.0,-242.85,-0.0,278,Mismatch
180.0,-221.16,-0.0,338,550.0,-244.86,-0.0,268,Mismatch
190.0,-227.61,-0.0,325,560.0,-246.41,-0.0,258,Mismatch
200.0,-233.21,-0.0,311,570.0,-247.52,-0.0,248,Mismatch
210.0,-238.02,-0.0,297,580.0,-248.17,-0.0,237,Mismatch
220.0,-241.92,-0.0,282,590.0,-248.38,-0.0,227,Mismatch
230.0,-244.88,-0.0,268,600.0,-248.14,-0.0,217,Mismatch
240.0,-246.92,-0.0,253,610.0,-247.46,-0.0,207,Mismatch
250.0,-248.02,-0.0,238,620.0,-246.34,-0.0,197,Mismatch
260.0,-248.19,-0.0,223,630.0,-244.78,-0.0,187,Mismatch
270.0,-247.43,-0.0,209,640.0,-242.78,-0.0,177,Mismatch
280.0,-245.75,-0.0,194,650.0,-240.37,-0.0,167,Mismatch
290.0,-243.16,-0.0,180,660.0,-237.53,-0.0,157,Mismatch
300.0,-239.69,-0.0,166,670.0,-234.29,-0.0,148,Mismatch
310.0,-235.51,-0.0,152,680.0,-230.64,-0.0,139,Mismatch
320.0,-230.52,-0.0,139,690.0,-226.61,-0.0,130,Mismatch
330.0,-224.75,-0.0,126,700.0,-222.19,-0.0,121,Mismatch
340.0,-218.24,-0.0,114,710.0,-217.61,-0.0,112,Match
350.0,-211.0,-0.0,102,720.0,-212.69,-0.0,104,Match
-,-,-,-,730.0,-207.45,-0.0,96,Insertion
360.0,-203.09,-0.0,91,740.0,-201.9,-0.0,89,Match
370.0,-194.53,-0.0,80,750.0,-196.05,-0.0,81,Match
-,-,-,-,760.0,-189.91,-0.0,74,Insertion
380.0,-185.36,-0.0,70,770.0,-183.49,-0.0,67,Mismatch
390.0,-175.64,-0.0,60,780.0,-176.81,-0.0,61,Match
400.0,-165.4,-0.0,52,790.0,-169.89,-0.0,55,Mismatch
410.0,-160.1,-0.0,47,800.0,-162.73,-0.0,49,Match
420.0,-154.69,-0.0,44,810.0,-157.64,-0.0,45,Match
-,-,-,-,820.0,-152.45,-0.0,41,Insertion
430.0,-149.17,-0.0,40,830.0,-147.17,-0.0,38,Match
440.0,-143.56,-0.0,36,840.0,-141.8,-0.0,35,Match
450.0,-137.85,-0.0,33,850.0,-136.36,-0.0,32,Match
460.0,-132.05,-0.0,30,860.0,-130.84,-0.0,29,Match
