dt-timestamp(s),dt-s1,dt-s2,dt-s3,dt-s4,dt-s5,dt-s6,pt-timestamp(s),pt-s1,pt-s2,pt-s3,pt-s4,pt-s5,pt-s6,operation
0.199985504,89.90004107,89.99974617,89.99998758,90.00018756,90.0800679,73.00011473,0.0,90.0,90.0,90.0,90.0,90.0,73.0,Match
-,-,-,-,-,-,-,21.0,90.0,90.0,90.0,90.0,90.0,72.0,Insertion
-,-,-,-,-,-,-,42.0,90.0,90.0,91.0,91.0,90.0,72.0,Insertion
-,-,-,-,-,-,-,62.0,90.0,90.0,91.0,91.0,90.0,71.0,Insertion
-,-,-,-,-,-,-,83.0,90.0,90.0,92.0,92.0,90.0,71.0,Insertion
-,-,-,-,-,-,-,104.0,90.0,90.0,93.0,92.0,90.0,70.0,Insertion
-,-,-,-,-,-,-,125.0,90.0,90.0,94.0,93.0,90.0,70.0,Insertion
-,-,-,-,-,-,-,145.0,90.0,90.0,94.0,94.0,90.0,69.0,Insertion
-,-,-,-,-,-,-,166.0,90.0,90.0,95.0,94.0,90.0,69.0,Insertion
-,-,-,-,-,-,-,186.0,90.0,90.0,95.0,95.0,90.0,68.0,Insertion
-,-,-,-,-,-,-,201.0,90.0,90.0,96.0,95.0,90.0,68.0,Insertion
-,-,-,-,-,-,-,214.0,90.0,90.0,96.0,96.0,90.0,68.0,Insertion
-,-,-,-,-,-,-,234.0,90.0,90.0,96.4,96.3,90.0,67.7,Insertion
-,-,-,-,-,-,-,254.0,90.0,90.0,96.8,96.6,90.0,67.4,Insertion
-,-,-,-,-,-,-,274.0,90.0,90.0,97.2,96.9,90.0,67.1,Insertion
-,-,-,-,-,-,-,300.0,90.0,90.0,100.0,99.0,90.0,65.0,Insertion
20.05302906,89.6658852,90.00763918,90.89207039,90.81095157,89.99397142,72.39089359,320.0,90.0,90.0,100.4,99.4,90.0,64.7,Mismatch
40.15080929,89.69276339,90.00339163,91.78904184,91.62922813,90.00039843,71.75440148,340.0,90.0,90.0,100.8,99.8,90.0,64.4,Mismatch
60.13505459,89.69067823,89.99867236,92.64078557,92.40631481,90.00001161,71.16115618,360.0,90.0,90.0,101.2,100.2,90.0,64.1,Mismatch
80.03716469,89.69069256,89.99992027,93.56098091,93.24444464,90.00001174,70.49466069,380.0,90.0,90.0,101.6,100.6,90.0,63.8,Mismatch
100.1064539,89.69075362,90.00058998,94.46799763,94.07064733,89.99971289,69.87412297,400.0,90.0,90.0,104.0,103.0,90.0,62.0,Mismatch
120.1167822,89.69081766,90.0004358,95.36799412,94.89068865,89.99987995,69.23054469,420.0,90.0,90.0,104.5,103.4,90.0,61.7,Mismatch
140.1251078,89.69063462,90.00052901,96.28743296,95.72830392,90.00014579,68.61645852,440.0,90.0,90.0,105.0,103.8,90.0,61.4,Mismatch
160.0910187,89.69084811,90.00061955,97.20045165,96.56015955,90.00000702,67.95587978,460.0,90.0,90.0,105.5,104.2,90.0,61.1,Mismatch
180.0615072,89.69069787,90.00066607,98.10703142,97.38609348,89.99995085,67.31787285,480.0,90.0,90.0,106.0,104.6,90.0,60.8,Mismatch
200.0503302,89.69074833,90.00075248,99.02001359,98.21791811,89.99987712,66.68910471,500.0,90.0,90.0,109.0,107.0,90.0,59.0,Mismatch
220.0386047,89.69061648,90.0008694,99.92654959,99.04387905,90.00016579,66.06574044,520.0,90.0,90.0,109.4,107.4,90.0,58.7,Mismatch
240.0575876,89.69078557,90.00088519,100.9039402,99.93437628,89.99956357,65.36505776,540.0,90.0,90.0,109.8,107.8,90.0,58.4,Mismatch
260.038352,89.69039536,90.00094829,101.8233387,100.7720555,90.00063559,64.7478399,560.0,90.0,90.0,110.2,108.2,90.0,58.1,Mismatch
280.0915718,89.6909397,90.00104047,102.7170533,101.5863331,89.99983298,64.11108669,580.0,90.0,90.0,110.6,108.6,90.0,57.8,Mismatch
300.01719,89.69080631,90.00119461,103.6299848,102.4180146,90.00073853,63.45780506,600.0,90.0,90.0,113.0,111.0,90.0,56.0,Mismatch
320.0055838,89.69068144,90.00118285,104.5880613,103.2908627,90.00024482,62.79529516,620.0,90.0,90.0,113.5,111.4,90.0,55.7,Mismatch
340.0060654,89.6907029,90.00131071,105.5717156,104.1871201,89.9996486,62.09705867,640.0,90.0,90.0,114.0,111.8,90.0,55.4,Mismatch
360.1337671,89.69066973,90.00143096,106.5232052,105.0538958,89.99997348,61.43879122,660.0,90.0,90.0,114.5,112.2,90.0,55.1,Mismatch
380.0518036,89.69074688,90.00131817,107.494245,105.938768,89.99929541,60.75771907,680.0,90.0,90.0,115.0,112.6,90.0,54.8,Mismatch
400.0000954,89.69082332,90.00155901,108.4778289,106.8346855,89.99997216,60.06465025,700.0,90.0,90.0,118.0,115.0,90.0,53.0,Mismatch
420.0263739,89.69049632,90.00155497,109.4101399,107.6842404,90.00009927,59.42649511,720.0,90.0,90.0,118.4,115.4,90.0,52.7,Mismatch
440.0624275,89.69046413,90.00158467,110.3102443,108.5043304,90.00015137,58.80261661,740.0,90.0,90.0,118.8,115.8,90.0,52.4,Mismatch
460.063386,89.69076163,90.00174053,111.2618283,109.3711022,89.9999815,58.12671898,760.0,90.0,90.0,119.2,116.2,90.0,52.1,Mismatch
480.093646,89.69058654,90.00174485,112.2326204,110.2560534,89.9999707,57.44715434,780.0,90.0,90.0,119.6,116.6,90.0,51.8,Mismatch
500.0879049,89.69054207,90.00187282,113.2229974,111.1576333,89.99964106,56.75711733,800.0,90.0,90.0,122.0,119.0,90.0,50.0,Mismatch
520.0587749,89.69056642,90.0017914,114.200189,112.0483103,89.9999177,56.06893308,820.0,90.0,90.0,122.5,119.5,90.0,49.6,Mismatch
540.1107311,89.69080415,90.00207487,115.1194009,112.8858543,89.99937096,55.41773198,840.0,90.0,90.0,123.0,120.0,90.0,49.2,Mismatch
560.0174189,89.69096888,90.00193744,116.0516917,113.7354858,89.99961766,54.75337132,860.0,90.0,90.0,123.5,120.5,90.0,48.8,Mismatch
580.0107956,89.69066926,90.00217379,116.9712541,114.5729701,90.00000227,54.12393224,880.0,90.0,90.0,124.0,121.0,90.0,48.4,Mismatch
600.1056194,89.69061877,90.00202316,117.9097736,115.4284646,90.00030203,53.48320602,900.0,90.0,90.0,127.0,124.0,90.0,46.0,Mismatch
620.1203585,89.69086845,90.00256041,118.8162341,116.2537726,89.99962411,52.81744139,920.0,90.0,90.0,127.4,124.4,90.0,45.7,Mismatch
640.0840282,89.69104366,90.00221781,119.735972,117.0918476,89.99954057,52.1976986,940.0,90.0,90.0,127.8,124.8,90.0,45.4,Mismatch
660.0083828,89.69082677,90.00245171,120.6679896,117.9410269,89.99979978,51.53165957,960.0,90.0,90.0,128.2,125.2,90.0,45.1,Mismatch
680.0387621,89.69082807,90.00254993,121.632409,118.8197158,90.0000055,50.86190963,980.0,90.0,90.0,128.6,125.6,90.0,44.8,Mismatch
700.0398874,89.69101262,90.00268267,122.5518567,119.6570931,90.0001728,50.21400847,1000.0,90.0,90.0,131.0,128.0,90.0,43.0,Mismatch
