init_gap,cont_gap,low,mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots,clock_time,process_time,trace_length
-1.0,-0.1,50,0.15,0.15,0.15,0.15,0.15,0.15,0.14651167401194742,0.18059537000002024,100.75,164.20471217355487,403,4,0.07567478511076688,0.040514247150521585,0.14651167401194742,0.0832295004761878,0.04450957070722718,0.18059537000002024,40.34034034034033,2.1021021021021022,57.55755755755756,5.2024986743927,5.1734614,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.7949708812233365,1.5732606900000121,1.5454545454545454,1.437398936440173,17,11,0.4101961315025523,0.18559308445108372,0.7949708812233365,0.6250303495549455,0.3949109177704123,1.5732606900000121,40.34034034034033,18.21821821821822,41.44144144144144,4.4554173946380615,4.438139400000001,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.7914285053249033,1.5614142799999833,1.625,1.1110243021644486,13,8,0.4018986341861616,0.17706846501005719,0.7914285053249033,0.6033290263575429,0.37621088762782273,1.5614142799999833,39.73973973973974,17.917917917917915,42.34234234234234,8.436545610427856,8.3977649,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.7914285053249033,1.5614142799999833,1.625,1.1110243021644486,13,8,0.4018986341861616,0.17706846501005719,0.7914285053249033,0.6033290263575429,0.37621088762782273,1.5614142799999833,39.73973973973974,17.917917917917915,42.34234234234234,5.502340078353882,5.477547900000001,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.8485864253116084,1.6854297299999956,11.2,43.11473066134126,280,25,0.41696831274212354,0.16209129818069232,0.8485864253116084,0.6342345075566673,0.35427051670967236,1.6854297299999956,21.5360253365004,23.75296912114014,54.71100554235946,9.198501586914062,9.1657066,1263
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.7949708772122394,1.5732606973144527,18.9375,68.69813384474138,303,16,0.3945811922267732,0.178302888448031,0.7949708772122394,0.5930110893951293,0.37649522812275976,1.5732606973144527,28.928928928928926,17.917917917917915,53.153153153153156,4.961743593215942,4.927467699999999,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.834405254966201,1.667678039762194,25.76923076923077,62.23918360913293,335,13,0.4333016639119404,0.1633538996290532,0.834405254966201,0.6669849254897062,0.35994845376365636,1.667678039762194,24.695121951219512,22.027439024390244,53.27743902439024,8.752762079238892,8.719180699999999,1312
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.8252900854493306,1.6419670028214313,32.45454545454545,64.84718208830195,357,11,0.41943113950044286,0.16270412104352164,0.8252900854493306,0.6414561268117971,0.35357065117461495,1.6419670028214313,26.11607142857143,20.982142857142858,52.90178571428571,9.402347564697266,9.3720134,1344
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.8426207770334921,1.6869068710986368,4.620689655172414,14.596678396608967,134,29,0.4322666286676261,0.16545876530293452,0.8426207770334921,0.668217519473757,0.3700456478588528,1.6869068710986368,8.808808808808813,31.83183183183183,59.35935935935935,6.611390590667725,6.576925299999999,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.8426207770334921,1.6869068710986368,4.620689655172414,14.596678396608967,134,29,0.4322666286676261,0.16545876530293452,0.8426207770334921,0.668217519473757,0.3700456478588528,1.6869068710986368,8.808808808808813,31.83183183183183,59.35935935935935,6.566940546035767,6.543150300000001,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.8102249331005801,1.6312939977305945,1.7,0.9712534856222309,51,30,0.3981901434217197,0.16513978860131573,0.8102249331005801,0.5860577430947352,0.3362983091662498,1.6312939977305945,18.41841841841842,29.52952952952953,52.052052052052055,5.937875509262085,5.916011899999999,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.810067507563546,1.5871863617680901,7.71,18.900949711588567,771,100,0.3894274940852953,0.15521289605846283,0.810067507563546,0.6009431162211122,0.3427410370830795,1.5871863617680901,41.92634560906515,31.586402266288953,26.487252124645895,25.106335401535034,25.0586161,1412
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.810067507563546,1.5871863617680901,7.71,18.900949711588567,771,100,0.3894274940852953,0.15521289605846283,0.810067507563546,0.6009431162211122,0.3427410370830795,1.5871863617680901,41.92634560906515,31.586402266288953,26.487252124645895,21.455034732818604,21.4276345,1412
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0,0,7.0,0.0,7,1,0,0,0,0,0,0,100.0,0.0,0.0,8.588746786117554,8.5440645,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.7088298044411324,1.2734438974840643,11.833333333333334,33.16733667664955,355,30,0.3426499334047219,0.169672587076104,0.7088298044411324,0.5669968645700509,0.2988244441126489,1.2734438974840643,18.11811811811812,11.911911911911911,69.96996996996997,5.9330363273620605,5.9096502,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.7088298044411324,1.2734438974840643,11.833333333333334,33.16733667664955,355,30,0.3426499334047219,0.169672587076104,0.7088298044411324,0.5669968645700509,0.2988244441126489,1.2734438974840643,18.11811811811812,11.911911911911911,69.96996996996997,6.191673994064331,6.156486699999999,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.6676104952473473,1.2982307591656195,18.272727272727273,51.80223039966682,201,11,0.32880561948073755,0.1555775855482488,0.6676104952473473,0.5327077962789594,0.25474551603771234,1.2982307591656195,18.418418418418412,9.10910910910911,72.47247247247248,4.3875367641448975,4.3601708,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.14364534775937302,0.21118751934200475,167.0,0.0,167,1,0.14364534775937302,0.0,0.14364534775937302,0.21118751934200475,0.0,0.21118751934200475,16.716716716716704,0.10010010010010009,83.18318318318319,14.15795373916626,14.128113699999998,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.8698616592694643,1.828650177848786,1.1875,0.3903123748998999,19,16,0.49030164231422624,0.17031531247695833,0.8698616592694643,0.8174743834629447,0.33001523504196145,1.828650177848786,18.418418418418426,22.42242242242242,59.15915915915916,4.190054655075073,4.1665106000000005,999
-1.0,-0.1,50,0.5,0.5,0.5,0.5,0.5,0.5,0.7746756067293842,1.555894959696026,1.2666666666666666,0.4422166387140533,19,15,0.3719684725152248,0.1547690286269328,0.7746756067293842,0.6110146953259251,0.2984396507240103,1.555894959696026,18.41841841841842,23.523523523523522,58.05805805805806,3.9960732460021973,3.9669172,999
