dt-timestamp(s),dt-s1,dt-s2,dt-s3,dt-s4,dt-s5,dt-s6,pt-timestamp(s),pt-s1,pt-s2,pt-s3,pt-s4,pt-s5,pt-s6,operation
-,-,-,-,-,-,-,0,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,10,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,20,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,30,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,40,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,50,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,60,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,70,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,80,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,90,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,100,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,110,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,120,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,130,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,140,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,150,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,160,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,170,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,180,90.0,90.0,90.0,90.0,90,73.0,Insertion
-,-,-,-,-,-,-,190,90.0,90.0,90.0,90.0,90,73.0,Insertion
0.0,90.0,90.0,90.0,90.0,90.0,73.0,200,90.0,90.0,90.0,90.0,90,73.0,Match
-,-,-,-,-,-,-,210,90.0,90.0,91.1,90.0,90,72.2,Insertion
-,-,-,-,-,-,-,220,90.0,90.0,92.2,90.0,90,71.4,Insertion
10.0,90.0,90.0,92.0,91.8,90.0,71.6,230,90.0,90.0,93.3,90.0,90,70.6,Match
-,-,-,-,-,-,-,240,90.0,90.0,94.4,90.0,90,69.8,Insertion
-,-,-,-,-,-,-,250,90.0,90.0,95.5,90.0,90,69.0,Insertion
-,-,-,-,-,-,-,260,90.0,90.0,96.6,90.0,90,68.2,Insertion
-,-,-,-,-,-,-,270,90.0,90.0,97.7,90.0,90,67.4,Insertion
-,-,-,-,-,-,-,280,90.0,90.0,98.8,90.0,90,66.6,Insertion
-,-,-,-,-,-,-,290,90.0,90.0,99.9,90.0,90,65.8,Insertion
-,-,-,-,-,-,-,300,90.0,90.0,101.0,90.0,90,65.0,Insertion
-,-,-,-,-,-,-,310,90.0,90.0,102.4,90.0,90,64.0,Insertion
-,-,-,-,-,-,-,320,90.0,90.0,103.8,90.0,90,63.0,Insertion
-,-,-,-,-,-,-,330,90.0,90.0,105.2,90.0,90,62.0,Insertion
-,-,-,-,-,-,-,340,90.0,90.0,106.6,90.0,90,61.0,Insertion
20.0,90.0,90.0,94.0,93.6,90.0,70.19999999999999,350,90.0,90.0,108.0,90.0,90,60.0,Mismatch
30.0,90.0,90.0,96.0,95.4,90.0,68.79999999999998,360,90.0,90.0,109.4,90.0,90,59.0,Mismatch
40.0,90.0,90.0,98.0,97.2,90.0,67.39999999999998,370,90.0,90.0,110.8,90.0,90,58.0,Mismatch
50.0,90.0,90.0,100.0,99.0,90.0,65.99999999999997,380,90.0,90.0,112.2,90.0,90,57.0,Mismatch
60.0,90.0,90.0,102.0,100.79999999999998,90.0,64.59999999999997,390,90.0,90.0,113.6,90.0,90,56.0,Mismatch
70.0,90.0,90.0,104.0,102.59999999999998,90.0,63.19999999999997,400,90.0,90.0,115.0,90.0,90,55.0,Mismatch
80.0,90.0,90.0,106.0,104.39999999999998,90.0,61.79999999999997,410,90.0,90.0,116.4,90.0,90,54.0,Mismatch
90.0,90.0,90.0,108.0,106.19999999999996,90.0,60.39999999999997,420,90.0,90.0,117.8,90.0,90,53.0,Mismatch
100.0,90.0,90.0,110.0,108.0,90.0,59.0,430,90.0,90.0,119.2,90.0,90,52.0,Mismatch
110.0,90.0,90.0,112.0,109.8,90.0,57.6,440,90.0,90.0,119.2,90.0,90,51.0,Mismatch
120.0,90.0,90.0,114.0,111.6,90.0,56.2,450,90.0,90.0,119.2,90.0,90,50.0,Mismatch
130.0,90.0,90.0,116.0,113.4,90.0,54.8,460,90.0,90.0,119.2,90.0,90,49.0,Mismatch
140.0,90.0,90.0,118.0,115.2,90.0,53.400000000000006,470,90.0,90.0,119.2,90.0,90,48.0,Mismatch
150.0,90.0,90.0,120.0,117.0,90.0,52.00000000000001,480,90.0,90.0,119.2,90.0,90,47.0,Mismatch
160.0,90.0,90.0,122.0,118.79999999999998,90.0,50.60000000000001,490,90.0,90.0,119.2,90.0,90,46.0,Mismatch
170.0,90.0,90.0,124.0,120.59999999999998,90.0,49.20000000000001,500,90.0,90.0,119.2,90.0,90,45.0,Mismatch
180.0,90.0,90.0,126.0,122.39999999999998,90.0,47.80000000000001,510,90.0,90.0,119.2,90.0,90,44.0,Mismatch
190.0,90.0,90.0,128.0,124.19999999999996,90.0,46.40000000000001,520,90.0,90.0,119.2,127.6,90,43.0,Mismatch
200.0,90.0,90.0,130.0,126.0,90.0,45.0,530,90.0,90.0,119.2,128.9,90,42.0,Mismatch
210.0,90.0,90.0,132.0,127.9,90.0,43.6,540,90.0,90.0,119.2,130.2,90,41.0,Mismatch
220.0,90.0,90.0,134.0,129.8,90.0,42.2,550,90.0,90.0,119.2,131.5,90,40.0,Mismatch
230.0,90.0,90.0,136.0,131.70000000000002,90.0,40.8,560,90.0,90.0,137.4,132.8,90,39.0,Match
240.0,90.0,90.0,138.0,133.60000000000002,90.0,39.400000000000006,570,90.0,90.0,138.8,134.1,90,38.0,Match
250.0,90.0,90.0,140.0,135.50000000000003,90.0,38.00000000000001,580,90.0,90.0,140.2,135.4,90,37.0,Match
260.0,90.0,90.0,142.0,137.40000000000003,90.0,36.60000000000001,590,90.0,90.0,141.6,136.7,90,36.0,Match
-,-,-,-,-,-,-,600,90.0,90.0,143.0,138.0,90,35.0,Insertion
270.0,90.0,90.0,144.0,139.30000000000004,90.0,35.20000000000001,610,90.0,90.0,144.4,139.3,90,34.0,Match
-,-,-,-,-,-,-,620,90.0,90.0,145.8,140.6,90,33.0,Insertion
280.0,90.0,90.0,146.0,141.20000000000005,90.0,33.80000000000001,630,90.0,90.0,147.2,141.9,90,32.0,Match
-,-,-,-,-,-,-,640,90.0,90.0,148.6,143.2,90,31.0,Insertion
290.0,90.0,90.0,148.0,143.10000000000005,90.0,32.40000000000001,650,90.0,90.0,150.0,144.5,90,30.0,Match
300.0,90.0,90.0,150.0,145.0,90.0,31.0,660,90.0,90.0,151.4,145.8,90,29.0,Match
310.0,90.0,90.0,152.0,146.8,90.0,29.6,670,90.0,90.0,152.8,147.1,90,28.0,Match
320.0,90.0,90.0,154.0,148.60000000000002,90.0,28.200000000000003,680,90.0,90.0,152.8,148.4,90,27.0,Match
-,-,-,-,-,-,-,690,90.0,90.0,152.8,149.7,90,26.0,Insertion
-,-,-,-,-,-,-,700,90.0,90.0,152.8,151.0,90,25.0,Insertion
-,-,-,-,-,-,-,710,90.0,90.0,152.8,152.2,90,24.1,Insertion
330.0,90.0,90.0,156.0,150.40000000000003,90.0,26.800000000000004,720,90.0,90.0,152.8,153.4,90,23.2,Mismatch
340.0,90.0,90.0,158.0,152.20000000000005,90.0,25.40000000000001,730,90.0,90.0,152.8,154.6,90,22.3,Mismatch
350.0,90.0,90.0,160.0,154.00000000000006,90.0,24.000000000000007,740,90.0,90.0,152.8,155.8,90,21.4,Mismatch
360.0,90.0,90.0,162.0,155.80000000000007,90.0,22.60000000000001,750,90.0,90.0,152.8,157.0,90,20.5,Mismatch
370.0,90.0,90.0,164.0,157.60000000000008,90.0,21.20000000000001,760,90.0,90.0,152.8,158.2,90,19.6,Mismatch
380.0,90.0,90.0,166.0,159.4000000000001,90.0,19.80000000000001,770,90.0,90.0,152.8,159.4,90,18.7,Mismatch
390.0,90.0,90.0,168.0,161.2000000000001,90.0,18.400000000000013,780,90.0,90.0,168.2,160.6,90,17.8,Match
400.0,90.0,90.0,170.0,163.0,90.0,17.0,790,90.0,90.0,169.6,161.8,90,16.9,Match
410.0,90.0,90.0,171.0,163.9,90.0,16.3,800,90.0,90.0,171.0,163.0,90,16.0,Match
420.0,90.0,90.0,172.0,164.8,90.0,15.6,810,90.0,90.0,171.9,163.9,90,15.4,Match
430.0,90.0,90.0,173.0,165.70000000000002,90.0,14.900000000000002,820,90.0,90.0,172.8,164.8,90,14.8,Match
440.0,90.0,90.0,174.0,166.60000000000002,90.0,14.200000000000005,830,90.0,90.0,173.7,165.7,90,14.2,Match
450.0,90.0,90.0,175.0,167.50000000000003,90.0,13.500000000000004,840,90.0,90.0,174.6,166.6,90,13.6,Match
460.0,90.0,90.0,176.0,168.40000000000003,90.0,12.800000000000004,850,90.0,90.0,175.5,167.5,90,13.0,Match
470.0,90.0,90.0,177.0,169.30000000000004,90.0,12.100000000000003,860,90.0,90.0,176.4,168.4,90,12.4,Match
480.0,90.0,90.0,178.0,170.20000000000005,90.0,11.400000000000006,870,90.0,90.0,177.3,169.3,90,11.8,Match
490.0,90.0,90.0,179.0,171.10000000000005,90.0,10.700000000000006,880,90.0,90.0,178.2,170.2,90,11.2,Match
500.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
510.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
520.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
530.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
540.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
550.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
560.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
570.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
580.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
590.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
600.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
610.0,90.0,90.0,180.0,172.0,90.0,10.0,-,-,-,-,-,-,-,Deletion
620.0,90.0,90.0,180.0,172.0,90.0,10.0,890,90.0,90.0,179.1,171.1,90,10.6,Match
630.0,90.0,90.0,180.0,172.0,90.0,10.0,900,90.0,90.0,180.0,172.0,90,10.0,Match
640.0,90.0,90.0,180.0,172.0,90.0,10.0,910,90.0,90.0,180.0,172.0,90,10.0,Match
650.0,90.0,90.0,180.0,172.0,90.0,10.0,920,90.0,90.0,180.0,172.0,90,10.0,Match
660.0,90.0,90.0,180.0,172.0,90.0,10.0,930,90.0,90.0,180.0,172.0,90,10.0,Match
670.0,90.0,90.0,180.0,172.0,90.0,10.0,940,90.0,90.0,180.0,172.0,90,10.0,Match
680.0,90.0,90.0,180.0,172.0,90.0,10.0,950,90.0,90.0,180.0,172.0,90,10.0,Match
690.0,90.0,90.0,180.0,172.0,90.0,10.0,960,90.0,90.0,180.0,172.0,90,10.0,Match
700.0,90.0,90.0,180.0,172.0,90.0,10.0,970,90.0,90.0,180.0,172.0,90,10.0,Match
710.0,90.0,90.0,180.0,172.0,90.0,10.0,980,90.0,90.0,180.0,172.0,90,10.0,Match
720.0,90.0,90.0,180.0,172.0,90.0,10.0,990,90.0,90.0,180.0,172.0,90,10.0,Match
730.0,90.0,90.0,180.0,172.0,90.0,10.0,1000,90.0,90.0,180.0,172.0,90,10.0,Match
740.0,90.0,90.0,180.0,172.0,90.0,10.0,1010,90.0,90.0,180.0,172.0,90,10.0,Match
750.0,90.0,90.0,180.0,172.0,90.0,10.0,1020,90.0,90.0,180.0,172.0,90,10.0,Match
760.0,90.0,90.0,180.0,172.0,90.0,10.0,1030,90.0,90.0,180.0,172.0,90,10.0,Match
770.0,90.0,90.0,180.0,172.0,90.0,10.0,1040,90.0,90.0,180.0,172.0,90,10.0,Match
780.0,90.0,90.0,180.0,172.0,90.0,10.0,1050,90.0,90.0,180.0,172.0,90,10.0,Match
790.0,90.0,90.0,180.0,172.0,90.0,10.0,1060,90.0,90.0,180.0,172.0,90,10.0,Match
800.0,90.0,90.0,180.0,172.0,90.0,10.0,1070,90.0,90.0,180.0,172.0,90,10.0,Match
810.0,90.0,90.0,180.0,172.0,90.0,10.0,1080,90.0,90.0,180.0,172.0,90,10.0,Match
820.0,90.0,90.0,180.0,172.0,90.0,10.0,1090,90.0,90.0,180.0,172.0,90,10.0,Match
830.0,90.0,90.0,180.0,172.0,90.0,10.0,1100,90.0,90.0,180.0,172.0,90,10.0,Match
840.0,90.0,90.0,180.0,172.0,90.0,10.0,1110,90.0,90.0,180.0,172.0,90,10.0,Match
850.0,90.0,90.0,180.0,172.0,90.0,10.0,1120,90.0,90.0,180.0,172.0,90,10.0,Match
860.0,90.0,90.0,180.0,172.0,90.0,10.0,1130,90.0,90.0,180.0,172.0,90,10.0,Match
870.0,90.0,90.0,180.0,172.0,90.0,10.0,1140,90.0,90.0,180.0,172.0,90,10.0,Match
