dt-timestamp(s),dt-temperature(degrees),pt-timestamp(s),pt-temperature(degrees),operation
3,22.66970721,3,22.656,Match
6,22.75990261,-,-,Deletion
9,22.90627164,6,22.8745,Match
12,23.09534866,-,-,Deletion
15,23.33352417,9,23.125,Match
18,23.60486314,12,23.437,Match
21,23.92074963,15,23.781,Match
24,24.26163807,18,24.156,Match
27,24.61279814,21,24.531,Match
30,24.92685654,24,24.906,Match
33,25.22281739,27,25.3125,Match
36,25.48720395,-,-,Deletion
39,25.73578339,30,25.7185,Match
42,25.95741891,-,-,Deletion
45,26.16552725,-,-,Deletion
48,26.35060638,33,26.125,Match
51,26.52396242,-,-,Deletion
54,26.67768642,36,26.4685,Match
57,26.82124672,39,26.781,Match
60,26.97766332,42,27.0935,Match
63,27.1834909,45,27.3435,Match
66,27.42440461,48,27.625,Match
69,27.71007573,51,27.8435,Match
72,28.02247509,54,28.0625,Match
-,-,57,28.2495,Insertion
75,28.37561097,60,28.4375,Match
-,-,63,28.656,Insertion
78,28.7483346,66,28.8745,Match
81,29.12799117,69,29.1245,Match
84,29.46596722,72,29.406,Match
87,29.78297179,75,29.7185,Match
90,30.06443726,78,30.062,Match
93,30.32856997,81,30.406,Match
96,30.56163564,-,-,Deletion
99,30.77888538,84,30.7185,Match
102,30.97049285,-,-,Deletion
105,31.14832564,87,31.031,Match
108,31.30442259,90,31.312,Match
111,31.47885236,93,31.5935,Match
114,31.69003907,96,31.8125,Match
117,31.94598488,99,32.031,Match
120,32.23017728,102,32.25,Match
-,-,105,32.4685,Insertion
123,32.55505576,108,32.6245,Match
-,-,111,32.781,Insertion
-,-,114,32.9685,Insertion
126,32.90098397,117,33.156,Match
129,33.28392584,120,33.406,Match
132,33.65216582,123,33.6875,Match
135,34.00060134,126,33.9685,Match
138,34.30058619,129,34.25,Match
141,34.58401067,132,34.5935,Match
144,34.83349532,135,34.875,Match
147,35.06558624,138,35.156,Match
150,35.2681809,-,-,Deletion
153,35.45571343,141,35.406,Match
156,35.61827136,144,35.656,Match
159,35.76670821,147,35.875,Match
162,35.89483134,150,36.062,Match
165,36.01073897,153,36.281,Match
168,36.10950164,156,36.406,Match
171,36.19754395,159,36.531,Match
174,36.27118401,162,36.687,Match
177,36.33539725,165,36.8125,Mismatch
180,36.38838346,168,36.906,Mismatch
183,36.43220594,171,36.9995,Mismatch
186,36.46609163,174,37.0625,Mismatch
189,36.49256104,177,37.125,Mismatch
-,-,180,37.125,Insertion
-,-,183,37.187,Insertion
-,-,186,37.187,Insertion
-,-,189,37.2185,Insertion
-,-,192,37.25,Insertion
-,-,195,37.281,Insertion
-,-,198,37.25,Insertion
-,-,201,37.2495,Insertion
-,-,204,37.281,Insertion
-,-,207,37.281,Insertion
-,-,210,37.2495,Insertion
-,-,213,37.2185,Insertion
-,-,216,37.187,Insertion
-,-,219,37.156,Insertion
-,-,222,37.0935,Insertion
-,-,225,37.0935,Insertion
192,36.51167671,228,37.031,Mismatch
195,36.52406324,231,36.9995,Mismatch
198,36.52899177,234,36.937,Match
201,36.52801017,237,36.875,Match
204,36.52166441,240,36.8435,Match
207,36.51079957,243,36.781,Match
210,36.49481756,246,36.7185,Match
213,36.47406169,249,36.687,Match
216,36.44995951,252,36.5935,Match
219,36.42153178,255,36.5625,Match
222,36.39056103,258,36.4995,Match
225,36.35565331,261,36.4375,Match
228,36.31888149,264,36.375,Match
231,36.27851586,267,36.312,Match
234,36.2357093,270,36.281,Match
237,36.19192355,273,36.2185,Match
240,36.14493646,-,-,Deletion
243,36.097413,276,36.1245,Match
246,36.0477156,-,-,Deletion
249,35.99704318,-,-,Deletion
252,35.94363869,279,36.031,Match
255,35.89117927,282,35.9685,Match
258,35.83533417,285,35.906,Match
261,35.77996175,288,35.8435,Match
264,35.72217202,291,35.812,Match
267,35.66509463,294,35.7185,Match
270,35.60573134,297,35.656,Match
273,35.54729058,300,35.5935,Match
276,35.48747329,303,35.4995,Match
279,35.42867745,306,35.4375,Match
282,35.3670193,309,35.3745,Match
285,35.30736128,312,35.3435,Match
288,35.24491692,315,35.281,Match
291,35.18382495,318,35.2495,Match
294,35.12162535,321,35.125,Match
297,35.06005857,-,-,Deletion
300,34.99500575,324,35.031,Match
