dt-timestamp(s),dt-temperature(degrees),pt-timestamp(s),pt-temperature(degrees),operation
3,22.807046,3,22.8435,Match
6,22.8014633,6,22.8745,Match
9,22.79604359,9,22.906,Mismatch
12,22.84297602,12,22.906,Match
-,-,15,23.0625,Insertion
-,-,18,23.2185,Insertion
-,-,21,23.437,Insertion
-,-,24,23.656,Insertion
15,23.44039199,27,23.8435,Mismatch
18,23.9975943,30,24.0935,Match
21,24.03299638,33,24.3435,Mismatch
24,24.5881152,36,24.6245,Match
27,24.62167725,39,24.875,Mismatch
30,25.17491278,42,25.0935,Match
33,25.20664741,45,25.406,Mismatch
36,25.75801521,48,25.687,Match
39,25.78792563,51,25.9375,Mismatch
42,26.33741299,54,26.2185,Mismatch
45,26.37726263,57,26.5625,Mismatch
48,26.91300088,60,26.875,Match
51,26.93932131,63,27.156,Mismatch
54,27.53762156,66,27.531,Match
57,28.07209832,69,27.8435,Mismatch
60,28.10232704,72,28.2185,Mismatch
63,28.68315522,75,28.531,Mismatch
66,29.22340759,78,28.8435,Mismatch
69,29.25420115,81,29.2185,Match
72,29.78097629,84,29.5625,Mismatch
75,29.80996762,87,29.937,Mismatch
78,30.38731402,90,30.2495,Mismatch
81,30.91599148,93,30.5935,Mismatch
84,30.93405361,96,30.937,Match
87,31.46265742,99,31.281,Mismatch
90,31.47885677,102,31.5935,Mismatch
93,32.00591714,105,31.8435,Mismatch
96,31.96811761,108,32.0935,Mismatch
99,31.93322018,111,32.375,Mismatch
102,31.89934822,114,32.531,Mismatch
105,31.86467061,117,32.7495,Mismatch
108,31.83101249,120,32.906,Mismatch
111,31.79655351,123,33.062,Mismatch
114,31.76310746,126,33.1875,Mismatch
117,31.72886583,129,33.3435,Mismatch
120,31.69563047,132,33.437,Mismatch
123,31.6616032,135,33.531,Mismatch
126,31.6285792,138,33.625,Mismatch
129,31.59476645,141,33.6875,Mismatch
132,31.56195072,144,33.75,Mismatch
135,31.52835032,147,33.8125,Mismatch
138,31.49574248,150,33.875,Mismatch
141,31.46235464,153,33.906,Mismatch
144,31.4299514,156,33.9375,Mismatch
147,31.39677418,159,33.937,Mismatch
150,31.36457522,162,33.9685,Mismatch
153,31.33160732,165,33.9685,Mismatch
156,31.2996115,168,34.0,Mismatch
159,31.26685149,171,33.9995,Mismatch
162,31.23505729,174,34.0,Mismatch
165,31.20250314,177,33.9685,Mismatch
168,31.17091027,180,33.9685,Mismatch
171,31.13856197,183,33.9685,Mismatch
174,31.10716779,186,33.9375,Mismatch
177,31.07502339,189,33.9375,Mismatch
180,31.04382614,192,33.875,Mismatch
183,31.0118847,195,33.875,Mismatch
186,30.98088557,198,33.8435,Mismatch
189,30.9491452,201,33.781,Mismatch
192,30.91834104,204,33.7495,Mismatch
195,30.88669871,207,33.7185,Mismatch
198,30.85619103,210,33.656,Mismatch
201,30.82484977,213,33.656,Mismatch
204,30.79443288,216,33.6245,Mismatch
207,30.76328933,219,33.531,Mismatch
210,30.73306347,222,33.5,Mismatch
213,30.70211859,225,33.437,Mismatch
216,30.67208238,228,33.406,Mismatch
219,30.64133043,231,33.3745,Mismatch
222,30.61148513,234,33.3125,Mismatch
225,30.58092613,237,33.281,Mismatch
228,30.55127,240,33.2185,Mismatch
231,30.52090461,243,33.187,Mismatch
234,30.4914347,246,33.125,Mismatch
237,30.46126037,249,33.062,Mismatch
240,30.43197638,252,33.0,Mismatch
243,30.40199267,255,32.9685,Mismatch
246,30.37289308,258,32.906,Mismatch
249,30.34309867,261,32.8125,Mismatch
252,30.31418249,264,32.781,Mismatch
255,30.2845752,267,32.7185,Mismatch
258,30.25584201,270,32.687,Mismatch
261,30.226422,273,32.625,Mismatch
264,30.19786933,276,32.5935,Mismatch
267,30.16863494,279,32.5,Mismatch
270,30.14026232,282,32.5,Mismatch
273,30.1112123,285,32.437,Mismatch
276,30.0830184,288,32.3435,Mismatch
