mad_timestamp(s),mad_accel(m/s2),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
0.0,0.0,200,-1.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438848920863336,0.0,0.0,0.0,99.85611510791367,100.0
0.02,0.02,200,-1.0,-0.1,0.01962,0.01962,0.0,0.0,0.0,0.0,0,0,0.00836113846153812,0.0059835623242782045,0.01962,0.00836113846153812,0.0059835623242782045,0.01962,0.0,0.0,0.0,0.0,0.0,0.0,0.1438848920863336,0.0,46.76258992805755,0.0,53.093525179856115,100.0
0.04,0.04,200,-1.0,-0.1,0.0382590000000001,0.0382590000000001,0.0,0.0,0.0,0.0,0,0,0.013637380841121195,0.01105005285509032,0.0382590000000001,0.013637380841121195,0.01105005285509032,0.0382590000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.1438848920863336,0.0,61.58273381294964,0.0,38.273381294964025,100.0
0.06,0.06,200,-1.0,-0.1,0.0578790000000001,0.0578790000000001,0.0,0.0,0.0,0.0,0,0,0.01768580952380925,0.015475346398788005,0.0578790000000001,0.01768580952380925,0.015475346398788005,0.0578790000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.14388489208633715,0.0,69.49640287769783,0.0,30.35971223021583,100.0
0.08,0.08,200,-1.0,-0.1,0.0765180000000003,0.0765180000000003,0.0,0.0,0.0,0.0,0,0,0.020582871093749733,0.01916735013430099,0.0765180000000003,0.020582871093749733,0.01916735013430099,0.0765180000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.14388489208633004,0.0,73.66906474820144,0.0,26.187050359712234,100.0
0.1,0.1,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0,0.0,0.0,0.0,0,0,0.02295981320754691,0.022727040496410698,0.0961380000000003,0.02295981320754691,0.022727040496410698,0.0961380000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.1438848920863265,0.0,76.2589928057554,0.0,23.597122302158276,100.0
0.12,0.12,200,-1.0,-0.1,0.11304099999999967,0.11304099999999967,0.1196819999999999,0.1196819999999999,0.0,0.0,0,0,0.024434975881261332,0.0252365004460196,0.1196819999999999,0.024434975881261332,0.0252365004460196,0.1196819999999999,0.1112194285714285,0.007375612029948914,0.1196819999999999,0.1112194285714285,0.007375612029948914,0.1196819999999999,0.1438848920863336,0.0,77.55395683453237,8.13953488372093,22.302158273381295,91.86046511627907
0.14,0.14,200,-1.0,-0.1,0.13854799999999978,0.13854799999999978,0.13854799999999978,0.13854799999999978,20.2,31.355382313089404,202,10,0.029955765217391066,0.02989255736013955,0.13854799999999978,0.029955765217391066,0.02989255736013955,0.13854799999999978,0.07478025396825395,0.04029279277471711,0.13854799999999978,0.07478025396825395,0.04029279277471711,0.13854799999999978,14.676258992805762,5.813953488372093,82.73381294964028,73.25581395348837,2.5899280575539567,20.930232558139537
0.16,0.16,200,-1.0,-0.1,0.15326300000000026,0.15326300000000026,0.15326300000000026,0.15326300000000026,20.2,31.355382313089404,202,10,0.031290937931034254,0.032410900485308494,0.15326300000000026,0.031290937931034254,0.032410900485308494,0.15326300000000026,0.08038345588235296,0.043589954146715536,0.15326300000000026,0.08038345588235296,0.043589954146715536,0.15326300000000026,14.67625899280575,5.813953488372096,83.45323741007195,79.06976744186046,1.870503597122302,15.11627906976744
0.18,0.18,200,-1.0,-0.1,0.177561,0.177561,0.15326300000000026,0.15326300000000026,20.2,31.355382313089404,202,10,0.03202898970840457,0.033919471994426645,0.17959900000000079,0.03202898970840457,0.033919471994426645,0.17959900000000079,0.08436946478873243,0.04670355376194885,0.17959900000000079,0.08436946478873243,0.04670355376194885,0.17959900000000079,14.676258992805755,5.813953488372093,83.88489208633094,82.55813953488372,1.4388489208633095,11.627906976744185
0.2,0.2,200,-1.0,-0.1,0.1964269999999999,0.1964269999999999,0.1964269999999999,0.1964269999999999,20.2,31.355382313089404,202,10,0.032310493150684697,0.03456529842752012,0.1964269999999999,0.032310493150684697,0.03456529842752012,0.1964269999999999,0.0859258194444445,0.04819653734171466,0.1964269999999999,0.0859258194444445,0.04819653734171466,0.1964269999999999,14.676258992805753,5.813953488372086,84.02877697841727,83.72093023255815,1.2949640287769784,10.465116279069768
0.22,0.22,200,-1.0,-0.1,0.21506599999999998,0.21506599999999998,0.21506599999999998,0.21506599999999998,20.2,31.355382313089404,202,10,0.03348827551020385,0.037274729650747955,0.21506599999999998,0.03348827551020385,0.037274729650747955,0.21506599999999998,0.09221627631578948,0.0539889827171391,0.21506599999999998,0.09221627631578948,0.0539889827171391,0.21506599999999998,14.676258992805755,5.813953488372093,84.60431654676259,88.37209302325581,0.7194244604316548,5.813953488372093
0.24,0.24,200,-1.0,-0.1,0.21506599999999998,0.21506599999999998,0.21506599999999998,0.21506599999999998,22.444444444444443,32.44178071256985,202,9,0.03448135423728791,0.03938658710820416,0.2344590000000003,0.03448135423728791,0.03938658710820416,0.2344590000000003,0.09580064102564105,0.05769260983046813,0.2344590000000003,0.09580064102564105,0.05769260983046813,0.2344590000000003,14.67625899280575,5.813953488372095,84.89208633093526,90.69767441860465,0.4316546762589928,3.488372093023256
