"mad_accel(m/s2)","mad_timestamp(s)","low","init_gap","cont_gap","percentage_matched_snapshots","frechet_euclidean","frechet_manhattan","frechet_lca_euclidean","frechet_lca_manhattan","mean_length_gaps_mean","mean_length_gaps_std","number_of_gaps","number_of_groups_of_gaps","p2p_mean_euclidean_mean","p2p_mean_euclidean_std","p2p_mean_euclidean_max","p2p_mean_manhattan_mean","p2p_mean_manhattan_std","p2p_mean_manhattan_max","p2p_mean_lca_euclidean_mean","p2p_mean_lca_euclidean_std","p2p_mean_lca_euclidean_max","p2p_mean_lca_manhattan_mean","p2p_mean_lca_manhattan_std","p2p_mean_lca_manhattan_max","percentage_gaps","percentage_gaps_lca","percentage_matched_snapshots_lca","percentage_mismatched_snapshots","percentage_mismatched_snapshots_lca"
"0.1","0.1","200","-3","-2","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.9","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.8","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.7","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.6","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.5","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.4","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.3","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.2","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1.1","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
"0.1","0.1","200","-3","-1","77.1223","0.09614","0.09614","0","0","0","0","0","0","0.02313","0.02287","0.09614","0.02313","0.02287","0.09614","0","0","0","0","0","0","0.14388","0","0","22.73381","100"
