trace_length,execution_time,process_time,mem_usage,mem_dif,number_snaps
3500,60.85760259628296,60.856319894,344.87890625,95.40234375,3500
10000,502.189859867096,502.178449171,1017.8359375,768.12890625,10000
1000,4.970915794372559,4.970830000000001,256.796875,8.234375,1000
100,0.0513122081756591,0.051296443,247.828125,0.0,100
1500,11.61904764175415,11.618847832999998,266.8828125,18.17578125,1500
2000,20.31500244140625,20.314780262,280.86328125,31.62109375,2000
200,0.2023329734802246,0.2023214710000012,248.25,0.2578125,200
2500,31.342721223831177,31.342031731,298.0625,49.0859375,2500
3000,46.1409432888031,46.140054759,319.48046875,70.25390625,3000
300,0.4419090747833252,0.4418911439999995,248.9296875,1.234375,300
3500,62.425909757614136,62.423577536,344.8828125,95.359375,3500
4000,80.22654891014099,80.225590584,373.61328125,124.08203125,4000
400,0.7988135814666748,0.798796621000001,249.94921875,2.2734375,400
4500,99.89255356788637,99.889917057,405.8828125,156.7421875,4500
5000,126.96825814247131,126.966672957,442.8359375,193.44140625,5000
500,1.2545387744903564,1.2545266060000009,250.46875,3.12109375,500
6000,185.71413779258728,185.710988119,527.2421875,277.64453125,6000
7000,246.75243973731995,246.746747605,628.8125,377.4296875,7000
8000,325.76218581199646,325.753784531,741.9375,492.30859375,8000
9000,412.1483902931213,412.137398255,872.55078125,622.765625,9000
