trace_length,execution_time,process_time,mem_usage,mem_dif,number_snaps
10000,553.2242147922516,553.208432917,4082.34375,3832.2890625,10000
1000,5.062529563903809,5.062499184,290.35546875,41.56640625,1000
1000,5.2194459438323975,5.219390647000001,288.60546875,40.60546875,1000
100,0.0524590015411376,0.052424105,248.76171875,1.58203125,100
100,0.0577001571655273,0.057684365,249.14453125,0.7734375,100
1500,11.9585702419281,11.958139744,337.2421875,88.26953125,1500
1500,11.357518196105955,11.357293776,337.76953125,89.3046875,1500
2000,20.16401720046997,20.1636901,403.796875,155.36328125,2000
2000,20.612745761871334,20.61235862,404.38671875,154.96875,2000
200,0.2037022113800048,0.2036786579999994,251.65625,3.37109375,200
200,0.2006483078002929,0.2006350920000006,251.50390625,3.28125,200
2500,32.075830936431885,32.074607343,486.16796875,237.203125,2500
2500,32.85811424255371,32.857473284,491.109375,242.44921875,2500
3000,46.442952156066895,46.442199409,573.6015625,324.7109375,3000
3000,46.66773319244385,46.667039232,574.765625,325.734375,3000
300,0.4827711582183838,0.4827529999999989,254.4296875,6.3984375,300
300,0.469689130783081,0.4696544810000009,253.9609375,5.85546875,300
3500,64.34145498275757,64.33947411599999,672.625,423.640625,3500
3500,64.14574599266052,64.14413471,671.40234375,422.6171875,3500
4000,88.14135527610779,88.13973887,850.48046875,601.39453125,4000
4000,85.33360457420349,85.332329947,850.4296875,601.5,4000
400,0.859896183013916,0.8598683099999995,256.65234375,8.19921875,400
400,0.8316662311553955,0.8316530229999994,256.61328125,8.30859375,400
4500,107.4054844379425,107.402440233,980.38671875,731.40625,4500
4500,108.58141040802002,108.579405644,980.0,730.3515625,4500
5000,133.23446941375732,133.22851121899998,1126.9375,877.80859375,5000
5000,134.62804198265076,134.626135288,1126.9609375,877.65234375,5000
500,1.2990775108337402,1.299045455,261.18359375,12.62109375,500
500,1.2673838138580322,1.267289474,261.21875,12.640625,500
6000,195.7133016586304,195.708458693,1604.3046875,1355.4921875,6000
6000,206.8853931427002,206.879389489,1611.5703125,1362.015625,6000
7000,272.34187293052673,272.337787844,1995.37109375,1745.89453125,7000
7000,270.20494771003723,270.19818297,1999.51953125,1749.8828125,7000
8000,356.7213315963745,356.66455755000004,2718.95703125,2469.0546875,8000
9000,449.0426640510559,449.030740692,3233.66796875,2983.7734375,9000
