dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2),operation
0.0,0.0,-,-,Deletion
0.1,0.0,-,-,Deletion
0.2,0.0,-,-,Deletion
0.3,0.0,-,-,Deletion
0.4,0.0,-,-,Deletion
0.5,0.0,-,-,Deletion
0.6,0.0,-,-,Deletion
0.7,0.0,-,-,Deletion
0.8,0.0,-,-,Deletion
0.9,0.0,-,-,Deletion
1.0,0.0,-,-,Deletion
1.1,0.0,-,-,Deletion
1.2,0.0,-,-,Deletion
1.3,0.0,-,-,Deletion
1.4,0.0,-,-,Deletion
1.5,0.0,-,-,Deletion
1.6,0.0,-,-,Deletion
1.7,0.0,-,-,Deletion
1.8,0.0,-,-,Deletion
1.9,0.0,-,-,Deletion
2.0,0.0,-,-,Deletion
2.1,0.0,-,-,Deletion
2.2,0.0,-,-,Deletion
2.3,0.0,-,-,Deletion
2.4,0.0,-,-,Deletion
2.5,0.0,-,-,Deletion
2.6,0.0,-,-,Deletion
2.7,0.0,-,-,Deletion
2.8,0.0,-,-,Deletion
2.9,0.0,-,-,Deletion
3.0,0.0,-,-,Deletion
3.1,0.0,-,-,Deletion
3.2,0.0,-,-,Deletion
3.3,0.0,0.0,0.0,Match
3.4,0.0,0.099,0.004905,Match
3.5,0.0,0.199,0.00981,Match
3.6,0.0,0.297,-0.023544,Match
3.7,0.0,0.397,-0.014715,Match
3.8,0.0,0.494,-0.004905,Match
3.9,0.0,0.593,0.0,Match
4.0,0.0,0.692,-0.00981,Match
4.1,0.0,0.791,0.023544,Match
4.2,0.0,0.89,-0.014715,Match
4.3,0.0,0.988,0.004905,Match
4.4,0.0,1.088,0.014715,Match
4.5,0.0,1.188,0.0,Match
4.6,0.0,1.285,0.014715,Match
4.7,0.0,1.388,0.00981,Match
4.8,0.0,1.483,0.0,Match
4.9,0.0,1.594,-0.004905,Match
5.0,0.0,1.681,0.00981,Match
5.1,0.0,1.796,-0.004905,Match
5.2,0.0,1.878,0.004905,Match
5.3,0.0,2.015,0.004905,Match
5.4,0.0,2.076,0.004905,Match
5.5,0.0,2.175,-0.004905,Match
5.6,0.0,2.274,-0.004905,Match
5.7,0.0,2.373,-0.004905,Match
5.8,-0.1,2.471,-0.057879,Match
5.9,-0.2,2.607,-0.143226,Match
6.0,-0.3,2.669,-0.325692,Match
6.1,-0.4,2.769,-0.426735,Match
6.2,-0.5,2.867,-0.483633,Match
6.3,-0.6,2.966,-0.579771,Match
6.4,-0.7,3.065,-0.732807,Match
6.5,-0.7,3.164,-0.756351,Match
6.6,-0.7,3.262,-0.747522,Match
6.7,-0.7,3.362,-0.709263,Match
6.8,-0.7,3.46,-0.722997,Match
6.9,-0.7,3.559,-0.699453,Match
7.0,-0.7,3.658,-0.689643,Match
7.1,-0.7,3.757,-0.671004,Match
7.2,-0.628571,3.856,-0.671004,Match
7.3,-0.528571,3.955,-0.531702,Match
7.4,-0.428571,4.054,-0.473823,Match
7.5,-0.328571,4.153,-0.335502,Match
7.6,-0.228571,4.266,-0.258984,Match
7.7,-0.128571,4.352,-0.119682,Match
7.8,-0.028571,4.456,-0.076518,Match
7.9,0.0,-,-,Deletion
8.0,0.0,-,-,Deletion
8.1,0.0,4.548,0.014715,Match
8.2,0.0,4.647,0.0,Match
8.3,0.0,4.745,0.038259,Match
8.4,0.0,4.844,0.0,Match
8.5,0.0,4.943,0.00981,Match
8.6,0.0,5.057,-0.033354,Match
8.7,0.0,5.141,-0.004905,Match
8.8,0.0,5.259,0.038259,Match
8.9,0.0,5.339,-0.00981,Match
9.0,0.0,5.438,-0.043164,Match
9.1,0.0,5.537,-0.048069,Match
9.2,0.0,5.635,-0.00981,Match
9.3,0.0,5.735,-0.004905,Match
9.4,0.0,5.834,-0.033354,Match
9.5,0.0,5.932,-0.028449,Match
9.6,0.0,6.03,0.004905,Match
9.7,0.0,6.13,0.004905,Match
9.8,0.0,6.256,-0.004905,Match
9.9,0.0,6.327,-0.004905,Match
10.0,0.0,6.426,-0.004905,Match
10.1,0.0,6.525,-0.057879,Match
10.2,0.0,6.645,-0.143226,Match
10.3,0.0,6.723,-0.325692,Mismatch
10.4,0.0,6.862,-0.426735,Mismatch
10.5,0.0,6.921,-0.483633,Mismatch
10.6,0.0,7.02,-0.579771,Mismatch
10.7,0.0,7.118,-0.732807,Mismatch
10.8,0.0,7.218,-0.756351,Mismatch
10.9,0.0,7.317,-0.747522,Mismatch
11.0,0.0,7.415,-0.709263,Mismatch
11.1,0.0,7.519,-0.722997,Mismatch
11.2,0.0,7.613,-0.699453,Mismatch
11.3,0.0,7.711,-0.689643,Mismatch
11.4,0.0,7.811,-0.671004,Mismatch
11.5,0.0,7.909,-0.671004,Mismatch
11.6,0.0,8.008,-0.531702,Mismatch
11.7,0.0,8.123,-0.473823,Mismatch
11.8,0.0,8.206,-0.335502,Mismatch
11.9,0.0,8.305,-0.258984,Mismatch
12.0,0.0,8.404,-0.119682,Match
12.1,0.0,8.51,-0.076518,Match
12.2,0.0,8.602,0.014715,Match
12.3,0.0,8.745,0.0,Match
12.4,0.0,8.799,0.038259,Match
12.5,0.0,8.917,0.0,Match
12.6,0.0,8.997,0.00981,Match
12.7,0.0,9.096,-0.033354,Match
12.8,0.0,9.195,0.066708,Match
12.9,0.0,9.3,-0.091233,Match
13.0,0.0,9.393,0.01962,Match
13.1,0.0,9.517,-0.048069,Match
13.2,0.0,9.591,0.014715,Match
13.3,0.0,9.69,-0.004905,Match
13.4,0.0,9.789,-0.043164,Match
13.5,0.0,9.887,0.01962,Match
