dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2),operation
0.0,0.0,-,-,Deletion
0.1,0.0,-,-,Deletion
0.2,0.0,-,-,Deletion
0.3,0.0,-,-,Deletion
0.4,0.0,-,-,Deletion
0.5,0.0,-,-,Deletion
0.6,0.0,-,-,Deletion
0.7,0.0,-,-,Deletion
0.8,0.0,-,-,Deletion
0.9,0.0,-,-,Deletion
1.0,0.0,-,-,Deletion
1.1,0.0,-,-,Deletion
1.2,0.0,0.0,0.5393691757758177,Mismatch
1.3,0.0,0.1,0.2875466973572048,Mismatch
1.4,0.0,0.2,-0.0060617529898155,Match
1.5,0.0,0.3,-0.4161018485414055,Mismatch
1.6,0.0,0.4,0.029462936594668,Match
1.7,0.0,0.5,0.3256017357714951,Mismatch
1.8,0.0,0.6000000000000001,0.2077274286633958,Mismatch
1.9,0.0,0.7000000000000001,0.2145194741723889,Mismatch
2.0,0.0,0.8,-0.0312581233212913,Match
2.1,0.0,0.9,-0.2218207917807418,Mismatch
2.2,0.0,1.0,-0.4406723892358429,Mismatch
2.3,0.0,1.1,0.2418952687868227,Mismatch
2.4,0.0,1.2000000000000002,0.2524285701867096,Mismatch
2.5,0.0,1.3,0.042610420625606,Match
2.6,0.0,1.4,0.4485804134940641,Mismatch
2.7,0.0,1.5,-0.2698550538537796,Mismatch
2.8,0.0,1.6,0.6894259092812915,Mismatch
2.9,0.0,1.7000000000000002,-0.4815340362460122,Mismatch
3.0,0.0,1.8,0.4453543109337403,Mismatch
3.1,0.0,1.9,0.3642947411665289,Mismatch
3.2,0.0,2.0,0.4920248970333798,Mismatch
3.3,0.0,2.1,0.0081343872916771,Match
3.4,0.0,2.2,0.1750113906107333,Mismatch
3.5,0.0,2.3000000000000003,0.2193681360303537,Mismatch
3.6,0.0,2.4000000000000004,0.0239146478068175,Match
3.7,0.0,2.5,0.2646028835703174,Mismatch
3.8,0.0,2.6,0.6060028748941317,Mismatch
3.9,0.0,2.7,-0.0321731934072898,Match
4.0,0.0,2.8000000000000003,-0.5461756401549406,Mismatch
4.1,0.0,2.9000000000000004,0.0531853931756974,Match
4.2,0.0,3.0,0.6931130130766288,Mismatch
4.3,0.0,3.1,0.3176921668297958,Mismatch
4.4,0.0,3.2,-0.4364681510969461,Mismatch
4.5,0.0,3.3000000000000003,0.4734728401826067,Mismatch
4.6,0.0,3.4000000000000004,-0.566233523348621,Mismatch
4.7,0.0,3.5,0.4111834983814237,Mismatch
4.8,0.0,3.6,-0.5180539340586227,Mismatch
4.9,0.0,3.7,0.074453361842819,Match
5.0,0.0,3.8,-0.5731715250908177,Mismatch
5.1,0.0,3.9,-0.4966787497347782,Mismatch
5.2,0.0,4.0,0.5465665796906407,Mismatch
5.3,0.0,4.1000000000000005,-0.2782381851491423,Mismatch
5.4,0.0,4.2,0.2153336716141353,Mismatch
5.5,0.0,4.3,0.6676558233426464,Mismatch
5.6,0.0,4.4,-0.2398337094072543,Mismatch
5.7,0.0,4.5,0.608255143041428,Mismatch
5.8,-0.1,4.6000000000000005,0.5527879301291334,Mismatch
5.9,-0.2,4.7,-0.1822726821951398,Match
6.0,-0.3,4.800000000000001,0.023099139487555,Mismatch
6.1,-0.4,4.9,-0.4180505617609594,Match
6.2,-0.5,5.0,-0.52423989788501,Match
6.3,-0.6,5.1000000000000005,-0.0081463629334512,Mismatch
6.4,-0.7,5.2,0.2368049553529591,Mismatch
6.5,-0.7,5.300000000000001,-0.3995664626373495,Mismatch
6.6,-0.7,5.4,-0.0714692938682705,Mismatch
6.7,-0.7,5.5,-0.1593613788382044,Mismatch
6.8,-0.7,5.6000000000000005,-0.0116028033011338,Mismatch
6.9,-0.7,5.7,0.451431213999923,Mismatch
7.0,-0.7,5.800000000000001,-0.6600057925434527,Match
7.1,-0.7,5.9,-0.4190907592731199,Mismatch
7.2,-0.628571,6.0,0.5017763761288385,Mismatch
7.3,-0.528571,6.1000000000000005,0.6642586092850284,Mismatch
7.4,-0.428571,6.2,-0.5667452958269551,Match
7.5,-0.328571,6.300000000000001,0.238471670099527,Mismatch
7.6,-0.228571,6.4,0.6653326500257157,Mismatch
7.7,-0.128571,6.5,0.5517756186623399,Mismatch
7.8,-0.028571,6.6000000000000005,0.4359760212892307,Mismatch
7.9,0.0,6.7,0.1795252444718864,Mismatch
8.0,0.0,6.800000000000001,0.6800273537464447,Mismatch
8.1,0.0,6.9,-0.5727758638492305,Mismatch
8.2,0.0,7.0,-0.499518888699629,Mismatch
8.3,0.0,7.1000000000000005,-0.1235921533550158,Match
8.4,0.0,7.2,-0.0443797083867927,Match
8.5,0.0,7.300000000000001,0.1697764666915907,Mismatch
8.6,0.0,7.4,-0.5163653245603695,Mismatch
8.7,0.0,7.5,-0.5891483940079024,Mismatch
8.8,0.0,7.6,0.1191325396688602,Match
8.9,0.0,7.7,0.6554527045579284,Mismatch
9.0,0.0,7.800000000000001,0.0141152235827919,Match
9.1,0.0,7.9,-0.129896588856984,Match
9.2,0.0,8.0,0.4416050178072268,Mismatch
9.3,0.0,8.1,0.2948616868310693,Mismatch
9.4,0.0,8.200000000000001,-0.325178385921042,Mismatch
9.5,0.0,8.3,0.4826610152829076,Mismatch
9.6,0.0,8.4,0.1499389738050653,Match
9.7,0.0,8.5,0.1223957501299658,Match
9.8,0.0,8.6,0.5410149736193981,Mismatch
9.9,0.0,8.700000000000001,0.2409211762242907,Mismatch
10.0,0.0,8.8,-0.2267001826798859,Mismatch
10.1,0.0,8.9,0.2071433829537038,Mismatch
