dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2),operation
0.0,0.0,-,-,Deletion
0.1,0.0,-,-,Deletion
0.2,0.0,-,-,Deletion
0.3,0.0,-,-,Deletion
0.4,0.0,-,-,Deletion
0.5,0.0,-,-,Deletion
0.6,0.0,-,-,Deletion
0.7,0.0,-,-,Deletion
0.8,0.0,-,-,Deletion
0.9,0.0,-,-,Deletion
1.0,0.0,-,-,Deletion
1.1,0.0,-,-,Deletion
1.2,0.0,-,-,Deletion
1.3,0.0,-,-,Deletion
1.4,0.0,-,-,Deletion
1.5,0.0,-,-,Deletion
1.6,0.0,-,-,Deletion
1.7,0.0,-,-,Deletion
1.8,0.0,-,-,Deletion
1.9,0.0,-,-,Deletion
2.0,0.0,-,-,Deletion
2.1,0.0,-,-,Deletion
2.2,0.0,-,-,Deletion
2.3,0.0,-,-,Deletion
2.4,0.0,-,-,Deletion
2.5,0.0,-,-,Deletion
2.6,0.0,-,-,Deletion
2.7,0.0,-,-,Deletion
2.8,0.0,-,-,Deletion
2.9,0.0,-,-,Deletion
3.0,0.0,-,-,Deletion
3.1,0.0,-,-,Deletion
3.2,0.0,-,-,Deletion
3.3,0.0,0.0,0.0,Match
3.4,0.0,0.0989999999947031,0.0049049999999994,Match
3.5,0.0,0.1990000000005238,0.0098099999999989,Match
3.6,0.0,0.2969999999986612,-0.0235439999999995,Match
3.7,0.0,0.396999999997206,-0.0147149999999994,Match
3.8,0.0,0.4939999999987776,-0.0049049999999994,Match
3.9,0.0,0.5930000000007567,0.0,Match
4.0,0.0,0.6919999999954598,-0.00981,Match
4.1,0.0,0.7909999999974389,0.0235439999999995,Match
4.2,0.0,0.8899999999994179,-0.0147149999999994,Match
4.3,0.0,0.9879999999975552,0.0049049999999994,Match
4.4,0.0,1.0879999999961,0.0147150000000005,Match
4.5,0.0,1.187999999994645,0.0,Match
4.6,0.0,1.2849999999962165,0.0147150000000005,Match
4.7,0.0,1.3879999999990105,0.0098099999999989,Match
4.8,0.0,1.4830000000001746,0.0,Match
4.9,0.0,1.5939999999973224,-0.0049049999999994,Match
5.0,0.0,1.6809999999968568,0.0098099999999989,Match
5.1,0.0,1.7959999999948195,-0.0049049999999994,Match
5.2,0.0,1.8779999999969728,0.0049049999999994,Match
5.3,0.0,2.014999999999418,0.0049049999999994,Match
5.4,0.0,2.075999999993656,0.0049049999999994,Match
5.5,0.0,2.1749999999956344,-0.0049049999999994,Match
5.6,0.0,2.273999999997613,-0.0049049999999994,Match
5.7,0.0,2.3729999999995925,-0.0049049999999994,Match
5.8,-0.1,2.47099999999773,-0.0578790000000001,Match
5.9,-0.2,2.606999999996333,-0.1432259999999995,Match
6.0,-0.3,2.668999999994412,-0.3256920000000001,Match
6.1,-0.4,2.769000000000233,-0.4267349999999998,Match
6.2,-0.5,2.86699999999837,-0.4836330000000001,Match
6.3,-0.6,2.966000000000349,-0.5797710000000005,Match
6.4,-0.7,3.0649999999950523,-0.7328069999999999,Match
6.5,-0.7,3.1639999999970314,-0.7563509999999996,Match
6.6,-0.7,3.2619999999951688,-0.7475220000000005,Match
6.7,-0.7,3.3619999999937136,-0.7092630000000003,Match
6.8,-0.7,3.459999999999127,-0.7229969999999999,Match
6.9,-0.7,3.55899999999383,-0.6994530000000003,Match
7.0,-0.7,3.657999999995809,-0.6896430000000003,Match
7.1,-0.7,3.756999999997788,-0.6710040000000002,Match
7.2,-0.628571,3.855999999999767,-0.6710040000000002,Match
7.3,-0.528571,3.9549999999944703,-0.5317020000000002,Match
7.4,-0.428571,4.053999999996449,-0.4738230000000001,Match
7.5,-0.328571,4.152999999998428,-0.3355020000000001,Match
7.6,-0.228571,4.265999999995984,-0.2589839999999998,Match
7.7,-0.128571,4.351999999998952,-0.1196819999999999,Match
7.8,-0.028571,4.455999999998312,-0.0765180000000003,Match
7.9,0.0,-,-,Deletion
8.0,0.0,-,-,Deletion
8.1,0.0,4.547999999995227,0.0147150000000005,Match
8.2,0.0,4.646999999997206,0.0,Match
8.3,0.0,4.744999999995343,0.0382590000000001,Match
8.4,0.0,4.843999999997322,0.0,Match
8.5,0.0,4.9429999999993015,0.0098099999999989,Match
8.6,0.0,5.0570000000006985,-0.0333539999999995,Match
8.7,0.0,5.140999999995984,-0.0049049999999994,Match
8.8,0.0,5.258999999998196,0.0382590000000001,Match
8.9,0.0,5.338999999999942,-0.00981,Match
9.0,0.0,5.437999999994645,-0.0431639999999996,Match
9.1,0.0,5.536999999996624,-0.0480690000000001,Match
9.2,0.0,5.634999999994761,-0.00981,Match
9.3,0.0,5.735000000000582,-0.0049049999999994,Match
9.4,0.0,5.833999999995285,-0.0333539999999995,Match
9.5,0.0,5.9320000000006985,-0.0284490000000001,Match
9.6,0.0,6.029999999998836,0.0049049999999994,Match
9.7,0.0,6.129999999997381,-0.0431639999999996,Match
9.8,0.0,6.255999999993946,-0.0284490000000001,Match
9.9,0.0,6.326999999997497,-0.00981,Match
10.0,0.0,6.425999999999476,-0.01962,Match
10.1,0.0,6.524999999994179,-0.0147149999999994,Match
10.2,0.0,6.644999999996799,0.01962,Match
10.3,0.0,6.722999999998137,0.0049049999999994,Match
10.4,0.0,6.861999999993714,0.0235439999999995,Match
10.5,0.0,6.92099999999482,0.0382590000000001,Match
10.6,0.0,7.019999999996799,-0.01962,Match
10.7,0.0,7.117999999994936,0.0765180000000003,Match
10.8,0.0,7.218000000000757,-0.0049049999999994,Match
10.9,0.0,7.31699999999546,0.0,Match
11.0,0.0,7.414999999993597,-0.0431639999999996,Match
