dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2),operation
0.1,0.0,-,-,Deletion
0.2,0.0,-,-,Deletion
0.3,0.0,-,-,Deletion
0.4,0.0,-,-,Deletion
0.5,0.0,-,-,Deletion
0.6,0.0,-,-,Deletion
0.7,0.0,-,-,Deletion
0.8,0.0,-,-,Deletion
0.9,0.0,-,-,Deletion
1.0,0.0,-,-,Deletion
1.1,0.0,-,-,Deletion
1.2,0.0,-,-,Deletion
1.3,0.0,-,-,Deletion
1.4,0.0,-,-,Deletion
1.5,0.0,-,-,Deletion
1.6,0.0,-,-,Deletion
1.7,0.0,-,-,Deletion
1.8,0.0,-,-,Deletion
1.9,0.0,-,-,Deletion
2.0,0.0,-,-,Deletion
2.1,0.0,-,-,Deletion
2.2,0.0,-,-,Deletion
2.3,0.0,-,-,Deletion
2.4,0.0,-,-,Deletion
2.5,0.0,-,-,Deletion
2.6,0.0,-,-,Deletion
2.7,0.0,-,-,Deletion
2.8,0.0,-,-,Deletion
2.9,0.0,-,-,Deletion
3.0,0.0,-,-,Deletion
3.1,0.0,-,-,Deletion
3.2,0.0,-,-,Deletion
3.3,0.0,-,-,Deletion
3.4,0.0,-,-,Deletion
3.5,0.0,-,-,Deletion
3.6,0.0,-,-,Deletion
3.7,0.0,-,-,Deletion
3.8,0.0,-,-,Deletion
3.9,0.0,-,-,Deletion
4.0,0.0,-,-,Deletion
4.1,0.0,-,-,Deletion
4.2,0.0,-,-,Deletion
4.3,0.0,-,-,Deletion
4.4,0.0,-,-,Deletion
4.5,0.0,-,-,Deletion
4.6,0.0,-,-,Deletion
4.7,0.0,-,-,Deletion
4.8,0.0,-,-,Deletion
4.9,0.0,-,-,Deletion
5.0,0.0,-,-,Deletion
5.1,0.0,-,-,Deletion
5.2,0.0,-,-,Deletion
5.3,0.0,-,-,Deletion
5.4,0.0,-,-,Deletion
5.5,0.0,-,-,Deletion
5.6,0.0,-,-,Deletion
5.7,0.0,-,-,Deletion
5.8,0.0,-,-,Deletion
5.9,0.0,-,-,Deletion
6.0,0.0,-,-,Deletion
6.1,0.0,-,-,Deletion
6.2,0.0,-,-,Deletion
6.3,0.0,-,-,Deletion
6.4,0.0,-,-,Deletion
6.5,0.0,-,-,Deletion
6.6,0.0,-,-,Deletion
6.7,0.0,-,-,Deletion
6.8,0.0,-,-,Deletion
6.9,0.0,-,-,Deletion
7.0,0.0,0.0,-0.0147149999999994,Match
7.1,0.0,0.0979999999981373,0.0,Match
7.2,0.0,0.1970000000001164,-0.0049049999999994,Match
7.3,0.0,0.3240000000005238,-0.0235439999999995,Match
7.4,0.0,0.3930000000036671,-0.0049049999999994,Match
7.5,0.0,0.4930000000022119,-0.0284490000000001,Match
7.6,0.0,0.592000000004191,-0.00981,Match
7.7,0.0,0.7039999999979045,-0.0147149999999994,Match
7.8,0.0,0.7890000000043074,-0.00981,Match
7.9,0.0,0.925999999999476,-0.0147149999999994,Match
8.0,0.0,0.9870000000009896,-0.00981,Match
8.1,0.0,1.0860000000029686,-0.0049049999999994,Match
8.2,0.0,1.184000000001106,-0.0049049999999994,Match
8.3,0.0,1.298000000002503,-0.01962,Match
8.4,0.0,1.3810000000012224,0.0,Match
8.5,0.0,1.4809999999997672,-0.01962,Match
8.6,0.0,1.5789999999979043,-0.00981,Match
8.7,0.0,1.6779999999998836,-0.01962,Match
8.8,0.0,1.7779999999984284,-0.0147149999999994,Match
8.9,0.0,1.915000000000873,-0.0147149999999994,Match
9.0,0.0,1.974000000001979,-0.0147149999999994,Match
9.1,0.0,2.073000000003958,-0.00981,Match
9.2,0.0,2.171999999998661,-0.0049049999999994,Match
9.3,0.0,2.2710000000006403,-0.00981,Match
9.4,0.0,2.370999999999185,-0.00981,Match
9.5,0.0,2.4680000000007567,-0.0049049999999994,Match
9.6,0.0,2.565999999998894,-0.0049049999999994,Match
9.7,0.0,2.667000000001281,-0.01962,Match
9.8,0.0,2.764000000002852,-0.0147149999999994,Match
9.9,0.0,2.8630000000048312,-0.00981,Match
10.0,0.0,2.9619999999995343,-0.0147149999999994,Match
10.1,0.0,3.060000000004948,-0.00981,Match
10.2,0.0,3.1679999999978463,-0.00981,Match
10.3,0.0,3.258999999998196,-0.0049049999999994,Match
10.4,0.0,3.358000000000174,-0.01962,Match
10.5,0.0,3.455999999998312,-0.0147149999999994,Match
10.6,0.0,3.5540000000037253,-0.00981,Match
10.7,0.0,3.652999999998429,-0.0147149999999994,Match
10.8,0.0,3.753000000004249,-0.0049049999999994,Match
10.9,0.0,3.8510000000023865,-0.01962,Match
11.0,0.0,3.97899999999936,-0.0147149999999994,Match
11.1,0.0,4.048999999999069,-0.0049049999999994,Match
11.2,0.0,4.148000000001048,-0.0049049999999994,Match
11.3,0.0,4.245999999999185,-0.0049049999999994,Match
11.4,0.0,4.370000000002619,-0.00981,Match
11.5,0.0,4.4429999999993015,-0.00981,Match
11.6,0.0,4.542000000001281,-0.00981,Match
11.7,0.0,4.639999999999418,-0.0147149999999994,Match
11.8,0.0,4.769000000000233,-0.0049049999999994,Match
11.9,0.0,4.838999999999942,-0.00981,Match
12.0,0.0,4.936999999998079,-0.0147149999999994,Match
12.1,0.0,5.036000000000058,-0.00981,Match
12.2,0.0,5.139000000002852,-0.00981,Match
12.3,0.0,5.233000000000175,-0.0147149999999994,Match
12.4,0.0,5.355999999999767,-0.00981,Match
12.5,0.0,5.431000000004133,-0.00981,Match
12.6,0.0,5.52900000000227,-0.0147149999999994,Match
12.7,0.0,5.628000000004249,-0.0147149999999994,Match
12.8,0.0,5.726999999998952,-0.0049049999999994,Match
12.9,0.0,5.826000000000931,-0.00981,Match
13.0,0.0,5.923999999999069,0.0049049999999994,Match
13.1,0.0,6.023000000001048,-0.0147149999999994,Match
13.2,0.0,6.120999999999185,-0.0235439999999995,Match
13.3,0.0,6.22099999999773,-0.0333539999999995,Match
13.4,0.0,6.319000000003143,-0.00981,Match
13.5,0.0,6.417999999997846,-0.0235439999999995,Match
13.6,0.0,6.516999999999825,0.0049049999999994,Match
13.7,0.0,6.622000000003027,-0.00981,Match
13.8,0.0,6.713999999999942,-0.01962,Match
13.9,0.0,6.813000000001921,0.0,Match
14.0,0.0,6.9120000000039,-0.0147149999999994,Match
14.1,0.0,7.010999999998603,0.0,Match
14.2,0.0,7.109000000004016,-0.0147149999999994,Match
14.3,0.0,7.228000000002794,0.0,Match
14.4,0.0,7.307000000000698,-0.0235439999999995,Match
14.5,0.0,7.406000000002677,-0.0147149999999994,Match
14.6,0.0,7.505000000004657,0.0049049999999994,Match
14.7,0.0,7.607000000003609,-0.01962,Match
14.8,0.0,7.703000000001339,-0.0284490000000001,Match
14.9,0.0,7.828000000001339,-0.01962,Match
15.0,0.0,7.900000000001455,-0.01962,Match
15.1,0.0,7.999000000003434,-0.00981,Match
15.2,0.0,8.097000000001572,0.0,Match
15.3,0.0,8.218000000000757,-0.0049049999999994,Match
15.4,0.0,8.298000000002503,-0.00981,Match
15.5,0.0,8.394000000000233,0.0,Match
15.6,0.0,8.49199999999837,-0.00981,Match
15.7,0.0,8.592000000004191,0.0,Match
15.8,0.0,8.690000000002328,-0.0235439999999995,Match
15.9,0.0,8.807000000000698,-0.0147149999999994,Match
16.0,0.0,8.88799999999901,-0.0382590000000001,Match
16.1,0.0,9.023000000001048,0.0,Match
16.2,0.0,9.084999999999129,0.0049049999999994,Match
16.3,0.0,9.184000000001106,-0.0235439999999995,Match
16.4,0.0,9.283000000003083,-0.0480690000000001,Match
16.5,0.0,9.410000000003492,-0.01962,Match
16.6,0.0,9.4800000000032,-0.00981,Match
16.7,0.0,9.578999999997905,-0.01962,Match
16.8,0.0,9.677999999999884,0.0,Match
16.9,0.0,9.77599999999802,-0.01962,Match
17.0,0.0,9.875,-0.0235439999999995,Match
17.1,0.0,9.972999999998136,-0.00981,Match
17.2,0.0,10.072000000000116,-0.0049049999999994,Match
17.3,0.0,10.17199999999866,0.0,Match
17.4,0.0,10.270000000004076,-0.00981,Match
17.5,0.0,10.368000000002212,-0.01962,Match
17.6,0.0,10.476000000002388,-0.00981,Match
17.7,0.0,10.565999999998894,-0.0147149999999994,Match
17.8,0.0,10.705000000001746,-0.00981,Match
17.9,0.0,10.764000000002852,-0.0049049999999994,Match
18.0,0.0,10.863000000004831,-0.0235439999999995,Match
18.1,0.0,10.959999999999129,-0.01962,Match
18.2,0.0,11.078999999997905,-0.00981,Match
18.3,0.0,11.15899999999965,-0.0431639999999996,Match
18.4,0.0,11.298000000002505,-0.00981,Match
18.5,0.0,11.355999999999767,-0.00981,Match
18.6,0.0,11.455000000001746,-0.0235439999999995,Match
18.7,0.0,11.552999999999884,-0.00981,Match
18.8,0.0,11.652999999998428,-0.0147149999999994,Match
18.9,0.0,11.751000000003842,-0.00981,Match
19.0,0.0,11.88799999999901,0.0098099999999989,Match
19.1,0.0,11.949000000000524,-0.0333539999999995,Match
19.2,0.0,12.04699999999866,0.0,Match
19.3,0.0,12.147000000004482,-0.0049049999999994,Match
19.4,0.0,12.27400000000489,0.0049049999999994,Match
19.5,0.0,12.344000000004598,-0.0049049999999994,Match
19.6,0.0,12.442000000002736,-0.01962,Match
19.7,0.0,12.541000000004717,-0.0049049999999994,Match
19.8,0.0,12.639999999999418,-0.00981,Match
19.9,0.0,12.739000000001395,-0.00981,Match
20.0,0.0,12.838000000003376,-0.0049049999999994,Match
20.1,0.0,12.936000000001512,-0.0049049999999994,Match
20.2,0.0,13.035000000003492,-0.0049049999999994,Match
20.3,0.0,13.133999999998196,-0.0147149999999994,Match
20.4,0.0,13.232000000003609,-0.00981,Match
20.5,0.0,13.330999999998312,-0.0147149999999994,Match
20.6,-0.1,13.430000000000293,-0.0716129999999997,Match
20.7,-0.2,13.52900000000227,-0.1628459999999995,Match
20.8,-0.3,13.62800000000425,-0.297243,Match
20.9,-0.4,13.726999999998952,-0.3639510000000002,Match
21.0,-0.5,13.825000000004366,-0.5120820000000003,Match
21.1,-0.6,13.934000000001106,-0.6710040000000002,Match
21.2,-0.7,14.023000000001048,-0.6562889999999997,Match
21.3,-0.7,14.15400000000227,-0.7563509999999996,Match
21.4,-0.7,14.220000000001164,-0.7043579999999998,Match
21.5,-0.7,14.319000000003143,-0.6847379999999997,Match
21.6,-0.7,14.417999999997846,-0.7475220000000005,Match
21.7,-0.7,14.529999999998836,-0.7180920000000005,Match
21.8,-0.7,14.616000000001804,-0.742617,Match
21.9,-0.7,14.745999999999183,-0.6611940000000002,Match
22.0,-0.628571,14.81300000000192,-0.7279020000000005,Match
22.1,-0.528571,14.9120000000039,-0.5366069999999997,Match
22.2,-0.428571,15.010000000002035,-0.4738230000000001,Match
22.3,-0.328571,15.139999999999418,-0.3639510000000002,Match
22.4,-0.228571,15.20799999999872,-0.3256920000000001,Match
22.5,-0.128571,15.307000000000698,-0.1010429999999997,Match
22.6,-0.028571,15.406000000002678,-0.0912329999999997,Match
22.7,0.0,-,-,Deletion
22.8,0.0,-,-,Deletion
22.9,0.0,15.541000000004717,-0.0333539999999995,Match
23.0,0.0,15.60399999999936,0.0,Match
23.1,0.0,15.702000000004771,-0.00981,Match
23.2,0.0,15.800999999999476,-0.0049049999999994,Match
23.3,0.0,15.89900000000489,-0.0382590000000001,Match
23.4,0.0,15.999000000003434,0.0235439999999995,Match
23.5,0.0,16.097999999998137,-0.0382590000000001,Match
23.6,0.0,16.19600000000355,0.0098099999999989,Match
23.7,0.0,16.294999999998254,-0.0578790000000001,Match
23.8,0.0,16.394000000000233,-0.01962,Match
23.9,0.0,16.49199999999837,-0.0382590000000001,Match
24.0,0.0,16.59200000000419,-0.0147149999999994,Match
24.1,0.0,16.690999999998894,-0.0431639999999996,Match
24.2,0.0,16.789000000004307,-0.00981,Match
24.3,0.0,16.88799999999901,-0.00981,Match
24.4,0.0,16.98700000000099,0.0049049999999994,Match
24.5,0.0,17.084999999999127,-0.0284490000000001,Match
24.6,0.02,17.186000000001513,0.0431639999999996,Match
24.7,0.12,17.283000000003085,0.0618029999999997,Match
24.8,0.22,17.404999999998836,0.2207249999999996,Match
24.9,0.32,17.4800000000032,0.287433000000001,Match
25.0,0.42,17.578999999997905,0.3639509999999991,Match
25.1,0.52,17.677999999999884,0.5552459999999999,Match
25.2,0.62,17.804000000003725,0.584676000000001,Match
25.3,0.7,17.875,0.7328069999999999,Match
25.4,0.7,17.97400000000198,0.6660990000000008,Match
25.5,0.7,18.07300000000396,0.752427,Match
25.6,0.7,18.1820000000007,0.6798329999999992,Match
25.7,0.7,18.270000000004075,0.7328069999999999,Match
25.8,0.7,18.4120000000039,0.6415739999999991,Match
25.9,0.7,18.46800000000076,0.7092630000000003,Match
26.0,0.7,18.588999999999945,0.6945479999999998,Match
26.1,0.608571,18.666000000004715,0.5552459999999999,Match
26.2,0.508571,18.76400000000285,0.3924000000000003,Match
26.3,0.408571,18.86300000000483,0.4022099999999993,Match
26.4,0.308571,18.986000000004424,0.186389999999999,Match
26.5,0.208571,19.060000000004948,0.1432259999999995,Match
26.6,0.108571,19.20000000000437,0.0578790000000001,Match
-,-,19.25800000000163,-0.0235439999999995,Insertion
26.7,0.008571,19.355999999999767,0.0,Match
-,-,19.455000000001743,-0.0480690000000001,Insertion
26.8,0.0,19.554000000003725,0.0,Match
26.9,0.0,19.65299999999843,0.0147150000000005,Match
27.0,0.0,19.792999999997846,-0.0333539999999995,Match
27.1,0.0,19.851000000002387,-0.01962,Match
27.2,0.0,19.95000000000437,-0.00981,Match
27.3,0.0,20.04899999999907,0.0147150000000005,Match
27.4,0.0,20.14700000000448,-0.00981,Match
-,-,20.245999999999185,-0.0529739999999996,Insertion
27.5,0.0,20.345000000001164,0.0147150000000005,Match
27.6,0.0,20.4429999999993,-0.0049049999999994,Match
27.7,0.0,20.54200000000128,0.0049049999999994,Match
27.8,0.0,20.64100000000326,-0.0618029999999997,Match
27.9,0.0,20.739999999997963,0.0098099999999989,Match
