mad_accel(m/s2),mad_timestamp(s),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
0.0,0.0,200,-1.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438848920863336,0.0,0.0,0.0,99.85611510791367,100.0
0.02,0.02,200,-1.0,-0.1,0.01962,0.01962,0.018091999999999442,0.018091999999999442,6.2,8.471127433818948,62,10,0.01005257430730455,0.005906400081868738,0.01962,0.01005257430730455,0.005906400081868738,0.01962,0.00975762499999985,0.005522656718860358,0.018091999999999442,0.00975762499999985,0.005522656718860358,0.018091999999999442,4.60431654676259,0.0,57.122302158273385,26.89075630252101,38.273381294964025,73.10924369747899
0.04,0.04,200,-1.0,-0.1,0.0399050000000008,0.0399050000000008,0.0399050000000008,0.0399050000000008,5.636363636363637,8.160578491891004,62,11,0.01537427605118809,0.010527882987217149,0.0399050000000008,0.01537427605118809,0.010527882987217149,0.0399050000000008,0.018360016949152513,0.011537957289895068,0.0399050000000008,0.018360016949152513,0.011537957289895068,0.0399050000000008,4.604316546762583,0.0,78.70503597122303,49.57983193277311,16.69064748201439,50.42016806722689
0.06,0.06,200,-1.0,-0.1,0.0578790000000001,0.0578790000000001,0.0562889999999997,0.0562889999999997,5.166666666666667,7.945998294040144,62,12,0.01911654634146321,0.014596567195299007,0.0578790000000001,0.01911654634146321,0.014596567195299007,0.0578790000000001,0.02325995774647886,0.015244351447488815,0.0562889999999997,0.02325995774647886,0.015244351447488815,0.0562889999999997,4.60431654676259,0.0,88.48920863309353,59.66386554621849,6.906474820143885,40.33613445378151
0.08,0.08,200,-1.0,-0.1,0.0765180000000003,0.0765180000000003,0.0765180000000003,0.0765180000000003,5.636363636363637,8.160578491891004,62,11,0.02137435248447185,0.017599147344402252,0.0765180000000003,0.02137435248447185,0.017599147344402252,0.0765180000000003,0.036312929999999966,0.024295313927280297,0.0765180000000003,0.036312929999999966,0.024295313927280297,0.0765180000000003,4.604316546762598,1.7763568394002505e-15,92.66187050359711,84.03361344537815,2.7338129496402876,15.966386554621847
0.1,0.1,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0961380000000003,0.0961380000000003,5.166666666666667,7.945998294040144,62,12,0.022244327718223388,0.019096818465884412,0.09841000000000055,0.022244327718223388,0.019096818465884412,0.09841000000000055,0.04055345871559629,0.027281535387706498,0.09841000000000055,0.04055345871559629,0.027281535387706498,0.09841000000000055,4.604316546762588,-1.7763568394002505e-15,93.9568345323741,91.59663865546219,1.4388489208633095,8.403361344537815
0.12,0.12,200,-1.0,-0.1,0.1098720000000009,0.1098720000000009,0.1098720000000009,0.1098720000000009,5.636363636363637,8.160578491891004,62,11,0.02280031811263299,0.02024515071675599,0.1098720000000009,0.02280031811263299,0.02024515071675599,0.1098720000000009,0.04285094690265485,0.029367729766886966,0.1098720000000009,0.04285094690265485,0.029367729766886966,0.1098720000000009,4.6043165467625915,1.0658141036401503e-14,94.53237410071942,94.9579831932773,0.8633093525179856,5.042016806722689
0.14,0.14,200,-1.0,-0.1,0.1098720000000009,0.1098720000000009,0.1098720000000009,0.1098720000000009,5.636363636363637,8.160578491891004,62,11,0.02280031811263299,0.02024515071675599,0.1098720000000009,0.02280031811263299,0.02024515071675599,0.1098720000000009,0.04285094690265485,0.029367729766886966,0.1098720000000009,0.04285094690265485,0.029367729766886966,0.1098720000000009,4.6043165467625915,1.0658141036401503e-14,94.53237410071942,94.9579831932773,0.8633093525179856,5.042016806722689
0.16,0.16,200,-1.0,-0.1,0.1098720000000009,0.1098720000000009,0.157941,0.157941,5.636363636363637,8.160578491891004,62,11,0.023384866666666473,0.021975712809974277,0.157941,0.023384866666666473,0.021975712809974277,0.157941,0.04565827586206892,0.033727824604646954,0.157941,0.04565827586206892,0.033727824604646954,0.157941,4.604316546762598,5.329070518200751e-15,94.96402877697841,97.47899159663865,0.4316546762589928,2.5210084033613445
0.18,0.18,200,-1.0,-0.1,0.1098720000000009,0.1098720000000009,0.157941,0.157941,6.2,8.52994724485445,62,10,0.023521518181817986,0.022140173361150397,0.157941,0.023521518181817986,0.022140173361150397,0.157941,0.04565827586206892,0.033727824604646954,0.157941,0.04565827586206892,0.033727824604646954,0.157941,4.604316546762598,5.329070518200751e-15,94.96402877697841,97.47899159663865,0.4316546762589928,2.5210084033613445
0.2,0.2,200,-1.0,-0.1,0.1098720000000009,0.1098720000000009,0.157941,0.157941,6.888888888888889,8.812168915065934,62,9,0.0237297090909089,0.022390510643551912,0.157941,0.0237297090909089,0.022390510643551912,0.157941,0.04691459482758618,0.03382527111545611,0.157941,0.04691459482758618,0.03382527111545611,0.157941,4.604316546762598,5.329070518200751e-15,94.96402877697841,97.47899159663865,0.4316546762589928,2.5210084033613445
0.22,0.22,200,-1.0,-0.1,0.1868300000000001,0.1868300000000001,0.157941,0.157941,6.888888888888889,8.812168915065934,62,9,0.024032912254160176,0.0235864600953368,0.2158200000000002,0.024032912254160176,0.0235864600953368,0.2158200000000002,0.04835823076923074,0.037096141901217856,0.2158200000000002,0.04835823076923074,0.037096141901217856,0.2158200000000002,4.604316546762595,8.215650382226158e-15,95.10791366906474,98.31932773109243,0.28776978417266186,1.680672268907563
0.24,0.24,200,-1.0,-0.1,0.1868300000000001,0.1868300000000001,0.157941,0.157941,6.888888888888889,8.812168915065934,62,9,0.024335957703927297,0.024823067731982947,0.2246489999999992,0.024335957703927297,0.024823067731982947,0.2246489999999992,0.049852220338983,0.040318807571261286,0.2246489999999992,0.049852220338983,0.040318807571261286,0.2246489999999992,4.604316546762592,-2.9976021664879227e-15,95.25179856115108,99.15966386554622,0.14388489208633093,0.8403361344537815
0.26,0.26,200,-1.0,-0.1,0.1868300000000001,0.1868300000000001,0.157941,0.157941,7.75,9.364160400164021,62,8,0.02468247812971323,0.026226086143847072,0.2442690000000003,0.02468247812971323,0.026226086143847072,0.2442690000000003,0.051485974789915914,0.04389653531655638,0.2442690000000003,0.051485974789915914,0.04389653531655638,0.2442690000000003,4.60431654676259,0.0,95.39568345323741,100.0,0.0,0.0
