mad_accel(m/s2),mad_timestamp(s),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
0.0,0.0,200,-1.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09233610341642873,0.0,0.0,0.0,99.90766389658357,100.0
0.02,0.02,200,-1.0,-0.1,0.01962,0.01962,0.018091999999999442,0.018091999999999442,6.0,6.660603303277892,66,11,0.00828005619596512,0.006011749969012837,0.01962,0.00828005619596512,0.006011749969012837,0.01962,0.009371304347826017,0.006061683059684455,0.018091999999999442,0.009371304347826017,0.006061683059684455,0.018091999999999442,3.1394275161588183,5.263157894736835,64.08125577100647,22.00956937799043,32.779316712834714,72.72727272727273
0.04,0.04,200,-1.0,-0.1,0.0383809999999989,0.0383809999999989,0.03771200000000052,0.03771200000000052,5.285714285714286,6.12289114049624,74,14,0.012102084785133289,0.009973067815380965,0.0383809999999989,0.012102084785133289,0.009973067815380965,0.0383809999999989,0.015928341463414677,0.010445948437621706,0.03771200000000052,0.015928341463414677,0.010445948437621706,0.03771200000000052,3.508771929824565,2.3923444976076524,79.50138504155125,39.23444976076555,16.98984302862419,58.3732057416268
0.06,0.06,200,-1.0,-0.1,0.057974000000000525,0.057974000000000525,0.057974000000000525,0.057974000000000525,4.315789473684211,6.473042330180627,82,19,0.015453387434554725,0.014153944803043184,0.05901700000000032,0.015453387434554725,0.014153944803043184,0.05901700000000032,0.02402167226890769,0.015972727839154058,0.05901700000000032,0.02402167226890769,0.015972727839154058,0.05901700000000032,3.878116343490305,3.3492822966507205,88.18097876269621,56.9377990430622,7.940904893813482,39.71291866028708
0.08,0.08,200,-1.0,-0.1,0.0774390000000002,0.0774390000000002,0.0774390000000002,0.0774390000000002,4.823529411764706,6.81896398994699,82,17,0.018081675595237868,0.017974554509539116,0.0774390000000002,0.018081675595237868,0.017974554509539116,0.0774390000000002,0.03653932163742704,0.024246530028618853,0.0774390000000002,0.03653932163742704,0.024246530028618853,0.0774390000000002,3.878116343490298,2.8708133971291776,93.07479224376732,81.81818181818183,3.0470914127423825,15.311004784688995
0.1,0.1,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0961380000000003,0.0961380000000003,4.823529411764706,6.818963989946989,82,17,0.019260374023437277,0.01998888648142607,0.0961380000000003,0.019260374023437277,0.01998888648142607,0.0961380000000003,0.04144076470588247,0.02752994924906088,0.0961380000000003,0.04144076470588247,0.02752994924906088,0.0961380000000003,3.878116343490312,2.8708133971291874,94.55216989843028,89.47368421052632,1.569713758079409,7.655502392344498
0.12,0.12,200,-1.0,-0.1,0.1010429999999997,0.1010429999999997,0.1010429999999997,0.1010429999999997,4.315789473684211,6.545811288859683,82,19,0.019805714285714066,0.020906620797072402,0.10809799999999958,0.019805714285714066,0.020906620797072402,0.10809799999999958,0.0436097927461141,0.02881894947689566,0.10809799999999958,0.0436097927461141,0.02881894947689566,0.10809799999999958,3.878116343490305,1.9138755980861148,95.01385041551247,92.34449760765551,1.10803324099723,5.741626794258373
0.14,0.14,200,-1.0,-0.1,0.1294919999999999,0.1294919999999999,0.1294919999999999,0.1294919999999999,4.315789473684211,6.545811288859683,82,19,0.020232404646659992,0.021909243433282707,0.129492000000001,0.020232404646659992,0.021909243433282707,0.129492000000001,0.045314081218274224,0.030887632547992407,0.129492000000001,0.045314081218274224,0.030887632547992407,0.129492000000001,3.878116343490305,1.913875598086117,95.38319482917821,94.25837320574163,0.7386888273314866,3.827751196172249
0.16,0.16,200,-1.0,-0.1,0.1294919999999999,0.1294919999999999,0.1294919999999999,0.1294919999999999,4.315789473684211,6.545811288859683,82,19,0.02033320986460326,0.02227982657734789,0.1530360000000006,0.02033320986460326,0.02227982657734789,0.1530360000000006,0.04585813131313143,0.03174173216271961,0.1530360000000006,0.04585813131313143,0.03174173216271961,0.1530360000000006,3.878116343490312,1.9138755980861317,95.47553093259464,94.73684210526315,0.6463527239150507,3.349282296650718
0.18,0.18,200,-1.0,-0.1,0.1317349999999996,0.1317349999999996,0.1294919999999999,0.1294919999999999,4.555555555555555,6.743080586977226,82,18,0.021225400192863814,0.02462055214545139,0.177561,0.021225400192863814,0.02462055214545139,0.177561,0.04903254228855732,0.03608917190054542,0.177561,0.04903254228855732,0.03608917190054542,0.177561,3.878116343490305,1.9138755980861195,95.75253924284395,96.17224880382776,0.3693444136657433,1.9138755980861244
