mad_accel(m/s2),mad_timestamp(s),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
0.0,0.0,200,-1.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05042864346948761,0.0,0.0,0.0,99.94957135653051,100.0
0.02,0.02,200,-1.0,-0.1,0.019877999999999,0.019877999999999,0.018092000000000552,0.018092000000000552,36.5,59.56718895499434,292,8,0.0071900732075468494,0.0058020006315257925,0.019877999999999,0.0071900732075468494,0.0058020006315257925,0.019877999999999,0.009619064935064944,0.005803868041447463,0.018092000000000552,0.009619064935064944,0.005803868041447463,0.018092000000000552,7.41301059001513,1.9607843137254974,66.81795259707513,21.568627450980394,25.769036812909736,76.47058823529412
0.04,0.04,200,-1.0,-0.1,0.03936399999999979,0.03936399999999979,0.03936399999999979,0.03936399999999979,13.28,33.964122246865145,332,25,0.010643607734806337,0.009673354842332352,0.03936399999999979,0.010643607734806337,0.009673354842332352,0.03936399999999979,0.019155598086124406,0.011255409979638902,0.03936399999999979,0.019155598086124406,0.011255409979638902,0.03936399999999979,8.421583459404939,6.7226890756302495,82.1482602118003,58.543417366946784,9.430156328794755,34.73389355742297
0.06,0.06,200,-1.0,-0.1,0.058426000000000866,0.058426000000000866,0.058426000000000866,0.058426000000000866,11.724137931034482,31.784724754276432,340,29,0.013199485503126504,0.013240809305601451,0.058426000000000866,0.013199485503126504,0.013240809305601451,0.058426000000000866,0.025346210144927567,0.015556264833091754,0.058426000000000866,0.025346210144927567,0.015556264833091754,0.058426000000000866,8.623298033282902,9.243697478991587,88.7039838628341,77.31092436974791,2.6727181038830055,13.445378151260504
0.08,0.08,200,-1.0,-0.1,0.07872799999999958,0.07872799999999958,0.07872799999999958,0.07872799999999958,11.4,31.30239607442216,342,30,0.013996072188024353,0.014707330480331572,0.07872799999999958,0.013996072188024353,0.014707330480331572,0.07872799999999958,0.02896981907894739,0.019156430398227495,0.07872799999999958,0.02896981907894739,0.019156430398227495,0.07872799999999958,8.673726676752393,8.963585434173673,90.11598587997983,85.15406162464986,1.2102874432677762,5.88235294117647
0.1,0.1,200,-1.0,-0.1,0.0912330000000008,0.0912330000000008,0.0912330000000008,0.0912330000000008,11.4,31.30239607442216,342,30,0.014517148888888623,0.015880417798347035,0.0912330000000008,0.014517148888888623,0.015880417798347035,0.0912330000000008,0.030967558730158756,0.021564449481353592,0.0912330000000008,0.030967558730158756,0.021564449481353592,0.0912330000000008,8.67372667675239,8.96358543417367,90.77155824508321,88.23529411764706,0.5547150781643975,2.801120448179272
0.12,0.12,200,-1.0,-0.1,0.10791799999999974,0.10791799999999974,0.10791799999999974,0.10791799999999974,11.4,31.299201267764005,342,30,0.014847962347729525,0.016789940411800396,0.11895100000000047,0.014847962347729525,0.016789940411800396,0.11895100000000047,0.0323136666666667,0.023580164212548587,0.11895100000000047,0.0323136666666667,0.023580164212548587,0.11895100000000047,8.673726676752393,8.683473389355735,91.07413010590015,89.91596638655463,0.2521432173474533,1.400560224089636
0.14,0.14,200,-1.0,-0.1,0.10791799999999974,0.10791799999999974,0.10791799999999974,0.10791799999999974,11.266666666666667,31.330425396977223,338,30,0.015544772752343915,0.018478446044506436,0.1336720000000008,0.015544772752343915,0.018478446044506436,0.1336720000000008,0.035401231707317106,0.027049941626350958,0.1336720000000008,0.035401231707317106,0.027049941626350958,0.1336720000000008,8.572869389813405,8.123249299719888,91.4271306101866,91.87675070028011,0.0,0.0
0.16,0.16,200,-1.0,-0.1,0.10791799999999974,0.10791799999999974,0.1418629999999998,0.1418629999999998,11.2,31.346876505748813,336,30,0.015969638919514622,0.019517818307548968,0.1418629999999998,0.015969638919514622,0.019517818307548968,0.1418629999999998,0.03744745288753803,0.02921398294367254,0.1418629999999998,0.03744745288753803,0.02921398294367254,0.1418629999999998,8.522440746343932,7.843137254901961,91.47755925365607,92.15686274509804,0.0,0.0
0.18,0.18,200,-1.0,-0.1,0.1111109999999999,0.1111109999999999,0.1418629999999998,0.1418629999999998,12.444444444444445,32.8231324631175,336,27,0.01614107056229301,0.019903444849360647,0.1418629999999998,0.01614107056229301,0.019903444849360647,0.1418629999999998,0.03813143975903618,0.02995645603032796,0.1418629999999998,0.03813143975903618,0.02995645603032796,0.1418629999999998,8.522440746343932,7.002801120448183,91.47755925365607,92.99719887955182,0.0,0.0
0.2,0.2,200,-1.0,-0.1,0.1111109999999999,0.1111109999999999,0.1418629999999998,0.1418629999999998,12.444444444444445,32.8231324631175,336,27,0.016145140573318367,0.019915380165081306,0.1418629999999998,0.016145140573318367,0.019915380165081306,0.1418629999999998,0.03813143975903618,0.02995645603032796,0.1418629999999998,0.03813143975903618,0.02995645603032796,0.1418629999999998,8.522440746343932,7.002801120448183,91.47755925365607,92.99719887955182,0.0,0.0
0.22,0.22,200,-1.0,-0.1,0.1395599999999989,0.1395599999999989,0.1245870000000004,0.1245870000000004,12.846153846153847,33.38089309273553,334,26,0.016646433057850973,0.02116050887054465,0.1481309999999989,0.016646433057850973,0.02116050887054465,0.1481309999999989,0.04005833832335332,0.03196502606174521,0.1481309999999989,0.04005833832335332,0.03196502606174521,0.1481309999999989,8.472012102874444,6.4425770308123305,91.52798789712556,93.55742296918767,0.0,0.0
0.24,0.24,200,-1.0,-0.1,0.1419250000000006,0.1419250000000006,0.1245870000000004,0.1245870000000004,12.37037037037037,32.84435590291946,334,27,0.016836147107437752,0.021830691794685796,0.1863900000000001,0.016836147107437752,0.021830691794685796,0.1863900000000001,0.041023320474777476,0.03350737149560046,0.1863900000000001,0.041023320474777476,0.03350737149560046,0.1863900000000001,8.472012102874444,5.602240896358552,91.52798789712556,94.39775910364145,0.0,0.0
0.26,0.26,200,-1.0,-0.1,0.1419250000000006,0.1419250000000006,0.1726559999999995,0.1726559999999995,11.928571428571429,32.33190437967313,334,28,0.01697747272727246,0.022293390954405173,0.1863900000000001,0.01697747272727246,0.022293390954405173,0.1863900000000001,0.041713100294985275,0.03460591302913288,0.1863900000000001,0.041713100294985275,0.03460591302913288,0.1863900000000001,8.472012102874444,5.0420168067227,91.52798789712556,94.9579831932773,0.0,0.0
0.28,0.28,200,-1.0,-0.1,0.1566400000000001,0.1566400000000001,0.1726559999999995,0.1726559999999995,11.517241379310345,31.846204439738155,334,29,0.017148809917355106,0.022992240909020106,0.2060099999999991,0.017148809917355106,0.022992240909020106,0.2060099999999991,0.04256452199413492,0.03627072329024212,0.2060099999999991,0.04256452199413492,0.03627072329024212,0.2060099999999991,8.472012102874444,4.481792717086833,91.52798789712556,95.51820728291317,0.0,0.0
0.3,0.3,200,-1.0,-0.1,0.1566400000000001,0.1566400000000001,0.1726559999999995,0.1726559999999995,11.133333333333333,31.381239972668737,334,30,0.017425003305784857,0.02403879883084313,0.2060099999999991,0.017425003305784857,0.02403879883084313,0.2060099999999991,0.043850183139534905,0.038643492801500166,0.2060099999999991,0.043850183139534905,0.038643492801500166,0.2060099999999991,8.472012102874444,3.6414565826330545,91.52798789712556,96.35854341736695,0.0,0.0
