mad_accel(m/s2),%MS,FD,ED
0.0,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
0.02,55.0935 ± 3.2009,0.0196 ± 0.0000,0.0083 ± 0.0007
0.04,75.1223 ± 3.1651,0.0388 ± 0.0006,0.0136 ± 0.0009
0.06,84.4173 ± 4.0590,0.0586 ± 0.0008,0.0178 ± 0.0009
0.08,89.2374 ± 3.5061,0.0766 ± 0.0002,0.0205 ± 0.0012
0.1,90.7914 ± 4.8286,0.0950 ± 0.0019,0.0223 ± 0.0010
0.12,91.5971 ± 4.8330,0.1138 ± 0.0043,0.0231 ± 0.0011
0.14,91.7698 ± 4.7807,0.1177 ± 0.0091,0.0234 ± 0.0011
0.16,91.9856 ± 4.8794,0.1262 ± 0.0151,0.0237 ± 0.0011
0.18,92.0719 ± 4.8438,0.1299 ± 0.0124,0.0239 ± 0.0012
0.2,92.1439 ± 4.7752,0.1342 ± 0.0110,0.0241 ± 0.0013
0.22,92.2302 ± 4.7955,0.1438 ± 0.0175,0.0244 ± 0.0012
0.24,92.3309 ± 4.8201,0.1475 ± 0.0166,0.0246 ± 0.0012
0.26,92.3741 ± 4.8127,0.1544 ± 0.0215,0.0248 ± 0.0013
0.28,92.3741 ± 4.8127,0.1544 ± 0.0215,0.0248 ± 0.0013
0.3,92.3885 ± 4.8129,0.1612 ± 0.0244,0.0249 ± 0.0013
