mad_accel(m/s2),%MS,FD,ED
0.0,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
0.02,16.1316 ± 9.8250,0.0160 ± 0.0055,0.0089 ± 0.0039
0.04,36.1800 ± 11.1304,0.0379 ± 0.0020,0.0178 ± 0.0015
0.06,49.5932 ± 8.2041,0.0579 ± 0.0019,0.0245 ± 0.0030
0.08,74.8621 ± 8.7093,0.0766 ± 0.0002,0.0394 ± 0.0034
0.1,89.1154 ± 1.2697,0.0945 ± 0.0022,0.0449 ± 0.0029
0.12,93.2984 ± 1.1581,0.1138 ± 0.0043,0.0483 ± 0.0033
0.14,94.2117 ± 1.3701,0.1197 ± 0.0093,0.0493 ± 0.0032
0.16,95.2888 ± 1.2188,0.1329 ± 0.0151,0.0504 ± 0.0032
0.18,95.7394 ± 1.2691,0.1329 ± 0.0151,0.0509 ± 0.0032
0.2,96.3388 ± 1.4999,0.1334 ± 0.0144,0.0516 ± 0.0030
0.22,96.8848 ± 1.4946,0.1334 ± 0.0144,0.0526 ± 0.0032
0.24,97.4169 ± 1.4676,0.1334 ± 0.0144,0.0536 ± 0.0031
0.26,97.7929 ± 1.6132,0.1334 ± 0.0144,0.0545 ± 0.0039
0.28,97.7929 ± 1.6132,0.1334 ± 0.0144,0.0545 ± 0.0039
0.3,97.9458 ± 1.7403,0.1363 ± 0.0168,0.0548 ± 0.0041
