mad_accel(m/s2),%MS,FD,ED
0.0,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
0.02,65.1893 ± 0.7979,0.0196 ± 0.0000,0.0078 ± 0.0004
0.04,81.5636 ± 2.1248,0.0387 ± 0.0005,0.0116 ± 0.0004
0.06,89.1659 ± 0.8738,0.0587 ± 0.0005,0.0146 ± 0.0007
0.08,92.8286 ± 0.5557,0.0770 ± 0.0004,0.0166 ± 0.0011
0.1,94.2752 ± 0.3917,0.0973 ± 0.0016,0.0178 ± 0.0012
0.12,94.6137 ± 0.5020,0.1024 ± 0.0057,0.0182 ± 0.0012
0.14,94.8600 ± 0.6140,0.1302 ± 0.0031,0.0186 ± 0.0012
0.16,95.0139 ± 0.5277,0.1310 ± 0.0041,0.0188 ± 0.0012
0.18,95.1985 ± 0.5437,0.1317 ± 0.0040,0.0195 ± 0.0013
0.2,95.3216 ± 0.5557,0.1317 ± 0.0040,0.0198 ± 0.0013
0.22,95.3524 ± 0.5132,0.1317 ± 0.0040,0.0198 ± 0.0013
0.24,95.5371 ± 0.5349,0.1492 ± 0.0023,0.0204 ± 0.0013
0.26,95.5679 ± 0.5437,0.1508 ± 0.0040,0.0207 ± 0.0012
0.28,95.5679 ± 0.5437,0.1508 ± 0.0040,0.0208 ± 0.0012
0.3,95.5986 ± 0.5758,0.1508 ± 0.0040,0.0210 ± 0.0014
