mad_accel(m/s2),%MS,FD,ED
0.0,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
0.02,24.0562 ± 5.4164,0.0185 ± 0.0006,0.0096 ± 0.0006
0.04,48.6915 ± 6.7269,0.0375 ± 0.0016,0.0166 ± 0.0007
0.06,63.7049 ± 4.7855,0.0587 ± 0.0005,0.0233 ± 0.0008
0.08,82.9693 ± 0.8321,0.0770 ± 0.0004,0.0335 ± 0.0022
0.1,90.4178 ± 1.3920,0.0973 ± 0.0016,0.0381 ± 0.0024
0.12,92.5549 ± 0.6230,0.1024 ± 0.0057,0.0399 ± 0.0026
0.14,93.8671 ± 0.3377,0.1118 ± 0.0137,0.0415 ± 0.0027
0.16,94.8709 ± 0.4140,0.1118 ± 0.0137,0.0426 ± 0.0023
0.18,95.8561 ± 0.6508,0.1118 ± 0.0137,0.0449 ± 0.0029
0.2,96.5215 ± 0.4162,0.1118 ± 0.0137,0.0459 ± 0.0028
0.22,96.6907 ± 0.6140,0.1118 ± 0.0137,0.0462 ± 0.0025
0.24,97.6760 ± 0.8713,0.1315 ± 0.0104,0.0485 ± 0.0027
0.26,98.3405 ± 0.2576,0.1315 ± 0.0104,0.0500 ± 0.0029
0.28,98.5000 ± 0.4344,0.1315 ± 0.0104,0.0501 ± 0.0031
0.3,98.8278 ± 0.4905,0.1315 ± 0.0104,0.0512 ± 0.0042
