mad_accel(m/s2),%MS,FD,ED
0.0,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
0.02,66.9860 ± 0.9953,0.0197 ± 0.0001,0.0085 ± 0.0013
0.04,82.9551 ± 1.2496,0.0394 ± 0.0003,0.0120 ± 0.0015
0.06,89.2251 ± 1.3483,0.0590 ± 0.0007,0.0143 ± 0.0014
0.08,91.2758 ± 1.4317,0.0786 ± 0.0001,0.0154 ± 0.0015
0.1,92.3012 ± 1.5959,0.0956 ± 0.0031,0.0162 ± 0.0016
0.12,92.7215 ± 1.7280,0.1100 ± 0.0015,0.0166 ± 0.0017
0.14,92.8896 ± 1.6588,0.1100 ± 0.0015,0.0170 ± 0.0016
0.16,92.9400 ± 1.6588,0.1100 ± 0.0015,0.0173 ± 0.0014
0.18,92.9400 ± 1.6588,0.1111 ± 0.0000,0.0174 ± 0.0015
0.2,92.9904 ± 1.6972,0.1366 ± 0.0190,0.0177 ± 0.0016
0.22,93.0408 ± 1.6654,0.1502 ± 0.0134,0.0181 ± 0.0014
0.24,93.0577 ± 1.6574,0.1600 ± 0.0128,0.0183 ± 0.0014
0.26,93.0745 ± 1.6808,0.1600 ± 0.0128,0.0186 ± 0.0014
0.28,93.0745 ± 1.6808,0.1686 ± 0.0096,0.0189 ± 0.0016
0.3,93.0745 ± 1.6808,0.1686 ± 0.0096,0.0190 ± 0.0015
