mad_accel(m/s2),%MS,FD,ED
0.0,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
0.02,22.6084 ± 2.1580,0.0183 ± 0.0003,0.0089 ± 0.0005
0.04,55.5485 ± 2.1395,0.0394 ± 0.0003,0.0184 ± 0.0010
0.06,73.0685 ± 3.0030,0.0590 ± 0.0007,0.0249 ± 0.0008
0.08,83.4355 ± 1.4990,0.0786 ± 0.0001,0.0300 ± 0.0009
0.1,88.3360 ± 0.8090,0.0956 ± 0.0031,0.0332 ± 0.0016
0.12,90.3349 ± 0.4808,0.1158 ± 0.0055,0.0348 ± 0.0020
0.14,91.6169 ± 0.1915,0.1158 ± 0.0055,0.0364 ± 0.0013
0.16,91.8905 ± 0.1964,0.1271 ± 0.0105,0.0377 ± 0.0006
0.18,92.4402 ± 0.3973,0.1254 ± 0.0118,0.0383 ± 0.0008
0.2,92.9793 ± 0.2675,0.1493 ± 0.0277,0.0392 ± 0.0015
0.22,93.4370 ± 0.1761,0.1485 ± 0.0373,0.0407 ± 0.0006
0.24,94.1684 ± 0.1669,0.1678 ± 0.0320,0.0418 ± 0.0005
0.26,95.2590 ± 0.4628,0.1759 ± 0.0023,0.0431 ± 0.0010
0.28,96.1621 ± 0.5165,0.1805 ± 0.0079,0.0444 ± 0.0014
0.3,96.4408 ± 0.4683,0.1805 ± 0.0079,0.0449 ± 0.0011
