dt-timestamp,dt-xPos,dt-yPos,dt-angle,dt-speed,dt-isMoving,dt-distance,dt-bump,dt-light,dt-action,pt-timestamp,pt-xPos,pt-yPos,pt-angle,pt-speed,pt-isMoving,pt-distance,pt-bump,pt-light,pt-action,operation
-,-,-,-,-,-,-,-,-,-,16274847352,2.99445235,2.996476375,0.0,62.56,False,35,False,45,#Forward,Insertion
-,-,-,-,-,-,-,-,-,-,16274847359,3.550380427,2.993262425,0.0,62.56,True,41,False,45,#Forward,Insertion
-,-,-,-,-,-,-,-,-,-,16274847368,4.116709397,3.001165945,0.0,62.56,True,47,False,45,#Forward,Insertion
-,-,-,-,-,-,-,-,-,-,16274847380,4.668639031,3.001236366,0.0,62.56,True,53,False,45,#Forward,Insertion
16274847350,5.0,5.0,0.0,31.28,False,37,False,45,#Forward,16274847391,5.229404214,2.997942319,0.0,62.56,True,59,False,45,#Forward,Mismatch
16274847360,5.278,5.0,0.0,31.28,True,40,False,45,#Forward,16274847402,5.783062711,3.003374754,0.0,62.56,True,65,False,45,#Forward,Mismatch
16274847370,5.556,5.0,0.0,31.28,True,43,False,45,#Forward,16274847410,6.332712553,2.995015047,0.0,62.56,True,71,False,45,#Forward,Mismatch
16274847380,5.834,5.0,0.0,31.28,True,46,False,45,#Forward,16274847420,6.89830656,3.003078695,0.0,62.56,True,77,False,45,#Forward,Mismatch
16274847390,6.112,5.0,0.0,31.28,True,49,False,45,#Forward,16274847428,7.452488636,3.006426776,0.0,62.56,True,83,False,45,#Forward,Mismatch
16274847400,6.39,5.0,0.0,31.28,True,52,False,45,#Forward,16274847440,8.003230839,3.007041062,0.0,62.56,True,89,False,45,#Forward,Mismatch
16274847410,6.668,5.0,0.0,31.28,True,55,False,45,#Forward,16274847448,8.552824185,2.999432207,0.0,62.56,True,95,False,45,#Forward,Mismatch
16274847420,6.946,5.0,0.0,31.28,True,58,False,45,#Forward,16274847460,9.118089778,3.004391713,0.0,62.56,True,101,False,45,#Forward,Mismatch
16274847430,7.224,5.0,0.0,31.28,True,61,False,45,#Forward,16274847468,9.676334832,3.005487681,0.0,62.56,True,107,False,45,#Forward,Mismatch
16274847440,7.502,5.0,0.0,31.28,True,64,False,45,#Forward,16274847482,10.23531422,2.998323824,0.0,62.56,True,113,False,45,#Forward,Mismatch
16274847450,7.78,5.0,0.0,31.28,True,67,False,45,#Forward,16274847489,10.7884068,2.994844131,0.0,62.56,True,119,False,45,#Forward,Mismatch
16274847460,8.058,5.0,0.0,31.28,True,70,False,45,#Forward,16274847501,11.34207774,2.993369753,0.0,62.56,True,125,False,45,#Forward,Mismatch
16274847470,8.336,5.0,0.0,31.28,True,73,False,45,#Forward,16274847510,11.90340576,3.006018114,0.0,62.56,True,131,False,45,#Forward,Mismatch
16274847480,8.614,5.0,0.0,31.28,True,76,False,45,#Forward,16274847519,12.45224405,2.99288647,0.0,62.56,True,137,False,45,#Forward,Mismatch
16274847490,8.892,5.0,0.0,31.28,True,79,False,45,#Forward,16274847528,13.013213,3.00518626,0.0,62.56,True,143,False,45,#Forward,Mismatch
16274847500,9.17,5.0,0.0,31.28,True,82,False,45,#Forward,16274847541,13.56318358,3.000110425,0.0,62.56,True,149,False,45,#Forward,Mismatch
16274847510,9.448,5.0,0.0,31.28,True,85,False,45,#Forward,16274847549,14.12630874,2.997017812,0.0,62.56,True,155,False,45,#Forward,Mismatch
16274847520,9.726,5.0,0.0,31.28,True,88,False,45,#Forward,16274847560,14.67105364,2.996895537,0.0,62.56,True,161,False,45,#Forward,Mismatch
16274847530,10.004,5.0,0.0,31.28,True,91,False,45,#Forward,16274847570,15.23347598,3.002447273,0.0,62.56,True,167,False,45,#Forward,Mismatch
16274847540,10.282,5.0,0.0,31.28,True,94,False,45,#Forward,16274847580,15.78217593,3.005486164,0.0,62.56,True,173,False,45,#Forward,Mismatch
16274847550,10.56,5.0,0.0,31.28,True,97,False,45,#Forward,16274847588,16.33691586,2.993573218,0.0,62.56,True,179,False,45,#Forward,Mismatch
16274847560,10.838,5.0,0.0,31.28,True,100,False,45,#Forward,16274847600,16.90157065,3.001664027,0.0,62.56,False,185,False,45,#Rotate,Mismatch
16274847570,11.116,5.0,0.0,31.28,True,103,False,45,#Forward,16274847609,16.90157065,3.001664027,1.05,62.56,False,185,False,45,#Rotate,Mismatch
16274847580,11.394,5.0,0.0,31.28,True,106,False,45,#Forward,16274847622,16.90157065,3.001664027,1.57,62.56,False,185,False,45,#Forward,Mismatch
16274847590,11.672,5.0,0.0,31.28,True,109,False,45,#Forward,16274847631,16.904112,3.562045547,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847600,11.95,5.0,0.0,31.28,True,112,False,45,#Forward,16274847640,16.89374651,4.109653384,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847610,12.228,5.0,0.0,31.28,True,115,False,45,#Forward,16274847648,16.9019061,4.663859963,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847620,12.506,5.0,0.0,31.28,True,118,False,45,#Forward,16274847658,16.89952872,5.228968734,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847630,12.784,5.0,0.0,31.28,True,121,False,45,#Forward,16274847669,16.90454206,5.782332554,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847640,13.062,5.0,0.0,31.28,True,124,False,45,#Forward,16274847678,16.90380766,6.33090362,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847650,13.34,5.0,0.0,31.28,True,127,False,45,#Forward,16274847692,16.89987449,6.890919571,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847660,13.618,5.0,0.0,31.28,True,130,False,45,#Forward,16274847702,16.90429683,7.453705038,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847670,13.896,5.0,0.0,31.28,True,133,False,45,#Forward,16274847712,16.89725138,7.999904665,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847680,14.174,5.0,0.0,31.28,True,136,False,45,#Forward,16274847718,16.90677194,8.557132062,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847690,14.452,5.0,0.0,31.28,True,139,False,45,#Forward,16274847730,16.90081105,9.108787759,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847700,14.73,5.0,0.0,31.28,True,142,False,45,#Forward,16274847740,16.90353718,9.672741635,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847710,15.008,5.0,0.0,31.28,True,145,False,45,#Forward,16274847748,16.90160457,10.22411983,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847720,15.286,5.0,0.0,31.28,True,148,False,45,#Forward,16274847758,16.89695039,10.7826308,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847730,15.564,5.0,0.0,31.28,True,151,False,45,#Forward,16274847768,16.89277307,11.34510621,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847740,15.842,5.0,0.0,31.28,True,154,False,45,#Forward,16274847778,16.90662014,11.89899427,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847750,16.12,5.0,0.0,31.28,True,157,False,45,#Forward,16274847789,16.89432794,12.44609393,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847760,16.398,5.0,0.0,31.28,True,160,False,45,#Forward,16274847799,16.89385063,13.00470131,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847770,16.676,5.0,0.0,31.28,True,163,False,45,#Forward,16274847810,16.90001312,13.56173253,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847780,16.954,5.0,0.0,31.28,True,166,False,45,#Forward,16274847818,16.9022015,14.12156937,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847790,17.232,5.0,0.0,31.28,True,169,False,45,#Forward,16274847829,16.89894942,14.67814475,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847800,17.51,5.0,0.0,31.28,True,172,False,45,#Forward,16274847840,16.90741279,15.224692,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847810,17.788,5.0,0.0,31.28,True,175,False,45,#Forward,16274847848,16.89706068,15.78996257,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847820,18.066,5.0,0.0,31.28,True,178,False,45,#Forward,16274847861,16.89367097,16.34612555,1.57,62.56,True,185,False,45,#Forward,Mismatch
16274847830,18.344,5.0,0.0,31.28,True,181,False,45,#Forward,16274847868,16.90630738,16.90253756,1.57,62.56,False,185,False,45,#Rotate,Mismatch
16274847840,18.622,5.0,0.0,31.28,True,184,False,45,#Forward,16274847881,16.90630738,16.90253756,2.61,62.56,False,185,False,45,#Rotate,Mismatch
16274847850,18.9,5.0,0.0,31.28,False,187,False,45,#Rotate,16274847891,16.90630738,16.90253756,3.14,62.56,False,182,False,45,#Forward,Mismatch
16274847860,18.9,5.0,0.52,31.28,False,187,False,45,#Rotate,16274847900,16.34134321,16.90547364,3.14,62.56,True,176,False,45,#Forward,Mismatch
16274847870,18.9,5.0,1.05,31.28,False,187,False,45,#Rotate,16274847909,15.78216583,16.90193898,3.14,62.56,True,170,False,45,#Forward,Mismatch
16274847880,18.9,5.0,1.57,31.28,False,187,False,45,#Forward,16274847921,15.23945575,16.90016372,3.14,62.56,True,164,False,45,#Forward,Mismatch
16274847890,18.9,5.278,1.57,31.28,True,187,False,45,#Forward,16274847928,14.67354749,16.90084216,3.14,62.56,True,158,False,45,#Forward,Mismatch
16274847900,18.9,5.556,1.57,31.28,True,187,False,45,#Forward,16274847942,14.12681618,16.89425589,3.14,62.56,True,152,False,45,#Forward,Mismatch
16274847910,18.9,5.834,1.57,31.28,True,187,False,45,#Forward,16274847949,13.57130856,16.90163327,3.14,62.56,True,146,False,45,#Forward,Mismatch
16274847920,18.9,6.112,1.57,31.28,True,187,False,45,#Forward,16274847961,13.00342747,16.90465534,3.14,62.56,True,140,False,45,#Forward,Mismatch
16274847930,18.9,6.39,1.57,31.28,True,187,False,45,#Forward,16274847970,12.45514865,16.90451927,3.14,62.56,True,134,False,45,#Forward,Mismatch
