init_gap,cont_gap,low,mad_ventilation,mad_cooling,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots,clock_time,process_time,trace_length
-1.0,-0.1,50,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,16.999071836471558,16.9751254,1465
-1.0,-0.1,50,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,17.34542179107666,17.339723599999996,1465
-1.0,-0.1,50,0.15,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,16.54598355293274,16.540612100000004,1465
-1.0,-0.1,50,0.15,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,14.395449161529541,14.394184899999999,1465
-1.0,-0.1,50,0.15,0.3500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,12.937938213348389,12.93634809999999,1465
-1.0,-0.1,50,0.15,0.40000000000000013,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,14.407089948654175,14.404487099999997,1465
-1.0,-0.1,50,0.15,0.45000000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,18.33771324157715,18.335081799999998,1465
-1.0,-0.1,50,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,21.258280277252197,21.256668100000013,1465
-1.0,-0.1,50,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,14.951572179794312,14.95079290000001,1465
-1.0,-0.1,50,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,17.745391368865967,17.744135999999997,1465
-1.0,-0.1,50,0.2,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,14.283588409423828,14.283543299999991,1465
-1.0,-0.1,50,0.2,0.3500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,13.789369583129883,13.7893239,1465
